   	      	                          fitness                          	              size              
   	      	-----------------------------------------------------------	--------------------------------
gen	nevals	avg        	max        	min     	std        	avg    	max	min	std     
0  	300   	1.50911e+26	4.52732e+28	73.4286 	2.60949e+27	4.17667	11 	2  	2.0196  
1  	155   	1.50911e+26	4.52732e+28	73.4286 	2.60949e+27	3.91333	10 	1  	2.0394  
2  	156   	2.71673e+06	8.14588e+08	58.1429 	4.69517e+07	3.89333	11 	1  	2.24543 
3  	176   	1.50911e+26	4.52732e+28	58.1429 	2.60949e+27	3.98667	11 	1  	2.16791 
4  	169   	8.78416e+16	1.84467e+19	58.1429 	1.09362e+18	4.02   	15 	1  	2.18318 
5  	160   	8.78417e+15	2.63525e+18	58.1429 	1.51892e+17	4.60667	10 	1  	1.781   
6  	165   	1.75683e+16	2.63525e+18	58.1429 	2.14449e+17	4.80667	10 	1  	1.17585 
7  	174   	3.51367e+16	2.63525e+18	58.1429 	3.02257e+17	4.66   	12 	1  	1.14502 
8  	176   	2.63525e+16	2.63525e+18	58.1429 	2.62204e+17	4.68   	12 	1  	1.21282 
9  	159   	6.06657e+17	1.68821e+20	58.1429 	9.73392e+18	4.34667	10 	1  	0.952097
10 	164   	5.2705e+16 	2.63525e+18	58.1429 	3.68935e+17	4.16667	12 	1  	1.01926 
11 	178   	7.02733e+16	2.63525e+18	58.1429 	4.24558e+17	4.02333	9  	1  	0.814118
12 	159   	7.03076e+16	2.63525e+18	58.1429 	4.24553e+17	4.00667	11 	1  	0.725687
13 	167   	3.51367e+16	2.63525e+18	57.5714 	3.02257e+17	4.13667	13 	1  	1.08535 
14 	161   	4.39208e+16	2.63525e+18	57.5714 	3.37362e+17	4.10333	12 	1  	1.11025 
15 	167   	9.66258e+16	1.84467e+19	57.5714 	1.10342e+18	4.13667	13 	1  	1.16818 
16 	162   	7.02733e+16	2.63525e+18	57.5714 	4.24558e+17	4.16333	12 	1  	1.21243 
17 	171   	4.39208e+16	2.63525e+18	57.5714 	3.37362e+17	4.28667	19 	1  	1.7023  
18 	182   	7.02733e+16	2.63525e+18	57.5714 	4.24558e+17	4.29   	12 	1  	1.47622 
19 	173   	9.43207e+24	2.82962e+27	57.5714 	1.63096e+26	4.44667	18 	1  	1.96651 
