    	      	          fitness          	              size              
    	      	---------------------------	--------------------------------
gen 	nevals	avg	max	min    	std	avg    	max	min	std     
0   	300   	inf	inf	8.625  	nan	3.40667	10 	2  	1.5323  
1   	160   	inf	inf	8.625  	nan	3.18667	9  	1  	1.49616 
2   	199   	inf	inf	8.625  	nan	3.13333	10 	1  	1.39603 
3   	172   	inf	inf	6.375  	nan	2.98   	11 	1  	1.5426  
4   	128   	inf	inf	6.375  	nan	2.54   	9  	1  	1.16121 
5   	159   	inf	inf	6.375  	nan	2.25   	9  	1  	0.800521
6   	180   	inf	inf	6.375  	nan	2.17   	9  	1  	0.821239
7   	159   	inf	inf	6.375  	nan	2.32667	9  	1  	0.955661
8   	136   	inf	inf	6.375  	nan	2.65333	7  	1  	1.04872 
9   	160   	inf	inf	6.375  	nan	3.26667	10 	1  	1.10252 
10  	159   	inf	inf	6.375  	nan	3.81667	10 	1  	0.93971 
11  	149   	inf	inf	4.67399	nan	3.98667	7  	1  	0.482862
12  	163   	inf	inf	4.67399	nan	4.04   	10 	1  	0.751709
13  	162   	inf	inf	2.0401 	nan	4.11333	9  	1  	0.816796
14  	150   	inf	inf	2.0401 	nan	4.28333	8  	1  	0.877338
15  	185   	inf	inf	2.0401 	nan	4.37   	12 	1  	1.1546  
16  	148   	inf	inf	1.75   	nan	4.81333	10 	1  	1.31852 
17  	134   	inf	inf	1.4917 	nan	5.55   	9  	2  	1.21415 
18  	141   	inf	inf	1.75   	nan	5.98333	12 	1  	1.29733 
19  	166   	inf	inf	1.60209	nan	5.98   	11 	1  	1.15164 
20  	154   	inf	inf	1.60209	nan	6.07   	13 	1  	1.14241 
21  	181   	inf	inf	1.60209	nan	6.09667	10 	1  	1.06175 
22  	142   	inf	inf	1.56155	nan	6.18   	12 	1  	1.10496 
23  	155   	inf	inf	1.56155	nan	6.25   	10 	1  	1.12287 
24  	165   	inf	inf	1.56155	nan	6.36   	12 	1  	1.45501 
25  	153   	inf	inf	1.56155	nan	6.47667	13 	1  	1.70376 
26  	142   	inf	inf	1.56155	nan	6.82667	14 	1  	1.74259 
27  	168   	inf	inf	1.125  	nan	7.1    	13 	1  	1.86994 
28  	162   	inf	inf	1.125  	nan	7.38333	14 	1  	2.3909  
29  	168   	inf	inf	1      	nan	7.78   	14 	1  	2.25498 
