    	      	              fitness              	              size              
    	      	-----------------------------------	--------------------------------
gen 	nevals	avg	max	min        	std	avg    	max	min	std     
0   	300   	inf	inf	129.143    	nan	3.50333	11 	2  	1.73685 
1   	158   	inf	inf	129.143    	nan	3.55   	11 	1  	2.08507 
2   	153   	inf	inf	129.143    	nan	3.70667	14 	1  	2.44144 
3   	163   	inf	inf	129.143    	nan	4.01667	11 	1  	2.67015 
4   	185   	inf	inf	129.143    	nan	4.78667	14 	1  	2.91339 
5   	174   	inf	inf	129.143    	nan	5.47667	11 	1  	2.85939 
6   	174   	inf	inf	129.143    	nan	5.91667	14 	1  	2.71104 
7   	158   	inf	inf	129.143    	nan	5.36667	13 	1  	2.31637 
8   	164   	inf	inf	17         	nan	5.09   	12 	1  	1.65587 
9   	158   	inf	inf	17         	nan	4.94333	11 	1  	1.03285 
10  	180   	inf	inf	17         	nan	5.02667	11 	1  	1.01289 
11  	154   	inf	inf	17         	nan	4.84   	9  	1  	0.938652
12  	168   	inf	inf	17         	nan	4.73333	11 	1  	1.08115 
13  	187   	inf	inf	17         	nan	4.47   	8  	1  	0.97079 
14  	178   	inf	inf	17         	nan	4.30333	13 	1  	1.06364 
15  	166   	inf	inf	17         	nan	4.17667	11 	1  	0.962006
16  	159   	inf	inf	17         	nan	4.05333	11 	1  	0.842905
17  	145   	inf	inf	17         	nan	4.03   	8  	1  	0.525135
18  	177   	inf	inf	17         	nan	4.09333	9  	1  	0.878231
19  	165   	inf	inf	17         	nan	3.99   	8  	1  	0.650564
20  	171   	inf	inf	17         	nan	4      	9  	1  	0.668331
21  	170   	inf	inf	17         	nan	3.96667	12 	1  	0.799305
22  	176   	inf	inf	17         	nan	4.02   	13 	1  	0.828412
23  	164   	inf	inf	17         	nan	4.05667	9  	1  	0.716558
24  	172   	inf	inf	17         	nan	3.95667	9  	1  	0.712827
25  	171   	inf	inf	17         	nan	3.97333	8  	1  	0.791174
26  	160   	inf	inf	17         	nan	4.00333	10 	1  	0.759378
27  	162   	inf	inf	17         	nan	3.99667	10 	1  	0.718788
28  	167   	inf	inf	17         	nan	4.02333	10 	1  	0.741253
29  	167   	inf	inf	17         	nan	3.98   	10 	1  	0.632139
30  	145   	inf	inf	17         	nan	4.00333	7  	1  	0.562722
31  	176   	inf	inf	17         	nan	3.98   	10 	1  	0.86    
32  	156   	inf	inf	17         	nan	4.02333	9  	1  	0.873378
33  	154   	inf	inf	17         	nan	4.01667	11 	1  	0.690209
34  	162   	inf	inf	17         	nan	4.01333	11 	1  	0.863996
35  	162   	inf	inf	17         	nan	4.02333	8  	1  	0.732204
36  	182   	inf	inf	17         	nan	4.04667	9  	1  	0.724216
37  	175   	inf	inf	17         	nan	4      	8  	1  	0.761577
38  	163   	inf	inf	17         	nan	3.98667	7  	1  	0.594269
39  	170   	inf	inf	17         	nan	4.01   	8  	1  	0.718726
40  	151   	inf	inf	17         	nan	3.96   	8  	1  	0.495042
