   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	300   	22994.1    	39944.5    	16435  	1777.38    	3.58   	7  	2  	1.4777 
1  	173   	22422.3    	30939      	10936.5	1753.11    	3.68667	10 	1  	1.50172
2  	171   	21622.1    	26774.8    	10936.5	2182.52    	4.08   	11 	1  	1.64528
3  	163   	20179.3    	32321.5    	0      	3743.01    	4.29   	11 	1  	1.63276
4  	150   	18693.9    	92410      	0      	6207.89    	4.40667	11 	1  	1.72857
5  	170   	18443.1    	711451     	0      	40661.1    	4.52   	11 	1  	1.85372
6  	164   	19273.4    	750988     	0      	64340.3    	5.02   	11 	1  	1.84922
7  	172   	19610.6    	750988     	0      	82177.2    	5.74   	13 	2  	1.80713
8  	174   	31258.6    	1.03521e+06	0      	129057     	6.15667	16 	2  	2.18909
9  	174   	67711.5    	3.37665e+06	0      	269983     	6.12667	18 	1  	2.51475
10 	152   	57831.6    	1.03521e+06	0      	189326     	5.43333	13 	1  	1.76981
11 	193   	214570     	4.22732e+07	0      	2.44129e+06	5.29   	13 	1  	1.75477
12 	178   	215746     	4.22732e+07	0      	2.4415e+06 	5.26333	13 	2  	1.59603
13 	178   	53843.4    	711451     	0      	180664     	5.08333	13 	1  	1.46392
14 	145   	6.79479e+06	2.0218e+09 	0      	1.16531e+08	5.21667	15 	1  	1.42468
15 	179   	77642.7    	1.3116e+06 	0      	220862     	5.15333	13 	2  	1.27141
16 	168   	74060.8    	711451     	0      	210497     	5.09667	11 	2  	1.22229
17 	171   	63028.7    	1.3116e+06 	0      	201751     	5.04   	10 	1  	1.31088
18 	164   	59630.6    	1.3116e+06 	0      	198457     	5.15667	13 	1  	1.39001
19 	159   	69819.6    	1.3116e+06 	0      	211797     	5.19333	13 	1  	1.35497
20 	184   	227808     	4.62269e+07	0      	2.6687e+06 	5.29667	14 	1  	1.54553
21 	185   	69875      	2.8458e+06 	0      	255083     	5.21   	13 	1  	1.41865
22 	162   	62351.7    	988424     	0      	195762     	5.30667	13 	1  	1.57246
23 	187   	59333.5    	1.3116e+06 	0      	194472     	5.24   	11 	1  	1.36714
24 	177   	72553.5    	1.3116e+06 	0      	220340     	5.13   	11 	1  	1.38796
25 	161   	92453.3    	4.44934e+06	0      	335087     	5.19   	11 	1  	1.36647
26 	182   	77352.4    	988424     	0      	215331     	5.09333	11 	1  	1.46445
27 	178   	71156.3    	711451     	0      	205796     	5.18333	11 	1  	1.36494
28 	170   	47964.6    	711451     	0      	172661     	4.99   	11 	1  	1.21788
29 	168   	57196.7    	711451     	0      	188638     	5.04333	11 	1  	1.06839
30 	156   	46270.3    	711451     	0      	168249     	5.05333	10 	1  	1.13893
31 	169   	60265.7    	711451     	0      	192305     	5.04   	12 	1  	1.08861
32 	172   	63805.5    	711451     	0      	195623     	4.99333	11 	1  	1.18038
33 	153   	56059.4    	711451     	0      	185572     	5.14333	13 	1  	1.22316
34 	157   	209285     	4.22732e+07	0      	2.44228e+06	5.19667	11 	3  	1.19079
35 	158   	63238.7    	988424     	0      	199528     	5.15333	11 	1  	1.23686
36 	172   	68830.7    	1.68099e+06	0      	216728     	5.14333	13 	1  	1.45698
37 	165   	48954.7    	711451     	0      	172833     	5.27333	11 	1  	1.34856
38 	167   	189654     	4.22732e+07	0      	2.43987e+06	5.24   	13 	1  	1.46369
39 	162   	215505     	4.22732e+07	0      	2.44268e+06	5.29   	12 	1  	1.52727
40 	160   	62845.5    	1.3116e+06 	0      	199891     	5.23667	12 	1  	1.46082
41 	177   	72343      	711451     	0      	209285     	5.24   	15 	1  	1.53701
42 	155   	79608.4    	1.3116e+06 	0      	223876     	5.16333	15 	3  	1.34039
43 	158   	55968.7    	711451     	0      	184659     	5.08   	11 	1  	1.41195
44 	147   	57953      	711451     	0      	188464     	5.23667	11 	1  	1.41915
45 	181   	76278      	988424     	0      	215586     	5.32333	12 	1  	1.6428 
46 	154   	60769      	711451     	0      	192206     	5.17333	11 	1  	1.36013
47 	166   	65741.5    	711451     	0      	199233     	5.19667	13 	1  	1.38972
48 	149   	71498.1    	711451     	0      	205825     	5.2    	11 	1  	1.29872
49 	174   	72209.4    	988424     	0      	212727     	5.30333	11 	1  	1.45074
50 	171   	66036.9    	1.3116e+06 	0      	208699     	5.26667	13 	1  	1.664  
51 	164   	69319      	988424     	0      	206088     	5.25   	10 	1  	1.3016 
52 	167   	65204      	1.3116e+06 	0      	205167     	5.19333	10 	1  	1.22036
53 	180   	79830.9    	711451     	0      	217999     	5.19667	14 	2  	1.40166
54 	170   	77392.4    	1.3116e+06 	0      	220862     	5.09667	11 	1  	1.34932
55 	175   	68216.8    	3.37665e+06	0      	268836     	5.18   	10 	1  	1.26528
56 	181   	76667.8    	988424     	0      	215527     	5.12   	11 	1  	1.28021
57 	148   	55046.5    	988424     	0      	185183     	5.18333	13 	1  	1.36981
58 	162   	56617.4    	740487     	0      	184833     	5.20333	13 	1  	1.56055
59 	158   	69043.9    	1.3116e+06 	0      	208224     	5.32667	14 	1  	1.72625
60 	171   	211603     	4.22732e+07	0      	2.44216e+06	5.34   	13 	1  	1.61794
61 	139   	59964.1    	1.3116e+06 	0      	198310     	5.37667	15 	1  	1.73823
62 	187   	82549.6    	711451     	0      	221335     	5.17   	13 	1  	1.48136
63 	159   	42815.2    	711451     	0      	159166     	5.21   	13 	3  	1.24066
64 	147   	59001.4    	988424     	0      	192321     	5.13667	14 	1  	1.26938
65 	176   	72121.1    	711451     	0      	207262     	5.17333	11 	1  	1.35768
66 	166   	87728.9    	1.3116e+06 	0      	232180     	5.26   	11 	1  	1.3512 
67 	177   	207020     	4.22732e+07	0      	2.44088e+06	5.21333	13 	1  	1.48812
68 	173   	77165.8    	711451     	0      	213399     	5.37   	13 	1  	1.67126
69 	181   	349186     	4.22732e+07	0      	3.44054e+06	5.41667	13 	1  	1.59887
70 	160   	64244.6    	711451     	0      	195615     	5.33667	13 	1  	1.47535
71 	153   	63227      	711451     	0      	195667     	5.31   	11 	1  	1.42615
72 	164   	67432.4    	1.3116e+06 	0      	214190     	5.31333	11 	1  	1.32985
73 	156   	85401.7    	4.57695e+06	0      	341737     	5.31333	13 	1  	1.47484
74 	154   	53062.2    	711451     	0      	177953     	5.26333	12 	1  	1.4168 
75 	155   	47672.2    	988424     	0      	172612     	5.10333	10 	1  	1.18855
76 	157   	61511.7    	1.3116e+06 	0      	202049     	5.19   	10 	1  	1.28604
77 	162   	84507.1    	1.3116e+06 	0      	229549     	5.14   	11 	1  	1.30655
78 	175   	68743.7    	711451     	0      	202477     	5.15667	14 	1  	1.42786
79 	149   	68431      	711451     	0      	202552     	5.12333	10 	1  	1.16967
80 	179   	66856.2    	711451     	0      	199165     	5.1    	10 	1  	1.24499
81 	150   	44331.7    	711451     	0      	164061     	5.24667	11 	1  	1.22712
82 	151   	47901.1    	916750     	0      	171524     	5.26667	11 	1  	1.2037 
83 	158   	70326      	711451     	0      	205974     	5.21667	10 	1  	1.15024
84 	159   	63122.7    	711451     	0      	195857     	5.20667	11 	3  	1.20165
85 	164   	56903.1    	711451     	0      	184671     	5.09333	10 	1  	1.06362
86 	154   	58322.9    	711451     	0      	188544     	5.13667	10 	2  	1.05419
87 	165   	68481.8    	711451     	0      	202613     	5.17   	12 	3  	1.1893 
