   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min        	std        	avg    	max	min	std    
0  	300   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.58333	7  	2  	1.54587
1  	177   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.79667	15 	1  	1.80425
2  	180   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.67   	10 	1  	1.76099
3  	159   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.67667	12 	1  	1.85619
4  	149   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.79333	11 	1  	1.88077
5  	160   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.78   	11 	1  	1.99957
6  	179   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.86   	11 	1  	2.04297
7  	175   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.92   	12 	1  	2.11036
8  	150   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.27   	16 	1  	2.38127
9  	168   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.26   	13 	1  	2.362  
10 	169   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.09667	14 	1  	2.56138
11 	152   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.40333	14 	1  	2.7702 
12 	163   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.46333	16 	1  	2.93746
13 	172   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.6    	16 	1  	3.06812
14 	181   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.50333	15 	1  	3.00499
15 	172   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.91   	18 	1  	3.23036
16 	178   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.3    	20 	1  	3.72961
17 	175   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.41   	19 	1  	3.89126
18 	155   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.24   	19 	1  	3.84739
19 	160   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.29333	21 	1  	4.0407 
20 	151   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.16667	21 	1  	3.98985
21 	180   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.19667	25 	1  	4.19023
22 	168   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.43667	22 	1  	4.29255
23 	169   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.38667	20 	1  	3.92477
24 	159   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.34333	21 	1  	4.00485
25 	182   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.21667	19 	1  	4.14364
26 	174   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.38333	23 	1  	4.50219
27 	166   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.68667	25 	1  	4.50945
28 	161   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.78   	25 	1  	4.6952 
29 	184   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.84667	26 	1  	4.70848
30 	167   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.91667	26 	1  	4.8918 
31 	175   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.48333	38 	1  	5.21693
32 	173   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.43667	42 	1  	5.16778
33 	144   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.63   	42 	1  	5.32476
34 	159   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.32333	39 	1  	4.67819
35 	161   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.17667	40 	1  	4.99054
36 	177   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.05   	39 	1  	5.34423
37 	155   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.66   	21 	1  	3.86235
38 	150   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.12333	21 	1  	4.18268
39 	178   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.15667	27 	1  	4.21728
40 	161   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.35667	27 	1  	4.33622
41 	168   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.47667	27 	1  	4.81969
42 	156   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.9    	27 	1  	4.35086
43 	168   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.25   	33 	1  	5.00874
44 	170   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.35   	33 	1  	5.08601
45 	155   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.43667	34 	1  	5.2927 
46 	150   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.06   	37 	1  	5.90845
47 	186   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.1    	37 	1  	5.69356
48 	165   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.29667	32 	1  	5.52286
49 	165   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.72333	27 	1  	5.40618
50 	160   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.38333	25 	1  	5.30312
51 	163   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.47667	34 	1  	5.37799
52 	164   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.12333	34 	1  	5.02674
53 	181   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	7.77   	26 	1  	5.29878
54 	162   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	8.61   	27 	1  	5.86384
55 	177   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	8.90667	29 	1  	5.85018
56 	168   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	8.93   	28 	1  	5.97761
57 	193   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	8.86667	29 	1  	5.76272
58 	180   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	9.29333	30 	1  	6.057  
59 	166   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	9.22333	32 	1  	6.34876
60 	155   	4.86118e+37	4.86118e+37	4.86118e+37	9.67797e+21	9.40667	32 	1  	6.41934
61 	156   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	8.98667	32 	1  	6.0011 
62 	148   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	9.28667	36 	1  	6.31594
63 	181   	4.86118e+37	4.86118e+37	4.86118e+37	9.42898e+21	9.56667	37 	1  	6.58272
64 	149   	4.86118e+37	4.86118e+37	4.86118e+37	9.38156e+21	10.6533	37 	1  	6.96657
65 	174   	4.86118e+37	4.86118e+37	4.86118e+37	7.44387e+24	10.74  	42 	1  	7.19577
66 	148   	4.86118e+37	4.86118e+37	4.86118e+37	1.44567e+25	11.9133	42 	1  	7.69497
67 	171   	4.86118e+37	4.86118e+37	4.86118e+37	2.005e+25  	12.93  	58 	1  	8.1264 
68 	185   	4.86118e+37	4.86118e+37	4.86118e+37	7.00824e+25	15.5633	58 	1  	9.00478
69 	162   	4.86118e+37	4.86118e+37	4.86118e+37	1.71327e+27	18.0367	56 	1  	8.56205
70 	153   	4.86118e+37	4.86118e+37	4.86118e+37	2.41414e+27	21.4033	56 	1  	7.6612 
71 	151   	4.86118e+37	4.86118e+37	4.86113e+37	3.76585e+31	24.1167	56 	1  	7.73755
72 	135   	4.86118e+37	4.86118e+37	4.86109e+37	6.6528e+31 	25.7633	56 	3  	8.87171
73 	171   	4.86113e+37	4.86118e+37	4.84921e+37	6.90142e+33	27.94  	63 	1  	11.2613
74 	171   	4.86109e+37	4.86118e+37	4.84921e+37	9.3429e+33 	31.67  	69 	2  	12.6212
75 	174   	4.86082e+37	4.86125e+37	4.79341e+37	4.04623e+34	36.4833	73 	1  	12.4631
76 	156   	4.86074e+37	4.86118e+37	4.79341e+37	4.09529e+34	39.3767	69 	4  	10.8226
77 	175   	2.18887e+51	2.33364e+53	3.9252e+37 	2.1803e+52 	42.3567	99 	3  	13.6781
78 	160   	2.10514e+39	6.12292e+41	3.9252e+37 	3.5289e+40 	45.2367	87 	1  	12.9654
79 	171   	8.6431e+49 	2.59293e+52	3.9252e+37 	1.49453e+51	49.2567	92 	5  	14.357 
80 	190   	4.11796e+56	1.23042e+59	3.9252e+37 	7.09196e+57	53.2133	97 	2  	14.5031
