   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min        	std        	avg    	max	min	std    
0  	300   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.45   	7  	2  	1.49025
1  	159   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.63667	11 	1  	1.69253
2  	151   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.78   	9  	1  	1.78464
3  	172   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.79667	14 	1  	2.01874
4  	184   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.04   	12 	1  	2.14283
5  	165   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.33   	13 	1  	2.36526
6  	167   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.41667	13 	1  	2.44057
7  	170   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.44   	16 	1  	2.60891
8  	152   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.47   	19 	1  	2.70723
9  	177   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.43333	15 	1  	2.67187
10 	170   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.01667	16 	1  	3.03365
11 	159   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.91   	15 	1  	2.8917 
12 	154   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.27333	15 	1  	2.89343
13 	160   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.37333	14 	1  	2.98227
14 	152   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.20333	14 	1  	3.14674
15 	144   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.5    	14 	1  	3.14378
16 	156   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.53333	14 	1  	3.20139
17 	152   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.72333	17 	1  	3.48522
18 	159   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.69667	18 	1  	3.6329 
19 	166   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.06667	24 	1  	4.02603
20 	158   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.91   	24 	1  	3.96088
21 	173   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.89333	26 	1  	4.12092
22 	150   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.07   	22 	1  	3.82166
23 	178   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.24667	22 	1  	4.16083
24 	175   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.37667	22 	1  	4.00601
25 	155   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.37667	22 	1  	3.89035
26 	155   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.2    	22 	1  	3.81488
27 	149   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.18   	22 	1  	3.56009
28 	160   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	6.00667	22 	1  	3.8747 
29 	179   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.74   	23 	1  	3.77788
30 	163   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.58   	14 	1  	3.26143
31 	164   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.50333	21 	1  	3.67196
32 	183   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.58   	19 	1  	3.56608
33 	157   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.61333	19 	1  	3.72342
34 	164   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.28333	23 	1  	3.75984
35 	170   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.35333	24 	1  	3.91005
36 	168   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	5.70667	27 	1  	4.18576
