   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg    	max        	min     	std        	avg    	max	min	std    
0  	300   	1954.27	193611     	11.085  	11533.3    	3.73333	7  	2  	1.58395
1  	195   	983.1  	4405       	11.085  	381.629    	3.79333	9  	1  	1.65044
2  	161   	785.619	5078       	11.085  	406.337    	4.16667	9  	2  	1.65496
3  	176   	894.634	41491      	11.085  	3353.06    	4.48667	11 	1  	1.84296
4  	165   	1064.38	41491      	11.085  	4997.84    	4.91667	11 	1  	1.95014
5  	151   	2613.3 	193611     	11.085  	14087.9    	5.13333	12 	1  	2.01053
6  	166   	1879.56	72474      	11.085  	8441.28    	5.08   	12 	1  	1.96136
7  	156   	14966.6	3.8392e+06 	11.085  	221372     	5.03   	11 	1  	1.78394
8  	156   	2355.86	72372      	11.085  	9561.13    	5.37   	12 	1  	1.70873
9  	170   	1748.93	41491      	11.085  	7753.74    	5.76   	11 	1  	1.46597
10 	185   	1348.04	41491      	9.44794 	6647.51    	5.95667	12 	1  	1.48148
11 	155   	733.084	41375.1    	9.44794 	4694.78    	6.12667	13 	2  	1.28736
12 	132   	1074.59	56057.9    	9.44794 	6176.63    	6.26333	12 	1  	1.34932
13 	155   	2174.57	41475.8    	9.44794 	8695.26    	6.44667	12 	1  	1.5876 
14 	180   	1722.43	72488.3    	9.44794 	8143.81    	6.61667	12 	1  	1.49546
15 	164   	1262.98	72488.3    	9.44794 	7101.12    	7.19   	13 	3  	1.84225
16 	147   	1484.94	56057.9    	9.44794 	7676.57    	7.47333	15 	1  	1.91206
17 	142   	1226.84	72488.3    	9.44794 	7112.75    	7.91333	14 	2  	1.53378
18 	176   	886.437	41475.8    	9.44794 	5298.99    	7.92333	13 	1  	1.79929
19 	148   	881.387	72488.3    	9.44794 	6081.27    	8.08   	14 	1  	1.51446
20 	178   	1286.38	41552.8    	9.44794 	6668.83    	8.13   	15 	1  	1.70873
21 	182   	1456.29	41475.8    	9.44794 	7049.62    	8.05667	13 	1  	1.61042
22 	183   	756.178	41475.8    	9.44794 	4750.27    	8.06333	14 	1  	1.73186
23 	177   	1064.85	41510.8    	9.44794 	5800.67    	8.10667	14 	1  	1.80978
24 	179   	898.814	41475.8    	9.44794 	5310.81    	8      	16 	1  	1.95619
25 	162   	700.587	55817.7    	9.44794 	5122.32    	8.05   	14 	1  	1.6189 
26 	168   	2329.08	193581     	9.44794 	13517.4    	8.19   	15 	1  	1.71481
27 	160   	41086.6	1.21188e+07	9.44794 	698486     	8.23667	17 	2  	1.78904
28 	170   	986.238	72615.7    	9.44794 	6307.92    	8.22667	15 	1  	1.70547
29 	174   	985.182	41475.8    	9.44794 	5792.69    	8.18333	15 	1  	1.58   
30 	188   	1974.92	193581     	9.44794 	12931.4    	8.19667	15 	3  	1.66072
31 	157   	1167.6 	41475.8    	9.44794 	6269.34    	8.14333	18 	1  	1.75958
32 	164   	586.875	41475.8    	9.44794 	4070.79    	8.14333	14 	2  	1.50426
33 	183   	718.402	41475.8    	9.44794 	4754.83    	8.12667	14 	2  	1.44128
34 	189   	1388.16	193581     	9.44794 	12088.4    	8.02667	14 	1  	1.70469
35 	170   	1518.01	193581     	8.77012 	12304.5    	8.12667	15 	1  	1.7466 
36 	165   	839.965	41475.8    	8.77012 	5301.24    	8.10333	14 	1  	1.65106
