   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	300   	1076.36    	5078       	11.9329	429.19     	3.57   	7  	2  	1.54438
1  	174   	1241.86    	55835      	11.9329	3940.18    	3.76   	9  	1  	1.63984
2  	155   	779.768    	4405       	11.9329	411.819    	3.99   	10 	1  	1.69801
3  	154   	555.122    	3806.99    	11.9187	415.174    	4.27333	12 	1  	1.84173
4  	147   	792.429    	41491      	11.9187	4128.27    	4.43667	10 	1  	1.95772
5  	150   	666.656    	43149      	11.7211	4206.61    	4.53   	14 	1  	2.1313 
6  	160   	969.851    	55835      	11.7211	6191.06    	4.9    	16 	1  	2.35301
7  	157   	1323.02    	55835      	11.9038	6995.42    	5.57   	16 	1  	2.58298
8  	155   	745.566    	41491      	11.7843	4756.4     	7.23   	18 	1  	2.75991
9  	153   	1116.84    	41471.5    	11.085 	6244.88    	8.48333	18 	1  	2.9331 
10 	182   	456.196    	41448.9    	11.085 	3379.86    	9.49667	19 	1  	3.11716
11 	152   	580.415    	41469.9    	11.085 	4117.48    	10.4   	21 	1  	3.32365
12 	156   	447.401    	41469.9    	11.085 	3390.12    	10.8767	22 	1  	3.20647
13 	174   	585.785    	41765.5    	11.085 	4141.52    	11.4633	28 	3  	3.70252
14 	170   	566.558    	41454.8    	11.085 	4127.74    	11.43  	29 	1  	4.3434 
15 	171   	741.143    	41454.8    	11.085 	4743.82    	11.2933	31 	3  	4.67625
16 	166   	543.913    	41449.4    	11.085 	4120.4     	10.7233	31 	1  	4.86005
17 	188   	1636.45    	72615.7    	7.59423	7921.91    	9.49667	25 	1  	4.26732
18 	205   	1208.7     	41526.7    	10.1562	6234.49    	8.69333	23 	1  	3.52032
19 	186   	1288.26    	55980.3    	10.2532	6600.25    	8.82667	29 	2  	4.43358
20 	189   	1587.72    	41469.9    	10.2532	7394.73    	7.83   	26 	1  	3.45559
21 	154   	1008.68    	41486.9    	10.2532	5789.05    	7.95667	26 	1  	3.57791
22 	170   	1063.66    	41391.3    	10.1562	5777.9     	7.93667	29 	1  	3.9174 
23 	174   	1802.49    	55705.3    	9.93441	8033.02    	7.95667	25 	1  	3.62787
24 	190   	1208.69    	41608.1    	9.51231	6251.81    	8.91667	27 	1  	4.38137
25 	146   	755.034    	41375.1    	9.51231	4778.45    	9.89333	29 	3  	5.17448
26 	188   	1450.63    	41429.9    	9.44794	6810.81    	12.2933	32 	1  	6.41617
27 	192   	1382.32    	157577     	6.05437	10472.3    	13.4567	35 	1  	6.78342
28 	157   	404.881    	41475.8    	6.05437	3385.98    	13.8767	36 	3  	6.94849
29 	158   	1006.15    	41475.8    	6.05437	5792.54    	14.7933	49 	1  	8.07861
30 	145   	931.435    	42271.6    	5.93215	5378.13    	16.41  	51 	2  	9.10102
31 	159   	666.167    	42271.6    	5.93215	4178.76    	17.0967	43 	4  	8.85404
32 	158   	22565.5    	4.28417e+06	5.93215	278142     	17.69  	51 	1  	9.2643 
33 	180   	1227.31    	137967     	5.93215	8911.01    	18.1367	46 	1  	9.42079
34 	167   	4609.14    	1.09265e+06	5.93215	63136.2    	18.9033	50 	3  	9.20366
35 	158   	834.405    	41056.8    	5.93215	4289.67    	21.8367	45 	2  	9.0901 
36 	151   	74000.8    	2.20779e+07	5.69124	1.27253e+06	23.34  	48 	3  	9.56823
37 	165   	771.311    	55837.8    	5.20775	5275.26    	25.44  	51 	5  	8.47623
38 	179   	132717     	3.51338e+07	3.13347	2.03233e+06	26.8067	52 	5  	7.63037
39 	170   	5.05096e+07	1.24704e+10	3.13347	7.34695e+08	28     	54 	3  	7.74209
40 	143   	2.5679e+06 	7.69117e+08	3.13347	4.43307e+07	28.5   	52 	5  	6.11637
41 	188   	356.259    	14693.7    	1.98557	1758.06    	28.67  	54 	1  	7.98004
42 	176   	1.58773e+08	4.76299e+10	3.13347	2.74533e+09	29.1733	56 	2  	6.91929
43 	172   	547.352    	42880.8    	2.98498	3947.41    	29.08  	57 	1  	7.26454
44 	174   	1.19551e+09	3.58653e+11	2.34824	2.06723e+10	29.1933	70 	1  	7.0802 
45 	152   	2.55029e+09	7.62075e+11	2.34824	4.39248e+10	29.8233	59 	5  	6.1562 
46 	171   	3.08258e+08	4.76299e+10	2.34824	3.76448e+09	30.79  	60 	5  	7.57667
47 	141   	2.54025e+09	7.62075e+11	2.34824	4.3925e+10 	31.89  	66 	5  	8.60453
48 	161   	1.58767e+08	4.76299e+10	2.26392	2.74533e+09	32.07  	71 	2  	9.28862
49 	171   	1.27874e+08	3.83579e+10	2.26392	2.2109e+09 	32.7467	71 	5  	9.14526
50 	165   	81313.9    	1.94442e+07	1.98557	1.13515e+06	33.8267	87 	5  	11.1894
51 	165   	171158     	5.12834e+07	1.98557	2.9559e+06 	35.2033	95 	5  	10.6152
52 	148   	392.467    	60682      	1.98557	3697.55    	37.7167	85 	5  	12.0112
53 	155   	2.63835e+06	7.90021e+08	1.98557	4.55356e+07	41.33  	73 	3  	13.0902
54 	157   	1.56839e+10	4.70517e+12	1.98557	2.712e+11  	45.35  	84 	5  	13.9251
