   	      	                    fitness                    	              size             
   	      	-----------------------------------------------	-------------------------------
gen	nevals	avg    	max        	min      	std    	avg    	max	min	std    
0  	300   	3706.91	7588.42    	1251.98  	599.138	3.68667	7  	2  	1.5964 
1  	167   	3449.55	4881.14    	1251.98  	504.978	3.79   	12 	1  	1.72411
2  	171   	3173.15	4402.14    	1251.98  	617.208	4.03   	11 	1  	1.68001
3  	173   	2817.64	7586.29    	1004.57  	782.809	4.35333	11 	1  	1.78936
4  	171   	2622.9 	71790.9    	129.143  	4105.81	4.55   	11 	1  	1.83689
5  	167   	1858.88	7586.29    	68.5714  	1006.47	4.65667	12 	2  	1.80521
6  	176   	2342.78	130073     	68.5714  	8065.88	4.77667	16 	1  	1.87442
7  	181   	2072.92	99133.7    	68.5714  	6669.5 	5.07667	11 	1  	1.75617
8  	174   	1178.47	29835.4    	68.5714  	2434.23	5.75   	12 	1  	1.87461
9  	158   	3532.34	346693     	68.5714  	28600  	6.17   	12 	1  	1.97343
10 	149   	1528.94	95957.7    	68.5714  	7357.05	6.29667	13 	1  	2.16379
11 	179   	5729.05	409361     	62.2019  	39769.9	6.77   	18 	2  	2.34032
12 	154   	1068.52	118742     	62.2019  	6963.13	6.91   	17 	1  	1.93612
13 	141   	625.82 	21286.9    	62.2019  	1586.34	7.37333	17 	1  	1.99849
14 	165   	3475.15	455231     	62.2019  	35202.3	7.76667	17 	1  	2.14139
15 	160   	4060.77	466471     	56.4453  	30453.3	7.99667	16 	1  	2.36854
16 	139   	3220.97	466471     	38.2961  	29644.3	8.35333	18 	1  	2.57847
17 	162   	8425.67	466471     	38.2961  	58482.4	9.20333	20 	1  	3.17836
18 	174   	4368.79	436706     	35.3511  	30383.5	10.2833	25 	3  	3.50947
19 	141   	5572.96	455737     	16.7763  	37939  	11.0833	22 	1  	3.35903
20 	154   	4832.07	455233     	16.7763  	38180.5	12.1933	26 	1  	3.4248 
21 	165   	10041  	508087     	13.3387  	60311.8	12.68  	28 	1  	3.78914
22 	147   	8028.07	1.55576e+06	14.032   	93531.2	13.0367	28 	1  	3.73747
23 	178   	11905.6	696088     	14.032   	71851  	13.8733	32 	1  	4.55455
24 	169   	6989.4 	594372     	13.4681  	51164.1	14.76  	31 	3  	4.79469
25 	156   	8829.04	620185     	13.3387  	58166  	15.76  	31 	3  	4.44249
26 	176   	3715.86	525062     	11.2139  	33268.3	16.3167	36 	3  	4.72049
27 	160   	6158.38	690002     	12.1982  	51744.4	16.21  	36 	3  	5.04439
28 	158   	8451.54	1.95357e+06	12.1982  	113415 	15.9333	47 	2  	5.62929
29 	145   	3819.89	164288     	12.1982  	21889.7	15.8367	36 	2  	5.23482
30 	160   	4818.44	532122     	7.27964  	41836.3	15.8367	36 	1  	4.58367
31 	164   	5923.63	509503     	7.27964  	44394.7	16.1367	39 	2  	4.70227
32 	171   	5221.66	770161     	7.27964  	47578.8	16.47  	32 	1  	4.37292
33 	166   	2192.19	198904     	7.27964  	16126.2	16.79  	29 	4  	3.71742
34 	145   	8008.17	1.25806e+06	7.27964  	79643.2	17.07  	33 	3  	4.32494
35 	155   	6818.34	550176     	7.07443  	51453.4	17.63  	34 	1  	3.77268
36 	171   	1452.54	147486     	6.5349   	11743.2	17.66  	32 	1  	3.92145
37 	175   	6845.97	663452     	6.5349   	57587  	18.1833	34 	4  	4.12671
38 	168   	3185.82	598125     	6.5349   	35322.3	18.4633	34 	1  	4.72814
39 	167   	1309.01	148138     	5.37133  	12044.3	19.44  	38 	2  	5.21661
40 	169   	3567.38	501613     	3.13859  	32802.1	19.9433	41 	3  	5.69621
41 	149   	4431.12	575541     	3.13859  	45501.9	21.4633	43 	1  	6.46287
42 	171   	2997.67	521216     	3.13859  	32150.6	23.09  	44 	3  	7.20985
43 	169   	786.098	129213     	3.13859  	7477.38	24.5667	66 	1  	8.96171
44 	154   	1897.97	500547     	3.13859  	28846.3	26.1467	54 	3  	8.26631
45 	165   	1854.76	468495     	2.61313  	27001.1	28.16  	60 	1  	9.68647
46 	160   	3396.19	488256     	2.61313  	31665  	29.9167	61 	3  	10.826 
47 	167   	2193.86	167602     	2.61313  	17089.6	32.68  	60 	3  	9.98086
48 	168   	2377.58	505064     	1.77969  	30036.6	35.8467	64 	3  	10.1138
49 	174   	1827.78	484089     	1.77969  	27900.6	37.5   	69 	3  	10.8457
50 	174   	356.778	32167.7    	1.77969  	2137.83	39.2967	72 	1  	9.23843
51 	156   	1860.02	499211     	1.77969  	28774.2	39.3433	71 	3  	9.53863
