   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg    	max        	min      	std        	avg    	max	min	std    
0  	300   	3710.13	8348.57    	129.143  	815.349    	3.94333	7  	2  	1.65734
1  	158   	3366.7 	7586.29    	129.143  	774.84     	4.27333	9  	1  	1.90402
2  	164   	2979.11	10288      	78.8571  	1074.74    	4.83333	13 	1  	2.13828
3  	174   	2431.86	10288      	78.8571  	1207.94    	5.02667	15 	1  	2.20135
4  	177   	2565.58	69617.1    	78.8571  	5278       	5.41667	15 	1  	2.43784
5  	173   	1754.9 	16090.3    	68.5714  	2363.66    	6.13   	15 	1  	2.81421
6  	160   	1910.3 	69617.1    	60.2316  	5821.39    	6.96333	16 	1  	3.01253
7  	175   	2106.1 	149135     	60.2316  	10104      	7.24333	17 	1  	2.84091
8  	156   	1933.39	83707.4    	60.2316  	9063.97    	7.30333	18 	1  	2.90367
9  	174   	3902.16	351538     	60.2316  	23640.6    	7.94   	18 	3  	3.23673
10 	172   	4986.46	382429     	60.2316  	36413.7    	9.06   	20 	2  	3.33313
11 	145   	4231.37	351538     	60.2316  	24752.7    	9.68333	20 	1  	3.04134
12 	161   	2824.74	145518     	60.2316  	15597.8    	10.4667	20 	1  	2.85112
13 	166   	9771.24	834991     	60.2316  	73166.2    	10.89  	20 	2  	2.74795
14 	160   	1809.05	181752     	60.2316  	12257.9    	11.1567	18 	3  	2.50974
15 	177   	275234 	3.99007e+07	34.5228  	3.24701e+06	10.9767	24 	2  	2.93646
16 	169   	87522.1	2.13178e+07	47.6223  	1.23254e+06	11.12  	25 	1  	3.6312 
17 	179   	20860.7	1.96348e+06	36.7983  	150154     	10.7867	25 	1  	3.13919
18 	160   	73515.9	1.67898e+07	36.7983  	980533     	10.67  	25 	1  	3.3198 
19 	163   	180507 	3.99007e+07	36.7983  	2.31442e+06	11.09  	26 	3  	3.70251
20 	178   	19947.7	1.96348e+06	37.3755  	147984     	11.0833	25 	1  	3.92127
21 	195   	25269.2	1.96348e+06	36.7983  	149809     	11.2533	29 	1  	4.51839
22 	160   	21433.5	1.96348e+06	36.7983  	178736     	11.57  	30 	1  	4.35642
23 	174   	165629 	4.19118e+07	31.1223  	2.42133e+06	11.3867	25 	1  	3.71894
24 	174   	10618.2	862448     	31.1223  	72944      	11.7867	31 	1  	4.21123
25 	181   	18883.3	1.96348e+06	31.1223  	126300     	12.5967	34 	2  	4.09561
26 	160   	9401   	862448     	19.3055  	60832.7    	12.8733	28 	1  	4.50451
