   	      	                    fitness                    	              size             
   	      	-----------------------------------------------	-------------------------------
gen	nevals	avg    	max        	min      	std    	avg    	max	min	std    
0  	300   	3697.4 	7586.29    	1004.57  	614.75 	3.62333	7  	2  	1.49937
1  	159   	3356.91	4302.86    	129.143  	684.507	3.91   	9  	1  	1.64172
2  	182   	3076.22	10288      	129.143  	932.356	4.23667	12 	1  	1.86207
3  	166   	2689.31	10288      	129.143  	1235.5 	4.59   	11 	1  	1.97869
4  	162   	2112.51	11530.6    	129.143  	1270.72	5.01333	11 	1  	2.02151
5  	170   	1689.28	11125.7    	102.055  	1707.83	5.30667	11 	1  	2.06703
6  	155   	1533.86	16090.3    	34.2857  	2369.08	5.72333	15 	1  	2.18024
7  	177   	1261.49	69617.1    	34.2857  	4409.97	6.3    	15 	3  	2.15793
8  	146   	3260.19	346693     	34.2857  	21999.6	6.41333	13 	3  	2.07906
9  	146   	3821.93	409361     	34.2857  	31459.5	6.90333	15 	1  	2.40152
10 	184   	4679.49	834991     	34.2857  	49342.1	7.92333	19 	3  	2.6377 
11 	166   	3756.34	351538     	34.2857  	23734.7	8.35667	17 	1  	2.67509
12 	162   	5065.57	920911     	19.2857  	54044.1	8.98333	19 	1  	2.30428
13 	182   	1931.2 	69617.1    	19.2857  	7788.54	9.13667	17 	1  	2.42033
14 	179   	7829.99	812678     	19.2857  	57282.5	9.21667	16 	1  	2.15478
15 	151   	5137.83	812678     	19.2857  	51087.1	9.26333	19 	1  	2.31531
16 	175   	1162.38	29489.1    	19.2857  	3593.46	9.62667	20 	1  	2.39318
17 	174   	1832.07	190689     	19.2857  	11819.5	10.2333	17 	1  	2.48037
18 	160   	1002.89	38214.7    	18.023   	3464.44	10.6667	17 	1  	2.24697
19 	162   	955.288	21445.6    	18.023   	2838.89	10.9733	24 	1  	2.53889
20 	182   	1537.87	38214.7    	18.023   	4830.88	11.1333	25 	1  	2.95334
21 	158   	871.023	21445.6    	5.8761   	2218.42	11.2533	22 	2  	2.89064
22 	155   	2255.58	286020     	5.8761   	16946  	11.5433	24 	1  	3.00579
23 	169   	802.157	25243.3    	5.8761   	2315.58	11.4767	23 	1  	3.0204 
24 	170   	1228.04	59796.4    	5.8761   	4620.76	11.7467	24 	5  	3.16478
25 	169   	1054.15	21516.4    	5.8761   	3057.72	11.9733	24 	1  	3.51842
26 	163   	1420.15	43090.3    	5.8761   	4927.67	12.2967	24 	1  	3.41692
27 	165   	1263.3 	38214.7    	5.8761   	4670.15	12.8667	28 	3  	3.92881
28 	177   	1341.2 	66812.4    	5.8761   	5118.83	13.5133	27 	1  	4.56616
29 	181   	703.455	25243.3    	5.8761   	1874.57	14.6067	29 	2  	4.49948
30 	169   	1315.33	168534     	5.6565   	9896.84	15.7067	30 	1  	4.57026
31 	163   	502.669	15042.3    	3.39916  	1312.78	16.48  	34 	3  	4.43053
32 	155   	894.235	76787.4    	3.39916  	4872.29	16.44  	42 	1  	4.99931
