   	      	                    fitness                    	              size              
   	      	-----------------------------------------------	--------------------------------
gen	nevals	avg     	max        	min	std    	avg    	max	min	std     
0  	300   	225.519 	53703      	0  	3095.12	3.77667	7  	2  	1.62074 
1  	151   	25.3449 	798        	0  	65.2138	3.99   	12 	1  	1.87169 
2  	154   	20.1165 	1446       	0  	85.501 	4.46667	14 	1  	2.04831 
3  	165   	22.1464 	1096.5     	0  	105.097	4.34333	10 	1  	2.08298 
4  	151   	32.4008 	1446       	0  	159.292	3.92333	12 	1  	2.17657 
5  	172   	28.2614 	1446       	0  	144.987	3.6    	12 	1  	2.17868 
6  	160   	11.0588 	798        	0  	66.435 	3.36333	10 	1  	2.10824 
7  	171   	194.968 	53703      	0  	3099.89	3.11667	11 	1  	2.03545 
8  	160   	5.93245 	798        	0  	47.1511	2.70667	11 	1  	1.97162 
9  	163   	5.85915 	798        	0  	46.8684	2.74333	11 	1  	1.98094 
10 	183   	16.6645 	1846.5     	0  	125.108	2.82   	10 	1  	2.13875 
11 	173   	14.0614 	1446       	0  	105.72 	2.74   	10 	1  	2.10374 
12 	181   	14.8509 	1148.5     	0  	94.7128	2.74667	9  	1  	2.08226 
13 	144   	36.0169 	4033.96    	0  	275.874	2.88667	12 	1  	2.24659 
14 	173   	13.3016 	1096.5     	0  	91.9545	2.47333	12 	1  	2.1854  
15 	167   	3.78108 	121        	0  	14.949 	2.39667	9  	1  	2.0541  
16 	178   	5.49856 	798        	0  	47.0005	2.39333	10 	1  	2.02121 
17 	163   	9.18413 	798        	0  	69.2613	2.56667	10 	1  	2.20278 
18 	164   	21.3867 	1446       	0  	147.687	2.61333	11 	1  	2.23095 
19 	161   	16.7617 	3907.49    	0  	229.697	2.31333	9  	1  	2.0885  
20 	169   	0.981788	25.5       	0  	4.46946	2.31667	9  	1  	2.03872 
21 	169   	3.2633  	121        	0  	13.7997	2.35   	11 	1  	2.09623 
22 	183   	2.42067 	102        	0  	10.2628	2.4    	11 	1  	2.14009 
23 	151   	7.6231  	798        	0  	58.2038	2.31   	9  	1  	2.01343 
24 	170   	17.0893 	1446       	0  	125.135	2.04333	9  	1  	1.83887 
25 	165   	9.39309 	798        	0  	58.8458	2.36333	9  	1  	2.0554  
26 	175   	21.4531 	1446       	0  	142.827	2.44667	12 	1  	2.20918 
27 	137   	4.86327 	798        	0  	46.7461	2.33667	12 	1  	2.20529 
28 	169   	6.65537 	1148.5     	0  	67.0927	2.29667	10 	1  	2.11864 
29 	156   	6.67677 	841        	0  	57.6024	2.27333	12 	1  	2.1707  
30 	162   	13.9369 	2664.66    	0  	160.431	2.33667	12 	1  	2.39374 
31 	132   	5.57433 	798        	0  	47.9227	2.39   	12 	1  	2.43404 
32 	153   	5.90706 	798        	0  	48.7518	2.39333	12 	1  	2.26096 
33 	169   	10.9279 	1096.5     	0  	89.3811	2.38   	12 	1  	2.31997 
34 	152   	9.4745  	798        	0  	66.2541	2.45   	15 	1  	2.46593 
35 	166   	4.0208  	757        	0  	44.1513	2.55333	17 	1  	2.8926  
36 	163   	7.29763 	798        	0  	65.3364	2.32   	15 	1  	2.57506 
37 	182   	3.89367 	632.17     	0  	36.9022	2.07667	15 	1  	2.17657 
38 	169   	9.01014 	1096.5     	0  	78.621 	1.95   	14 	1  	1.9564  
39 	176   	5.96349 	798        	0  	47.7378	1.77667	10 	1  	1.59587 
40 	157   	3.52675 	252.928    	0  	18.1482	1.66667	10 	1  	1.42439 
41 	163   	8.40595 	798        	0  	62.9282	1.77   	10 	1  	1.60118 
42 	157   	6.77884 	952.947    	0  	57.2027	1.79   	10 	1  	1.64496 
43 	171   	1.07328 	35.5       	0  	5.18031	1.49333	7  	1  	1.15612 
44 	163   	20.2534 	5059.5     	0  	292.144	1.64333	7  	1  	1.35749 
45 	158   	7.5528  	1046.5     	0  	63.598 	1.63333	9  	1  	1.35606 
46 	165   	4.35539 	798        	0  	46.3134	1.58333	9  	1  	1.25289 
47 	149   	2.40266 	102        	0  	10.1178	1.46   	8  	1  	1.14676 
48 	158   	2.76744 	229.5      	0  	16.9886	1.47   	7  	1  	1.14416 
49 	154   	2.81105 	121        	0  	13.1566	1.54   	7  	1  	1.21726 
50 	179   	2.60974 	102        	0  	10.5453	1.46333	8  	1  	1.13225 
51 	170   	238.319 	69919.5    	0  	4030.05	1.56667	9  	1  	1.37316 
52 	171   	2.65411 	102        	0  	11.8532	1.5    	7  	1  	1.16476 
