   	      	                    fitness                    	              size             
   	      	-----------------------------------------------	-------------------------------
gen	nevals	avg     	max    	min      	std    	avg    	max	min	std    
0  	300   	177.416 	3032.88	2.625    	297.885	3.71667	7  	2  	1.48875
1  	164   	108.142 	3032.88	2.02584  	186.142	3.75667	11 	1  	1.61579
2  	157   	75.0073 	2428.88	2.02584  	183.998	3.96667	12 	1  	1.6849 
3  	161   	61.9938 	3592.62	2.02584  	257.836	4.41333	13 	1  	2.03367
4  	172   	34.5363 	3032.88	1.85903  	185.943	4.46   	14 	1  	1.85699
5  	166   	23.9207 	1553.38	1.85903  	107.778	4.82   	13 	1  	1.85318
6  	153   	21.4497 	2524.12	1.85903  	147.863	5.16333	11 	1  	1.7767 
7  	164   	18.2349 	144.985	1.83711  	32.5606	5.65   	12 	1  	1.73229
8  	156   	21.8566 	1057.38	1.80159  	88.4542	6.21333	15 	2  	1.92557
9  	146   	12.575  	150.794	1.80159  	25.246 	6.55333	16 	1  	1.94092
10 	195   	20.8726 	492.766	1.80159  	42.839 	6.97667	15 	1  	2.15626
11 	144   	10.4952 	148.625	1.68668  	23.4975	7.30333	17 	1  	2.18586
12 	164   	12.6424 	267.625	1.68668  	28.3976	7.86   	21 	1  	2.30226
13 	158   	22.456  	1965.62	1.63825  	124.538	8.74333	28 	1  	3.16504
14 	166   	17.668  	1057.38	1.50188  	66.6733	9.85667	25 	2  	3.76069
15 	172   	12.38   	170.875	1.50188  	24.104 	10.9667	26 	1  	3.91308
16 	166   	11.471  	159.418	1.50188  	22.1832	11.69  	28 	1  	4.48113
17 	168   	17.6977 	1166.9 	1.4804   	73.2757	11.6133	29 	1  	4.11629
18 	156   	18.6429 	1467.07	1.4804   	94.3526	11.69  	24 	1  	3.95482
19 	155   	18.2511 	1965.62	1.4804   	122.471	12.28  	30 	1  	4.09654
20 	172   	9.16099 	235.547	1.42965  	25.0061	13.2933	32 	1  	4.54393
21 	163   	194.996 	55439.7	1.29485  	3194.98	14.0933	35 	1  	5.01444
22 	160   	11.1368 	243.787	1.17553  	26.7133	15.2867	32 	2  	4.99244
23 	171   	13.4312 	1059.05	1.17553  	65.5458	16.6767	36 	1  	5.45883
24 	144   	10.4513 	1035.83	1.09814  	61.8589	18.8633	39 	1  	6.2138 
25 	158   	5.58049 	148.625	1.09904  	14.8846	20.6967	48 	1  	6.95447
26 	173   	189.146 	53185.7	1.09904  	3065.92	22.1267	46 	4  	7.45368
27 	153   	5.87214 	124.818	0.698376 	17.9766	24.5233	53 	1  	8.7149 
28 	163   	12.0802 	1017.97	0.698376 	84.9571	26.84  	65 	2  	10.5594
29 	158   	16.2792 	1048.83	0.698376 	102.979	29.31  	59 	6  	9.3901 
30 	185   	14.0617 	849.204	0.698376 	89.4252	29.9733	63 	1  	10.7185
31 	164   	12.8854 	1048.26	0.698376 	82.7377	32.5333	69 	3  	11.0089
32 	159   	268.273 	76808.6	0.698376 	4427.33	32.7933	72 	3  	11.109 
33 	154   	13.2956 	1048.99	0.687028 	87.4706	32.5433	72 	1  	12.0985
34 	154   	610.545 	181010 	0.660257 	10432.8	31.63  	73 	2  	10.9499
35 	162   	14.0257 	755.351	0.63303  	75.6416	30.5633	73 	1  	9.47449
36 	179   	14.7121 	1060.42	0.586966 	79.7428	29.55  	94 	3  	9.63505
37 	154   	7.61897 	755.351	0.360095 	45.7892	29.8533	67 	3  	8.88023
38 	153   	69.8294 	15539.9	0.360095 	902.018	30.6667	66 	1  	10.1112
39 	165   	18.887  	1965.62	0.360095 	134.81 	32.3533	78 	2  	12.1694
40 	184   	15.7216 	1066   	0.360095 	86.9427	36.6933	79 	3  	13.2239
41 	162   	18.3351 	1953.15	0.352693 	128.505	40.7367	83 	4  	13.698 
42 	166   	7.46883 	719.875	0.352693 	46.32  	43.7433	103	5  	14.1994
43 	154   	18.0295 	1114   	0.352693 	116.387	44.1767	88 	10 	14.0932
44 	182   	29.8043 	1542.15	0.241987 	156.01 	43.7467	97 	7  	14.8982
45 	184   	36.4012 	1466.73	0.241987 	175.074	42.0833	91 	3  	17.1848
