   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg    	max        	min     	std        	avg    	max	min	std    
0  	300   	179.154	5995.88    	2.625   	365.349    	3.44333	7  	2  	1.38328
1  	168   	107.335	3032.88    	2.625   	179.333    	3.39   	8  	1  	1.30047
2  	151   	74.4576	1965.62    	2.625   	125.724    	3.55333	11 	1  	1.33435
3  	155   	49.9012	1948.51    	2.59018 	126.409    	3.83333	11 	1  	1.62447
4  	167   	28.8468	1245.38    	2.59018 	90.1752    	3.92   	11 	1  	1.46751
5  	156   	15.1385	267.625    	1.9729  	28.5325    	4.13   	12 	1  	1.59366
6  	153   	19.2931	719.875    	1.9729  	54.8912    	4.65667	11 	1  	1.72205
7  	165   	28.2552	761.625    	1.83552 	65.0695    	5.12333	13 	1  	1.70337
8  	165   	33.1922	1974.94    	1.9729  	141.446    	5.55   	13 	1  	1.90285
9  	158   	25.1681	1192.12    	1.85903 	90.8442    	5.89667	15 	1  	1.98309
10 	135   	37.1274	3048.57    	1.68734 	202.848    	6.56   	13 	1  	1.96801
11 	151   	33.2973	1192.12    	1.68734 	122.944    	7.18667	13 	1  	1.83262
12 	161   	47.974 	1057.38    	1.53184 	178.746    	7.86333	16 	3  	1.81604
13 	174   	36.8195	1057.38    	1.57815 	149.182    	8.35333	15 	1  	2.0628 
14 	151   	89.4359	16495      	1.53184 	960.199    	8.77667	19 	1  	2.43313
15 	178   	90.2591	16459.2    	1.52725 	954.926    	9.67333	18 	1  	2.94391
16 	145   	24.7052	1179.08    	1.22142 	111.637    	10.46  	19 	1  	2.89857
17 	164   	76.1374	16222.6    	1.22142 	937.357    	11.16  	22 	1  	2.91337
18 	147   	38.9105	1497.99    	1.22142 	162.8      	11.9167	26 	1  	3.2326 
19 	162   	185.039	16459.2    	1.22142 	1626.35    	12.46  	21 	2  	2.98022
20 	161   	30.4885	1033.8     	1.22142 	127.387    	13.24  	25 	4  	3.12662
21 	154   	18.1912	1049.49    	1.22142 	97.3064    	13.77  	27 	1  	3.61899
22 	177   	30.4023	1049.49    	1.22142 	129.846    	14.34  	30 	4  	3.64203
23 	163   	91.6447	16387      	1.22142 	953.734    	15.0433	37 	1  	4.10708
24 	184   	71.007 	16550      	1.22055 	956.943    	15.27  	31 	1  	3.88121
25 	166   	301.941	16570.9    	1.22055 	2098.88    	15.3433	30 	3  	4.05694
26 	145   	75.6491	16298.3    	1.22055 	946.782    	15.4867	30 	6  	3.246  
27 	162   	297.247	16459.2    	1.22142 	2095.87    	15.87  	29 	1  	3.55712
