   	      	                    fitness                    	              size             
   	      	-----------------------------------------------	-------------------------------
gen	nevals	avg    	max        	min      	std    	avg    	max	min	std    
0  	300   	10541.5	3.04275e+06	16.375   	175381 	3.77   	7  	2  	1.66045
1  	185   	154.067	404.104    	10.125   	84.719 	3.71   	9  	1  	1.67309
2  	157   	122.567	2785.38    	1.625    	202.223	4.00333	12 	1  	1.79536
3  	182   	88.5765	1752.88    	1.625    	158.446	4.16   	12 	1  	1.66765
4  	162   	48.4615	1752.88    	1.625    	136.014	4.28333	11 	1  	1.71553
5  	173   	34.2582	2192.88    	1.625    	139.32 	5.04   	11 	1  	1.90396
6  	160   	21.0237	676.375    	1.625    	55.2977	5.72667	13 	1  	1.77725
7  	159   	206.784	57598.9    	1.625    	3319.19	5.94   	13 	1  	1.77475
8  	179   	21.205 	819.125    	1.625    	66.1334	6.13333	14 	1  	1.71917
9  	159   	23.0782	861.875    	1.625    	88.5088	6.63   	15 	1  	1.65522
10 	162   	103.973	26506.8    	1.625    	1527.37	6.97   	17 	1  	1.81359
11 	158   	19.4125	1012.12    	1.625    	81.4281	7.03333	14 	2  	1.52934
12 	171   	36.299 	5014.62    	1.6105   	296.827	7.05   	12 	1  	1.45402
13 	180   	25.3314	1423.12    	1.6105   	91.1379	7.09   	13 	1  	1.68777
14 	172   	26.7252	1821.12    	1.42183  	111.953	7.11333	13 	1  	1.71867
15 	164   	20.0691	861.875    	1.42183  	61.5598	7.15   	16 	1  	1.71683
16 	170   	28.3619	1171.88    	1.42183  	85.1956	7.38333	16 	1  	1.86272
17 	143   	12.3962	127.375    	1.42183  	18.7854	7.39667	16 	5  	1.77181
18 	178   	16.8403	819.125    	1.2628   	54.0171	7.35   	16 	1  	1.81865
19 	168   	26.7131	1363.88    	1.2628   	103.545	7.48333	19 	1  	2.16404
20 	145   	16.3506	569.125    	1.2628   	44.5266	7.43333	16 	1  	1.73941
21 	156   	22.9226	1423.12    	1.2628   	97.4769	7.43333	15 	1  	1.76792
22 	154   	28.8683	1936.36    	1.2628   	140.934	7.42667	16 	2  	1.87384
23 	173   	19.5592	223.625    	1.2628   	35.4301	7.54   	15 	1  	1.90133
24 	156   	15.6997	819.125    	1.2628   	52.0434	7.80333	16 	1  	1.99114
25 	144   	15.5542	229.695    	1.2628   	34.0914	8.22667	16 	1  	2.30115
26 	184   	15.3073	393.164    	1.2628   	32.9126	8.97333	22 	3  	2.71526
27 	151   	12.0958	335.256    	1.2628   	29.2837	9.59   	17 	1  	2.57201
28 	177   	31.5736	5014.62    	0.958902 	289.832	10.0233	20 	1  	2.88492
29 	173   	13.3994	312.265    	0.872712 	32.8672	10.5667	25 	1  	3.15999
30 	170   	10.7668	218.689    	0.670715 	25.5372	10.8467	25 	1  	3.18169
31 	184   	20.1548	1752.88    	0.670715 	103.917	11.06  	25 	2  	3.66466
32 	178   	22.0194	436.875    	0.670715 	50.1444	11.7633	30 	1  	4.73997
33 	155   	11.2497	539.963    	0.715722 	37.7019	13.1567	32 	1  	5.59096
34 	152   	10.0736	268.495    	0.488926 	29.0149	15.5767	37 	2  	6.30694
35 	155   	10.1989	868.944    	0.488926 	53.7568	18.5767	47 	5  	7.1085 
36 	168   	20.2411	1133.1     	0.488926 	107.146	20.75  	54 	2  	7.40726
37 	163   	11.9993	833.681    	0.4726   	54.1956	21.44  	46 	1  	8.13509
38 	153   	15.7031	1038.35    	0.349742 	91.9652	22.6133	46 	2  	7.82542
39 	156   	8.01352	825.273    	0.349742 	50.6969	23.6267	51 	5  	8.37779
40 	135   	8.50756	496.045    	0.349742 	35.2885	23.7733	52 	1  	8.70452
41 	165   	7.47888	197.375    	0.262509 	22.5651	25.2367	62 	5  	9.50302
42 	142   	4.80496	108.625    	0.262509 	13.5557	26.7533	53 	1  	8.57161
43 	172   	14.1541	1107.9     	0.262509 	83.5529	28.2167	61 	5  	9.71647
44 	160   	5.90625	216.758    	0.23405  	20.0265	30.5   	69 	3  	9.17369
45 	167   	8.62757	790.186    	0.156423 	51.9051	31.4633	62 	4  	9.16562
46 	159   	9.05584	817.266    	0.156423 	51.8034	32.05  	67 	5  	8.64374
47 	172   	5.92026	173.125    	0.156423 	15.6539	32.36  	63 	1  	10.6262
48 	167   	6.61226	203.059    	0.156423 	21.8956	33.6567	72 	1  	11.3454
49 	161   	8.56682	770.27     	0.156423 	49.4862	35.23  	71 	1  	11.171 
50 	186   	8.17584	264.995    	0.156423 	26.8019	37.71  	94 	1  	13.5228
51 	167   	9.95847	1061.37    	0.156423 	71.8307	41.61  	73 	6  	14.3484
52 	164   	4.36874	231.432    	0.133367 	17.3264	45.21  	78 	1  	15.405 
53 	156   	6.41022	254.935    	0.133367 	29.6358	49.4067	117	1  	17.1789
54 	170   	7.47519	851.604    	0.133367 	52.2509	52.6967	102	5  	15.9824
55 	161   	2.90225	100.045    	0.129775 	11.2816	56.04  	115	5  	13.845 
56 	136   	1.43151	117.875    	0.109443 	8.09253	58.6067	117	7  	10.9407
57 	162   	2.84123	109.95     	0.080204 	12.6126	58.0733	104	7  	11.7519
58 	153   	3.2471 	232.521    	0.080204 	17.1356	58.3633	104	7  	10.4727
59 	192   	6.51469	392.86     	0.080204 	33.9175	56.18  	100	5  	14.4785
60 	167   	5.37735	809.297    	0.080204 	48.7874	56.9533	116	3  	12.6287
61 	180   	3.00768	430.692    	0.080204 	25.3899	56.57  	103	7  	10.9321
62 	168   	3.72469	223.625    	0.080204 	19.0587	53.29  	74 	3  	13.3264
63 	161   	3.4584 	121.813    	0.0774926	14.3173	53.1033	101	5  	13.1136
64 	157   	3.48702	230.351    	0.0774926	21.6906	54.6633	101	5  	13.2656
65 	148   	2.94048	107.897    	0.0774926	12.454 	55.33  	92 	9  	13.133 
66 	162   	5.19307	251.875    	0.0774926	23.829 	57.4633	99 	6  	13.3729
67 	144   	4.19782	262.762    	0.0774926	23.2545	60.3   	96 	5  	12.2086
68 	161   	3.31571	117.875    	0.0774926	14.7479	59.8167	98 	5  	12.7341
69 	150   	1.92404	117.875    	0.0657762	8.9386 	60.99  	87 	5  	11.8778
70 	172   	2.22047	101.883    	0.0540766	10.7669	60.44  	105	5  	13.1575
71 	152   	5.6623 	409.026    	0.0540766	38.181 	60.9033	87 	1  	10.8745
72 	168   	2.0609 	128.594    	0.0540766	12.4795	60.4767	99 	8  	10.794 
73 	161   	2.19359	102.675    	0.0540766	10.6396	59.5533	94 	5  	12.3256
74 	166   	4.03696	201.74     	0.0540766	20.847 	60.66  	104	3  	10.8479
75 	180   	3.52171	197.375    	0.0540766	17.9634	59.0067	98 	4  	12.4528
76 	164   	2.32178	252.135    	0.0540766	16.3644	59.16  	100	5  	11.5957
77 	162   	2.31143	107.897    	0.0540766	12.2086	59.06  	101	5  	11.984 
78 	174   	2.65298	197.375    	0.0540766	14.2796	57.1233	103	3  	14.5284
79 	162   	8.87509	1120.06    	0.0540766	68.5889	56.8867	97 	2  	14.7605
80 	148   	2.37266	124.788    	0.0540766	9.84839	58.7167	100	9  	11.0077
81 	164   	4.10542	233.22     	0.0540766	20.8887	57.5367	102	3  	13.4636
82 	149   	5.4235 	819.125    	0.0540766	49.4133	59.1833	103	12 	11.5601
83 	176   	6.23427	407.022    	0.0540766	34.2402	58.0967	103	5  	12.0339
84 	155   	3.57689	252.135    	0.0540766	19.6055	57.8033	101	1  	12.4109
85 	153   	3.35395	197.375    	0.0540766	17.9442	58.1533	90 	1  	11.5408
86 	153   	1.63931	37.5207    	0.0540766	6.07122	58.9567	117	5  	11.7105
87 	193   	2.74222	118.02     	0.0540766	12.1284	58.3967	100	5  	12.0714
88 	170   	3.89412	252.135    	0.0540766	22.6418	58.2367	99 	5  	12.2238
89 	152   	2.24436	117.875    	0.0540766	11.1072	58.2733	102	1  	11.9152
90 	151   	4.32458	278.34     	0.0540766	21.1164	59.0067	101	5  	11.2514
91 	163   	2.22209	105.714    	0.0540766	12.0327	58.4833	113	5  	12.5622
92 	163   	4.42133	407.022    	0.0540766	28.9148	58.46  	113	4  	13.8112
93 	150   	2.95481	230.409    	0.0540766	19.0714	58.1167	98 	3  	12.4313
94 	163   	2.11   	114.69     	0.0540766	11.0215	57.6833	104	5  	13.9309
95 	181   	5.11564	410.627    	0.0540766	30.0427	59.1867	101	5  	12.2911
96 	164   	4.46501	818.967    	0.0540766	47.8915	58.1533	94 	6  	10.831 
97 	162   	3.64679	407.022    	0.0540766	26.2684	58.9933	102	5  	11.0562
98 	184   	1.58485	99.1431    	0.0540766	7.61417	57.8633	92 	5  	11.9029
99 	174   	1.8866 	124.788    	0.0540766	11.4801	58.4467	92 	5  	10.6946
100	159   	1.81063	117.875    	0.0540766	9.66126	58.95  	93 	5  	10.0327
101	159   	2.48741	231.546    	0.0540766	14.5159	59.4967	100	12 	10.507 
102	184   	11.4735	1189.8     	0.0540766	97.2499	58.55  	116	5  	12.2213
103	148   	5.25849	278.34     	0.0540766	27.7452	59.45  	96 	3  	10.4394
104	166   	7.61084	1033.98    	0.0540766	63.2259	57.9133	102	1  	12.1479
105	172   	4.48353	251.875    	0.0540766	26.114 	58.3333	100	3  	12.1165
106	156   	5.4333 	399.712    	0.0540766	33.8399	58.6667	104	5  	11.3218
107	161   	2.64934	364.375    	0.0540766	22.1455	58.56  	97 	2  	11.9435
108	190   	3.86349	278.34     	0.0540766	20.906 	58.54  	96 	7  	11.7534
