   	      	                    fitness                    	              size             
   	      	-----------------------------------------------	-------------------------------
gen	nevals	avg    	max       	min       	std    	avg    	max	min	std    
0  	300   	918.542	211483    	2.375     	12178.3	3.46   	7  	2  	1.47481
1  	158   	149.505	2192.88   	2.375     	137.207	3.64   	9  	1  	1.55255
2  	189   	363.125	74390.4   	5.875     	4282.06	4.05   	11 	1  	1.81131
3  	153   	80.1876	2117.62   	1.29224   	146.714	4.24667	13 	1  	1.84368
4  	169   	43.3375	719.254   	1.29224   	66.6737	4.22667	10 	1  	1.71132
5  	164   	43.7106	3317.38   	1.29224   	202.627	4.61   	11 	1  	1.79756
6  	148   	22.4562	370.125   	1.29224   	46.5685	5.02   	10 	1  	1.62058
7  	169   	25.1127	1363.88   	1.29224   	88.3688	5.39667	13 	2  	1.51415
8  	158   	71.2719	15325.4   	1.29224   	885.455	5.52333	13 	1  	1.57357
9  	148   	61.3409	10568.4   	1.29224   	637.704	5.56667	12 	1  	1.5871 
10 	160   	96.9213	15325.4   	1.29224   	924.654	5.82667	12 	1  	1.7039 
11 	167   	192.463	15325.4   	1.29224   	1314.13	6.43667	13 	1  	2.06543
12 	170   	319.593	18929.7   	1.19277   	1701.28	7.07   	14 	1  	2.27562
13 	135   	218.227	15325.4   	1.14313   	1105.75	7.66667	15 	1  	1.95505
14 	173   	176.381	15325.4   	1.14313   	1188.14	7.83667	15 	1  	2.26936
15 	158   	217.581	10568.4   	1.14313   	1078   	8.01   	15 	1  	2.2546 
16 	162   	408.062	14325.1   	1.14313   	1774.69	8.25   	20 	3  	2.36379
17 	165   	451.742	28567.2   	1.14313   	2585.11	8.22667	15 	1  	2.46075
18 	162   	611.021	23842.2   	1.14313   	2655.6 	8.62   	17 	2  	2.50777
19 	137   	475.646	81357.6   	0.973131  	4967.5 	8.71667	16 	3  	2.48121
20 	130   	414.788	34559.1   	0.973131  	3066.45	8.97667	17 	1  	2.22474
21 	153   	540.588	36105.4   	0.973131  	3390.66	9.41333	20 	1  	2.55913
22 	158   	579.317	81357.6   	0.973131  	5056.6 	9.63333	22 	1  	3.03077
23 	169   	1427.59	81357.6   	0.973131  	8518.95	10.15  	18 	1  	2.80609
24 	177   	979.63 	81357.6   	0.829657  	7097.3 	10.05  	20 	1  	2.9756 
25 	155   	433.93 	38478.6   	0.829657  	3601.14	10.1433	19 	1  	2.71958
26 	153   	779.224	56639.6   	0.829657  	5134.49	10.48  	23 	1  	3.26644
27 	176   	626.159	49286.9   	0.829657  	4115.42	10.79  	26 	1  	3.59989
28 	162   	13639.1	3.9822e+06	0.829657  	229520 	11.2367	28 	3  	3.35171
29 	176   	438.179	40876.3   	0.829657  	3047.62	11.5833	26 	2  	2.9625 
30 	159   	252.649	19758.9   	0.75197   	1671.53	11.7867	31 	1  	3.87399
31 	139   	416.961	19758.9   	0.75197   	2440.54	11.8267	26 	1  	3.38476
32 	177   	292.499	20577.1   	0.75197   	1865.19	11.7067	26 	3  	3.38929
33 	157   	406.845	28825.6   	0.75197   	2749.47	11.77  	27 	1  	3.88378
34 	159   	103.826	12534.2   	0.775993  	809.142	11.68  	30 	1  	3.72079
35 	184   	315.46 	18547     	0.591253  	1773.94	11.8467	26 	1  	3.68553
36 	197   	394.134	17455.3   	0.775993  	1958.88	11.6967	26 	1  	3.93505
37 	152   	1228.93	235034    	0.591253  	13826.8	11.5033	23 	1  	3.6765 
38 	154   	299.214	17640.4   	0.591253  	1793.72	11.9867	31 	3  	3.90297
39 	176   	280.658	16361.6   	0.523572  	1516.78	12.1267	24 	1  	4.22579
40 	175   	3480.04	967886    	0.523572  	55789.6	12.8833	26 	3  	4.44781
41 	184   	274.327	17274.8   	0.523572  	1628.01	14.0067	31 	1  	5.36221
42 	145   	126.058	17274.8   	0.523572  	1224.48	15.3133	37 	3  	5.78635
43 	159   	107.726	12415.5   	0.279471  	809.953	16.7367	39 	1  	6.17689
44 	171   	1020.56	232243    	0.279471  	13477.2	17.9133	41 	2  	6.91032
45 	167   	374.946	16336.8   	0.279471  	2011   	19.6267	44 	1  	7.25539
46 	170   	670.452	43523.7   	0.279471  	3546.3 	21.0633	55 	1  	7.25254
47 	164   	197.267	12711.3   	0.279471  	1264.77	21.68  	49 	3  	7.0141 
48 	169   	215.905	19010.2   	0.279471  	1636.69	22.1067	50 	3  	7.50124
49 	175   	309.068	38444.9   	0.279471  	2397.38	21.6633	44 	1  	7.3    
50 	187   	428.587	25833.7   	0.279471  	2510.94	21.81  	49 	3  	7.49492
51 	175   	181.485	21929.9   	0.277922  	1421.89	22.1333	62 	3  	8.02219
52 	154   	290.022	25833.7   	0.277922  	2191.03	21.4267	57 	1  	7.39941
53 	160   	507.366	38426.6   	0.277922  	2930.61	21.45  	60 	3  	8.09655
54 	149   	95.9364	11715.1   	0.277922  	751.533	21.0567	52 	3  	6.23913
55 	173   	1155.24	240223    	0.256554  	14056.9	21.02  	49 	1  	6.57061
56 	160   	103.836	8822.07   	0.256554  	737.595	21.6133	49 	3  	7.05104
57 	184   	352.137	27102     	0.229332  	2185.24	22.0767	51 	1  	7.95848
58 	147   	376.319	33187.1   	0.227752  	2469.46	22.8967	54 	4  	8.46203
59 	178   	209.109	14387     	0.189788  	1249.69	24.1733	51 	3  	9.17369
60 	168   	66.7679	12770.2   	0.112472  	747.504	25.58  	52 	3  	9.99251
61 	172   	406.333	41768.1   	0.112472  	2892.92	28.5233	60 	3  	10.7695
62 	156   	263.161	27274.2   	0.112472  	2150.69	29.79  	61 	3  	10.5372
63 	169   	499.324	29080.5   	0.0995998 	2989.22	32.7267	66 	3  	10.0833
64 	164   	1625.62	443581    	0.0995998 	25584.4	34.5067	76 	3  	11.1909
65 	162   	267.803	14281.9   	0.0990048 	1671.13	35.1   	79 	2  	11.7219
66 	172   	396.687	43917     	0.0995998 	3205.61	35.4033	67 	3  	10.6646
67 	164   	308.466	21681     	0.0937092 	2153.5 	35.2833	71 	1  	11.2746
68 	169   	66.2345	10929.1   	0.0937092 	662.491	34.6833	70 	1  	10.1569
69 	168   	197.753	16722     	0.0937092 	1410.51	35.03  	68 	5  	9.34144
70 	171   	346.071	42501.9   	0.0937092 	3112.61	34.6767	65 	3  	9.46108
71 	165   	373.808	39836.1   	0.0828925 	2884.77	35.7433	66 	1  	10.3742
72 	144   	66.0569	4265.51   	0.0828925 	473.443	37.2067	62 	5  	8.17541
73 	154   	117.013	16609.8   	0.0828925 	1039.85	37.01  	62 	1  	9.86255
74 	175   	106.445	16938.1   	0.0625587 	1041.65	36.8533	67 	4  	8.97878
75 	166   	445.143	41409.9   	0.0625587 	2998.56	36.66  	68 	3  	9.54975
76 	152   	240.822	27062.4   	0.0625587 	2064.16	36.4667	73 	3  	10.8672
77 	183   	697.81 	42386.8   	0.0625587 	4363.99	36.11  	66 	3  	10.0302
78 	169   	209.755	17621.9   	0.0625587 	1485.4 	35.55  	85 	1  	11.184 
79 	153   	300.602	43895.9   	0.0625587 	3471.85	34.6933	77 	1  	11.3258
80 	178   	193.074	12958.8   	0.0591335 	1380.87	35.8667	79 	3  	12.5937
81 	172   	142.292	17773.4   	0.0591335 	1413.69	35.69  	79 	3  	12.7878
82 	160   	1223.68	302377    	0.0591335 	17494.2	36.3533	79 	2  	12.1316
83 	182   	209.313	17621.9   	0.0591335 	1428.63	36.7333	83 	1  	12.1225
84 	162   	58.9076	4132.92   	0.0591335 	418.991	37.84  	73 	3  	11.0037
85 	157   	250.987	39730.5   	0.048651  	2614.15	38.6333	73 	1  	11.2732
86 	187   	125.16 	17978.8   	0.048651  	1123.55	40.1233	71 	3  	9.84927
87 	163   	916.085	240219    	0.048651  	13872.5	41.1133	74 	3  	9.55897
88 	155   	61.272 	5544.2    	0.048651  	497.036	40.6567	79 	1  	11.1373
89 	149   	194.94 	22564.7   	0.048651  	1740.92	40.65  	80 	3  	11.6822
90 	136   	20.8861	4833.64   	0.0435756 	278.956	42.14  	83 	1  	10.1555
91 	160   	148.385	18663.3   	0.0435756 	1349.2 	42.2233	77 	3  	8.69637
92 	182   	319.876	47518.5   	0.0435756 	3024.49	40.9033	76 	3  	10.4773
93 	175   	217.847	28948.5   	0.0435756 	2099.27	41.7067	81 	3  	9.83704
94 	163   	103.726	15791.2   	0.0435756 	1023.58	41.83  	86 	3  	10.2268
95 	147   	62.4175	4772.78   	0.0435756 	444.574	41.94  	85 	3  	9.23849
96 	175   	75.3327	5614.7    	0.0389407 	525.95 	42.45  	84 	2  	11.1523
97 	163   	88.0473	15693.5   	0.042903  	964.395	42.6233	83 	4  	9.88069
98 	154   	65.2843	4341.86   	0.042903  	452.307	43.0033	84 	3  	10.15  
99 	151   	740.083	191636    	0.0397973 	11092.2	43.71  	86 	3  	9.76452
100	168   	121.715	18348.7   	0.0397973 	1340.39	43.66  	86 	3  	11.019 
101	170   	40.2769	5447.78   	0.0397973 	377.595	42.7667	84 	3  	11.6418
102	162   	421.944	43838.6   	0.0300402 	3169.77	43.29  	92 	3  	11.1773
103	186   	118.281	15949.7   	0.0300402 	1028   	44.3067	79 	3  	10.416 
104	177   	54.7917	5000.26   	0.0300402 	438.224	43.3833	82 	2  	11.3515
105	177   	23.5208	4056.57   	0.0300402 	238.787	43.3867	83 	3  	11.4404
106	171   	135.02 	15372.7   	0.0300402 	1180.21	43.6733	91 	1  	11.5164
107	177   	62.8878	15633.8   	0.0300402 	901.698	43.8933	84 	2  	11.7693
108	177   	106.124	20124.9   	0.0300402 	1190.16	44.58  	86 	3  	10.8063
