   	      	                fitness                	              size              
   	      	---------------------------------------	--------------------------------
gen	nevals	avg    	max        	min	std    	avg    	max	min	std     
0  	300   	616.005	5260.5     	0  	372.622	3.74333	7  	2  	1.61579 
1  	149   	492.951	841        	0  	151.331	3.61667	11 	1  	1.56729 
2  	182   	435.782	2338       	0  	256.24 	3.75333	14 	1  	1.75475 
3  	166   	305.937	841        	0  	212.675	3.84333	10 	1  	1.57653 
4  	169   	270.396	16435      	0  	1340.12	4.08667	14 	1  	1.74523 
5  	171   	459.07 	16435      	0  	2303.08	3.92   	9  	1  	1.59173 
6  	149   	190.132	16435      	0  	1365.18	3.69   	12 	1  	1.58553 
7  	166   	194.59 	30939      	0  	1808.7 	3.78   	12 	1  	1.56789 
8  	152   	206.181	16435      	0  	1381.57	3.5    	9  	1  	1.25831 
9  	164   	220.295	16435      	0  	1638.37	3.43667	12 	1  	1.3902  
10 	153   	248.581	16435      	0  	1655.43	3.49333	18 	1  	1.52642 
11 	174   	249.781	16435      	0  	1705.51	3.32667	12 	1  	1.17187 
12 	148   	72.7335	2338       	0  	272.71 	3.25333	8  	1  	0.892089
13 	169   	78.951 	2747.5     	0  	284.035	3.19   	9  	1  	1.02984 
14 	153   	199.223	16435      	0  	1376.33	3.20333	9  	1  	0.87292 
15 	140   	3554.26	942804     	0  	54411.2	3.30667	9  	1  	1.04529 
16 	180   	56.1599	2338       	0  	215.422	3.15333	7  	1  	0.655608
17 	160   	65.3464	2338       	0  	221.702	3.19   	9  	1  	0.938385
18 	158   	51.5317	2338       	0  	238.414	3.14667	9  	1  	0.720062
19 	167   	127.075	16435      	0  	1000.74	3.13   	8  	1  	0.702211
20 	149   	217.474	16435      	0  	1641.02	3.17333	9  	1  	0.830636
21 	181   	69.908 	5260.5     	0  	391.982	3.10667	8  	1  	0.736176
22 	177   	42.9297	2338       	0  	191.269	3.13667	9  	1  	0.751436
23 	150   	56.2274	4690       	0  	306.807	3.12667	9  	1  	0.777146
24 	154   	265.383	39944.5    	0  	2509.2 	3.18667	9  	1  	0.867077
25 	166   	236.665	30939      	0  	2115.23	3.15   	9  	1  	0.757738
26 	158   	59.406 	2338       	0  	237.072	3.12   	9  	1  	0.677446
27 	175   	243.113	39944.5    	0  	2492.87	3.15   	9  	1  	0.808806
28 	156   	80.3909	2987.03    	0  	305.684	3.18   	8  	1  	0.924265
29 	155   	139.308	17425.5    	0  	1044.4 	3.19333	9  	1  	0.93948 
30 	164   	112.438	16435      	0  	966.972	3.10333	9  	1  	0.774159
31 	178   	61.0482	798        	0  	179.37 	3.13333	8  	1  	0.727247
32 	176   	65.7448	2338       	0  	306.435	3.1    	8  	1  	0.680686
33 	191   	54.0747	3277       	0  	271.785	3.09   	7  	2  	0.463932
34 	156   	104.511	16596.9    	0  	975.441	3.09667	9  	1  	0.702843
35 	175   	58.839 	798        	0  	176.121	3.15333	9  	1  	0.910946
36 	171   	61.642 	2747.5     	0  	274.592	3.28667	15 	1  	1.26141 
