   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg    	max        	min      	std        	avg    	max	min	std    
0  	300   	222.019	1396.5     	103.75   	85.7823    	3.61   	7  	2  	1.48926
1  	174   	192.316	1085.88    	103.75   	66.1025    	3.7    	11 	1  	1.63197
2  	161   	173.722	1373.26    	100.5    	83.5238    	4.01333	11 	1  	1.73584
3  	164   	241.185	27308.5    	100.5    	1567.58    	4.03333	10 	1  	1.62652
4  	166   	132.357	1396.5     	100.5    	98.7798    	4.03   	12 	1  	1.67405
5  	177   	123.582	1127.25    	100.5    	72.0614    	3.77667	9  	1  	1.31661
6  	150   	112.663	483.5      	100.5    	39.6482    	3.82   	11 	1  	1.37632
7  	146   	198.325	24859      	98.3289  	1428.08    	4.31333	12 	1  	1.60473
8  	153   	109.326	483.5      	98.3289  	31.5507    	4.82667	11 	1  	1.50442
9  	164   	106.213	333.21     	87.8683  	19.1256    	5.29   	12 	1  	1.56819
10 	159   	112.239	1402.5     	87.8683  	78.0023    	5.54667	13 	1  	1.81324
11 	172   	106.455	483.5      	46.7972  	30.0522    	6.00667	14 	1  	2.08326
12 	168   	123.255	4819.83    	46.7972  	273.999    	6.91   	18 	3  	2.69355
13 	171   	110.386	966.265    	46.7972  	69.9521    	7.75333	18 	1  	2.80223
14 	166   	103.44 	476.221    	46.7972  	34.2137    	8.61667	20 	1  	3.29389
15 	172   	104.588	501.727    	35.8117  	47.6023    	9.87667	24 	1  	3.69524
16 	179   	97.6103	1625.79    	35.0085  	91.4783    	11.54  	24 	2  	4.37513
17 	169   	229.522	37496.7    	35.0085  	2159.65    	13.8867	38 	1  	5.44063
18 	184   	1115.46	221301     	35.0085  	13174.4    	16.22  	38 	2  	5.25721
19 	175   	501.988	116682     	31.2831  	6722.88    	17.4933	42 	5  	6.01193
20 	161   	207.978	30281.8    	17.9672  	1783.94    	18.5933	39 	3  	6.24563
21 	171   	174.101	25673.3    	17.9672  	1481.93    	19.1933	54 	2  	6.22543
22 	177   	123.181	3594.75    	17.6235  	315.358    	20.0133	54 	3  	6.88863
23 	168   	117.155	3008.2     	10.6446  	268.982    	20.2933	57 	5  	6.61871
24 	148   	137.456	14571.2    	10.6446  	861.486    	20.4033	61 	1  	6.38389
25 	149   	8739.4 	2.58083e+06	10.6446  	148749     	20.95  	60 	3  	6.1178 
26 	161   	574.143	128179     	7.52721  	7391.11    	20.8333	46 	3  	7.02037
27 	164   	170.453	13211.4    	6.78906  	844.034    	21.1333	42 	1  	6.91729
28 	164   	611.054	126491     	7.30677  	7311.53    	22.0633	50 	1  	7.53786
29 	175   	100.458	3232.3     	7.52721  	230.106    	22.9   	50 	3  	7.24822
30 	164   	131.823	4557.31    	6.29851  	404.133    	24.1967	51 	1  	8.01652
31 	155   	462.504	44283.4    	5.31016  	3238.11    	25.4167	57 	3  	7.36816
32 	152   	211.234	14847.3    	4.76398  	1121.59    	27.0633	57 	5  	7.31888
33 	164   	552.725	96235      	4.76398  	5758.8     	28.3867	52 	3  	6.77179
34 	162   	1027.35	234290     	5.31016  	13569.6    	29.0333	53 	1  	6.83951
35 	176   	4619.58	1.28851e+06	5.23548  	74266.9    	29.96  	59 	1  	7.25523
36 	164   	177.998	4845.62    	5.23548  	686.893    	30.68  	58 	5  	6.12462
37 	192   	520.878	26498.3    	5.23548  	2823.25    	31.33  	58 	5  	7.26139
38 	166   	1352.76	245396     	5.23548  	14430.9    	31.9067	57 	5  	7.01793
39 	154   	292.332	24520      	5.23548  	1663.65    	32.1167	63 	1  	7.5593 
40 	158   	129.886	8530.2     	5.23548  	652.537    	32.6833	73 	3  	8.72141
41 	170   	255.981	34061.1    	4.34426  	2096.56    	33.12  	67 	5  	6.63719
42 	171   	229.597	20956.2    	4.34426  	1508.43    	32.9033	64 	5  	6.18336
43 	185   	3472.19	899380     	4.63172  	51889.1    	33.1033	66 	1  	8.62705
44 	176   	485.672	27709.5    	4.01826  	2812.37    	32.7467	67 	5  	8.51249
45 	178   	206.769	14939.7    	4.34426  	1273.38    	33.0433	65 	2  	7.58297
46 	169   	196.624	14939.7    	3.90775  	1134.68    	33.5133	69 	2  	9.31575
47 	158   	312.411	44716.6    	3.11179  	2751.08    	33.9433	84 	5  	8.04902
48 	167   	267.318	25794.5    	2.85144  	1732.87    	34.0067	64 	10 	7.05077
49 	166   	320.21 	30647.3    	2.85144  	2164.55    	34.3067	64 	3  	8.61351
50 	168   	247.619	25012.4    	2.85144  	1626.61    	35.13  	64 	1  	8.71396
51 	187   	431.018	35648.6    	2.85144  	2951.31    	37.43  	75 	5  	8.54703
52 	164   	1039.2 	196699     	0.984762 	11531.3    	39.51  	83 	5  	10.7575
53 	153   	141.495	22170.6    	0.984762 	1330.33    	40.9533	79 	4  	11.0435
54 	177   	62.8046	2907.87    	2.83917  	245.33     	43.22  	82 	3  	13.3218
55 	170   	1189   	325423     	2.46882  	18759.3    	46.74  	94 	1  	13.8835
56 	160   	402.086	50657.9    	2.03836  	3369.68    	49.7033	90 	5  	14.3272
57 	188   	454.536	50560.3    	2.03836  	3730.25    	51.59  	111	3  	16.4573
58 	169   	1230.21	289117     	2.03836  	16802.3    	52.6867	118	1  	17.1851
59 	174   	2806.82	440936     	2.03836  	32128.5    	50.8533	103	5  	16.1013
60 	153   	4596.36	1.24563e+06	2.03836  	71822.4    	50.6067	109	5  	17.8187
61 	147   	123.481	5577.32    	1.88022  	609.476    	47.4733	102	1  	17.393 
62 	177   	332.809	22932.6    	1.88022  	1966.83    	45.56  	98 	5  	16.6737
63 	164   	1482.59	413317     	1.52831  	23821.7    	45.78  	101	5  	18.7472
64 	166   	3561.34	1.0248e+06 	1.38254  	59075.5    	47.7733	101	5  	19.1223
65 	158   	218.223	22884.6    	1.88022  	1566.72    	49.5333	100	5  	18.8206
66 	161   	363.964	25269.9    	1.88022  	2255.28    	53.5433	92 	7  	19.5573
67 	154   	88.9689	4858.18    	1.88022  	473.918    	56.9767	118	1  	21.2884
68 	172   	154.053	24235.4    	1.44205  	1464.27    	62.2733	116	6  	19.1069
69 	158   	3577.53	1.02578e+06	1.38254  	59136.1    	65.6567	123	5  	19.0482
70 	161   	84.5006	12765.3    	0.827192 	760.495    	67.37  	127	5  	18.3278
71 	187   	128.236	24526.6    	0.827192 	1421.71    	69.67  	114	18 	16.6554
72 	170   	56.0584	4825.13    	0.827192 	300.668    	71.2667	120	3  	16.8551
73 	163   	236.7  	25269.9    	0.827192 	1942.57    	74.71  	114	5  	13.6657
74 	168   	116.85 	5888.15    	0.827192 	632.132    	76.64  	158	5  	14.1809
75 	148   	35.489 	5584.32    	0.827192 	323.985    	77.5067	126	5  	14.5532
76 	146   	110.154	24572      	0.686505 	1419.49    	77.0433	132	5  	14.8964
77 	154   	41.4438	3162.52    	0.629535 	220.066    	76.6967	118	5  	12.8897
78 	176   	89.2132	14768.8    	0.629535 	897.928    	76.4967	142	5  	12.5173
79 	171   	174.775	31854.3    	0.640347 	1904.46    	76.4167	106	19 	11.3858
80 	173   	210.453	25012.4    	0.640347 	1981.02    	78.1067	130	31 	12.3376
81 	163   	77.6482	4871.33    	0.640347 	441.071    	76.71  	123	10 	15.2672
82 	166   	126.414	16209      	0.629535 	1059.91    	77.7367	132	1  	11.8034
83 	168   	106.6  	6701.66    	0.629535 	628.443    	76.37  	131	7  	15.9068
84 	183   	119.053	20779.2    	0.618952 	1254.04    	76.97  	132	21 	13.422 
85 	163   	149.217	14734      	0.456203 	1089.46    	75.0667	135	10 	14.3267
86 	165   	332.639	51758.5    	0.456203 	3339.48    	74.9067	130	10 	12.1558
87 	159   	33.9358	1374.98    	0.456203 	135.588    	74.31  	128	3  	13.6394
88 	200   	311.778	51824.9    	0.456203 	3165.4     	73.9667	135	1  	14.2905
89 	161   	67.5671	4871.33    	0.456203 	426.361    	75.45  	120	32 	10.3047
90 	165   	113082 	3.38747e+07	0.456203 	1.95249e+06	74.92  	122	10 	13.9972
91 	152   	1080.78	292580     	0.456203 	16903.6    	76.38  	124	16 	10.8843
92 	151   	340.875	57766.1    	0.321802 	3487.85    	77.6933	142	3  	13.2406
93 	163   	173.925	22848.6    	0.456203 	1423.22    	77.8333	136	9  	15.3733
94 	164   	254.255	36407.8    	0.456203 	2558.43    	77.3533	156	10 	14.2589
95 	152   	56.8105	7163.92    	0.456203 	497.667    	77.51  	109	10 	11.1763
96 	166   	38.8059	2269.72    	0.387635 	178.761    	76.5767	133	10 	12.878 
97 	160   	23.8379	607.94     	0.456203 	64.9073    	75.9833	141	6  	12.7183
98 	161   	95.761 	14786.4    	0.456203 	915.53     	75.6567	128	11 	11.4172
99 	166   	128.762	24826.7    	0.456203 	1462.88    	74.8033	130	10 	11.5582
100	161   	535.26 	98650.5    	0.456203 	6318.49    	74.5133	141	1  	13.1723
