   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	300   	230.044    	1396.5     	100.5  	119.804    	3.88667	7  	2  	1.58129
1  	161   	287.536    	27308.5    	99.5615	1564.76    	3.86   	13 	1  	1.72445
2  	169   	167.594    	1127.25    	99.5615	71.0215    	4.16   	13 	1  	1.98521
3  	156   	145.619    	1359.75    	98.7151	81.9961    	4.41333	12 	1  	1.99562
4  	150   	125.108    	893        	96.2622	67.4243    	4.62667	15 	1  	1.91153
5  	173   	109.085    	215.25     	95.8575	19.0494    	4.97667	12 	1  	1.81185
6  	156   	105.955    	230.75     	92.1042	19.4403    	5.88333	12 	1  	2.00409
7  	155   	105.306    	323.5      	92.1042	22.2486    	6.71667	13 	2  	1.90168
8  	161   	109.78     	873.052    	90.5033	50.0503    	7.8    	17 	1  	2.50732
9  	172   	16910.9    	5.04101e+06	86.3273	290551     	9.15333	21 	1  	2.9103 
10 	150   	101.72     	332.166    	86.852 	23.5306    	10.3   	22 	3  	2.98608
11 	156   	107.428    	1219.9     	83.4643	77.1574    	11.65  	22 	1  	3.54225
12 	150   	98.8391    	420.933    	37.8979	25.8051    	12.7567	25 	3  	3.58108
13 	144   	97.3314    	438.135    	37.8979	31.337     	14.0933	31 	1  	4.08957
14 	164   	98.9284    	485.157    	34.9257	37.6896    	16.0033	29 	1  	4.21466
15 	163   	96.4549    	950.122    	33.6216	61.308     	17.2567	34 	1  	4.81776
16 	181   	214.4      	34883.4    	33.1456	2007.61    	18.5633	34 	3  	6.16436
17 	176   	199.184    	31734.5    	33.1456	1828.25    	19.48  	38 	1  	7.07646
18 	175   	5113.98    	1.43433e+06	30.4823	82702.4    	20.2667	48 	3  	8.14425
19 	169   	10963.3    	3.2617e+06 	29.9561	187995     	21.4   	52 	2  	9.33238
20 	155   	16967      	5.03164e+06	29.4412	290012     	23.4   	53 	3  	9.57218
21 	175   	143.147    	7798.58    	28.7382	637.27     	25.4067	51 	5  	9.46967
22 	165   	359.096    	34836.5    	28.0654	2980.41    	27.9067	65 	6  	9.68356
23 	171   	139.291    	16935.4    	27.0194	1031.14    	27.9367	67 	4  	9.21806
24 	174   	226.138    	34788.7    	26.6799	2084.4     	28.0033	69 	2  	9.19583
25 	164   	82.812     	4182.76    	26.3248	311.93     	28.3233	69 	4  	9.45298
26 	154   	221.549    	34958.3    	24.7484	2063.37    	29.8833	82 	5  	11.5367
27 	151   	54.7453    	1133.14    	24.7484	97.8293    	32.06  	85 	4  	13.895 
28 	164   	78189.7    	2.33979e+07	24.7484	1.34861e+06	37.5733	84 	3  	16.1052
29 	155   	918.151    	229957     	24.5603	13372.7    	43.0167	87 	5  	16.4986
30 	184   	171.337    	35167.4    	24.5603	2025.86    	45.9633	113	5  	17.8746
31 	163   	242.994    	50348.4    	23.7316	2941.43    	47.3633	93 	1  	17.5248
32 	198   	335.557    	50219.3    	24.2349	3522.41    	47.44  	98 	6  	17.1905
33 	170   	376.408    	67329.8    	23.6333	4263.68    	48.0533	94 	8  	15.3094
34 	148   	280.479    	35180.4    	23.3419	2864.25    	45.6133	89 	3  	14.1759
35 	186   	48.5695    	813.576    	23.3419	83.3017    	43.7033	89 	4  	11.7891
36 	152   	149.037    	30759.3    	23.3419	1772.51    	43.5267	86 	5  	10.1985
37 	160   	167.256    	35992.3    	21.7621	2073.02    	42.8533	84 	2  	10.7904
38 	162   	288.794    	35085.3    	20.4971	2854.07    	43.92  	79 	4  	9.7881 
39 	149   	569.473    	70775.3    	20.4971	5385.27    	44.87  	81 	3  	10.3823
40 	173   	171.989    	30759.3    	19.2084	1847.28    	46.8733	108	5  	11.1945
41 	170   	69.0756    	2284.75    	20.4971	214.311    	48.8933	90 	1  	12.0234
42 	178   	91.5432    	13253.3    	20.4971	768.003    	51.7067	94 	13 	11.9164
43 	168   	72.1174    	7454.47    	18.2304	468.977    	55.08  	96 	5  	14.3569
44 	154   	46.2553    	1631.44    	18.2304	118.612    	58.5167	108	4  	15.2972
45 	169   	32.4112    	830.591    	19.6319	54.8312    	61.42  	101	6  	13.7963
46 	156   	206.193    	50326.7    	17.4318	2899.23    	62.7767	96 	3  	13.9092
47 	155   	160.483    	35252.7    	17.4318	2033.02    	64.65  	100	5  	12.8   
