   	      	                fitness                	              size             
   	      	---------------------------------------	-------------------------------
gen	nevals	avg    	max    	min      	std    	avg    	max	min	std    
0  	300   	82.2977	3718.38	6.875    	286.369	3.84667	7  	2  	1.636  
1  	189   	44.2387	1138.38	6.875    	130.462	3.87667	9  	1  	1.67773
2  	164   	23.6185	828.625	6.875    	68.1392	4.29333	10 	1  	1.84588
3  	171   	31.9408	1918.06	6.875    	137.34 	4.33333	13 	1  	1.88208
4  	159   	41.3833	1658.31	6.875    	163.002	4.13   	17 	1  	1.98824
5  	194   	36.2083	1468.88	5.15549  	130.053	3.95   	11 	1  	1.69926
6  	166   	36.4748	1411.12	5.15549  	147.438	3.94   	14 	1  	1.66825
7  	179   	22.4453	1138.38	6.625    	90.0457	3.83667	11 	1  	1.45028
8  	176   	18.7975	621.847	6.53123  	37.674 	3.87333	12 	1  	1.48906
9  	158   	28.4398	1468.88	5.15549  	119.025	3.76667	11 	1  	1.49629
10 	178   	24.4396	1138.38	5.15549  	81.4151	4.11   	10 	1  	1.63235
11 	173   	16.5239	182.125	5.15549  	18.5232	4.35667	13 	1  	1.96879
12 	171   	20.5024	1097.19	4.51972  	66.0538	5.14   	14 	1  	2.43045
13 	161   	18.144 	752.275	4.51972  	45.1279	5.69   	17 	1  	2.62054
14 	145   	13.8074	119.178	4.51972  	14.6464	6.34   	16 	1  	2.76606
15 	172   	25.0199	828.625	4.48711  	91.5769	7.16667	18 	1  	2.84585
16 	176   	29.5785	1093.43	4.48711  	111.362	7.73333	18 	1  	3.08905
17 	164   	26.2804	941.276	3.5769   	105.004	8.24   	20 	1  	3.21077
18 	146   	34.892 	1394.49	3.54835  	147.497	9.09333	22 	1  	3.20176
19 	153   	21.8961	915.425	3.54835  	94.2025	9.65333	23 	1  	3.52701
20 	159   	14.5045	580.069	3.54835  	46.1899	10.58  	21 	3  	3.76168
21 	156   	27.0929	1606.08	3.3923   	123.909	11.54  	29 	2  	4.65063
22 	164   	24.7358	1164.2 	2.92355  	105.997	12.67  	29 	2  	4.83885
23 	144   	37.4703	1053.6 	2.92355  	135.615	13.8133	30 	2  	5.23181
24 	170   	13.0164	794.911	2.25924  	60.0507	14.7167	48 	1  	5.43413
25 	158   	22.8942	1468.88	2.25924  	119.781	15.2933	33 	1  	5.45411
26 	155   	283.106	75144.8	2.72884  	4331.37	16.09  	35 	2  	5.90891
27 	159   	61.4301	5931.62	1.9437   	382.194	15.9233	34 	1  	6.44651
28 	165   	61.0643	5837.16	2.02461  	374.155	16.7067	40 	1  	7.19171
29 	159   	35.3887	1110.91	1.83863  	154.454	18.6767	45 	3  	7.88408
30 	185   	434.458	71508.1	1.83863  	4889.13	21.0667	48 	1  	8.63957
31 	158   	30.7936	1463.63	1.83863  	152.634	23.9233	60 	2  	9.96648
32 	163   	447.156	62154.5	1.83863  	5057.25	26.6133	61 	1  	9.6397 
33 	160   	199.13 	51204.1	1.76427  	2952.95	28.1967	66 	1  	10.7445
34 	176   	602.017	62154.5	1.60452  	5699.18	30.4267	65 	1  	11.9957
35 	153   	32.4762	1042.59	1.60452  	138.182	32.5767	76 	1  	11.6724
36 	159   	162.62 	41772.7	1.50358  	2409.35	34.7367	87 	1  	12.282 
37 	179   	37.9095	1107.04	1.50358  	161.964	37.4133	82 	1  	11.9142
38 	170   	27.5707	1045.46	1.50358  	120.551	39.7633	106	3  	13.4871
39 	167   	26.0461	1054.17	1.37403  	121.392	43.3533	82 	6  	12.7241
40 	161   	28.1127	1079.65	1.37403  	128.513	45.7567	85 	1  	12.8124
41 	165   	15.4464	1087.66	1.25311  	97.952 	47.5033	92 	3  	14.1926
42 	174   	36.4507	3740.83	1.25311  	249.361	47.9967	101	1  	15.79  
43 	166   	10.4876	1102.5 	1.25311  	78.2895	53.1967	100	4  	16.13  
44 	152   	10.2823	1032.54	1.31133  	74.7039	55.67  	99 	3  	17.6129
45 	162   	9.46708	697.41 	1.14338  	57.6863	60.7767	114	3  	18.4819
46 	157   	9.30817	697.41 	1.14338  	62.3907	66.4633	119	1  	18.0461
47 	174   	13.4784	794.155	1.12899  	82.5674	68.23  	123	3  	19.61  
48 	171   	11.0505	995.22 	1.25258  	69.4499	70.9367	152	1  	19.2395
49 	175   	3.42878	35.9919	1.13013  	5.54024	73.4767	138	3  	16.8698
50 	158   	17.2276	1057.95	1.13013  	105.582	71.1967	112	6  	16.9776
51 	173   	9.46006	848.228	1.13013  	66.9249	68.68  	128	3  	19.7553
52 	157   	17.7755	1104.08	0.749309 	114.465	70.3433	128	3  	19.2988
53 	170   	273.523	78843.5	0.749309 	4544.4 	73.8467	125	3  	20.5923
54 	177   	3.80263	96.4389	0.749309 	8.46711	77.8867	140	3  	25.9461
55 	165   	3.18666	100.322	0.749309 	7.87709	82.3   	143	3  	25.3595
56 	153   	11.0249	994.757	0.749309 	82.8208	90.51  	135	1  	24.575 
57 	157   	7.49017	995.318	0.749309 	61.9797	99.72  	130	6  	18.9804
58 	170   	645.815	106894 	0.749309 	7658.38	102.543	152	1  	24.4054
59 	181   	153.238	41787.3	0.749309 	2411.3 	106.19 	208	3  	23.5568
60 	166   	10.0861	1451.85	0.71042  	96.1154	109.45 	156	3  	21.1285
61 	158   	2.4689 	35.7988	0.539577 	5.65456	114.16 	142	3  	16.5379
62 	177   	8.62705	1095.43	0.516752 	78.5626	115.107	151	3  	21.3372
63 	150   	8.30431	964.498	0.389454 	72.8168	117.923	155	6  	16.1033
64 	156   	4.88513	784.375	0.389454 	45.4142	116.46 	157	3  	23.3456
65 	176   	6.65272	1053.64	0.389454 	61.2046	116.923	155	4  	23.35  
66 	162   	9.50135	1012.73	0.389454 	78.2498	118.83 	150	6  	20.9442
67 	164   	2.22992	95.1368	0.259107 	7.11514	120.467	165	10 	18.3654
68 	169   	8.07535	933.409	0.259107 	64.4762	120.663	164	6  	21.1144
69 	166   	9.06644	1061.75	0.259107 	85.0643	124.017	151	6  	18.8033
70 	166   	11.5239	1977.83	0.259107 	120.55 	123.097	164	6  	22.3738
71 	148   	414.636	119449 	0.259107 	6885.42	127.427	175	3  	20.255 
72 	165   	2.33702	104.375	0.259107 	7.8498 	126.91 	163	3  	22.4012
73 	183   	9.35621	1265.92	0.149952 	86.2863	131.777	163	3  	21.3262
74 	171   	272.209	80821.2	0.149952 	4658.28	136.187	225	3  	20.7239
75 	168   	8.40136	1081.63	0.149952 	71.9728	136.287	179	1  	21.5726
