   	      	                    fitness                    	              size             
   	      	-----------------------------------------------	-------------------------------
gen	nevals	avg     	max    	min     	std    	avg    	max	min	std    
0  	300   	73.5163 	3826.88	6.875   	272.252	3.58667	7  	2  	1.55643
1  	165   	30.6084 	1398.31	6.875   	102.984	3.40333	9  	1  	1.52992
2  	173   	27.3632 	1355.38	6.875   	83.0778	3.56667	12 	1  	1.64486
3  	150   	26.9091 	1411.12	6.625   	100.156	3.52333	13 	1  	1.58202
4  	162   	45.5376 	1411.12	6.625   	172.7  	3.55667	10 	1  	1.55567
5  	189   	30.3988 	1411.12	6.625   	123.919	3.65667	10 	1  	1.76412
6  	180   	25.4817 	1411.12	6.49155 	106.565	4.00667	9  	1  	1.79256
7  	178   	26.0849 	1800.38	6.49155 	116.54 	4.28333	13 	1  	1.92433
8  	171   	151.302 	39654.4	6.49155 	2285.47	4.61333	11 	1  	2.04707
9  	154   	16.8173 	569.875	6.49155 	36.3065	5.15667	13 	1  	2.15842
10 	163   	19.0592 	477.911	6.4315  	38.3333	5.71667	13 	1  	2.20221
11 	159   	14.6313 	88.625 	6.39679 	16.2161	6.09   	17 	1  	2.44033
12 	172   	21.9047 	828.625	6.37821 	55.0818	6.49333	18 	1  	2.50931
13 	154   	140.091 	33808.8	5.15549 	1950.03	6.61   	16 	1  	2.65542
14 	151   	16.1348 	106.627	5.15549 	20.3324	6.82667	18 	1  	2.85715
15 	151   	17.4702 	127.931	5.15549 	21.0846	7.34667	18 	1  	2.90858
16 	177   	37.544  	4991.88	6.10525 	291.237	7.98   	19 	1  	2.9966 
17 	175   	18.3232 	104.375	5.36758 	21.9835	8.91667	23 	2  	3.56039
18 	189   	21.0262 	797.03 	5.36758 	65.6809	9.67667	23 	1  	3.94446
19 	178   	137.592 	37221.6	5.33088 	2144.67	10.7967	25 	1  	4.44919
20 	164   	34.0858 	2949.4 	4.91747 	191.378	12.3367	30 	1  	5.27541
21 	145   	138.102 	36065  	4.29563 	2078.58	13.1533	36 	2  	5.68065
22 	145   	41.3179 	5115.1 	4.29563 	322.667	15.12  	42 	1  	7.04596
23 	160   	12.6386 	150.728	4.29673 	17.6072	17.0233	54 	1  	8.56715
24 	179   	23.4799 	2800.78	3.99265 	166.866	18.5333	58 	1  	9.61885
25 	177   	13.883  	784.375	3.99265 	47.642 	20.7833	54 	2  	10.4882
26 	167   	10.3176 	123.767	3.7011  	16.4288	23.0367	56 	2  	11.9486
27 	143   	9.03862 	88.9022	3.7011  	12.098 	27.0367	78 	1  	13.1124
28 	168   	7.17815 	88.625 	2.83258 	9.03755	29.4   	62 	1  	13.3289
29 	178   	8.47059 	158.837	3.08928 	16.296 	32.62  	71 	2  	14.7556
30 	135   	8.65274 	150.775	3.08928 	16.7461	36.35  	74 	2  	15.1998
31 	172   	8.8893  	153.324	2.65821 	16.3811	39.7867	78 	1  	15.3541
32 	170   	8.61273 	163.593	2.65821 	17.2687	42.43  	93 	2  	17.5825
33 	168   	18.6798 	3583.81	2.30299 	206.519	46.31  	102	2  	17.3655
34 	160   	11.9144 	724.86 	2.30299 	64.3068	50.63  	116	3  	16.8519
35 	160   	12.5271 	788.815	2.30299 	61.5967	55.6467	106	2  	16.5735
36 	172   	5.93378 	118.221	2.28383 	11.5115	60.2967	117	4  	17.1908
37 	154   	4.61829 	88.625 	1.39352 	6.9926 	63.8567	114	1  	17.2713
38 	164   	7.39942 	612.214	1.42017 	42.1103	64.17  	112	1  	16.1805
39 	163   	4.32834 	43.4365	1.41617 	5.56766	63.37  	124	4  	15.1345
40 	155   	4.60819 	76.7115	1.35684 	7.1511 	63.36  	124	2  	18.3251
41 	167   	182.071 	53279.5	0.678792	3070.72	66.47  	116	1  	17.9123
42 	170   	3.37767 	32.7102	0.678792	3.71546	69.79  	123	3  	19.1876
43 	175   	8.30825 	740.653	0.678792	55.292 	72.52  	141	2  	21.4004
44 	155   	9.05719 	1627.11	0.678792	93.8424	78.3733	130	2  	20.4565
45 	146   	3.71489 	101.138	0.665861	9.46363	83.2133	131	4  	20.9076
46 	145   	8.26933 	1597.06	0.678792	92.1674	87.4967	138	4  	16.8362
47 	178   	3.16699 	99.2342	0.663251	8.54369	88.3567	127	5  	16.2744
48 	159   	8.61375 	1331.36	0.486373	77.8954	91.2233	142	1  	16.7823
49 	169   	7.13512 	1411.12	0.663251	81.4458	93.75  	128	4  	14.6203
50 	149   	2.90305 	104.375	0.567725	9.65044	94.2233	182	2  	19.6523
51 	150   	4.8388  	651.112	0.567725	38.2268	96.21  	126	4  	18.8648
52 	160   	1.88491 	32.3698	0.566816	4.36525	101.617	154	3  	13.9598
53 	182   	4.07448 	651.112	0.515558	37.6727	101.5  	133	3  	14.6871
54 	158   	2.28369 	34.2453	0.515558	5.34364	100.917	205	2  	16.658 
55 	154   	2.5097  	88.625 	0.497868	10.2635	101.327	131	2  	16.0156
56 	166   	2.67719 	109.026	0.486789	10.7453	102.553	130	2  	14.7418
57 	160   	1.6653  	33.7771	0.486789	3.80332	102.673	130	34 	12.5073
58 	182   	226.918 	67240  	0.418638	3875.48	104.347	129	2  	14.0601
59 	183   	1.95552 	58.2204	0.418638	5.41992	104.457	139	8  	15.6321
60 	160   	2.90107 	88.625 	0.476853	9.89521	104.503	143	2  	17.1308
61 	171   	2.17739 	86.6561	0.476853	6.98713	104.887	143	5  	16.4803
62 	174   	1.94402 	88.625 	0.471594	6.12923	105.707	139	2  	14.2181
63 	144   	2.09704 	75.9976	0.469852	6.29499	103.757	145	4  	17.2226
64 	177   	2.01373 	78.5105	0.469852	6.17803	103.67 	158	1  	16.3732
65 	165   	1.81143 	88.625 	0.446019	6.32003	105.027	135	2  	13.61  
66 	176   	2.20717 	79.4439	0.446019	6.71254	103.517	141	4  	15.7392
67 	177   	2.43169 	93.9672	0.446019	7.58271	102.677	144	2  	18.4003
68 	166   	1.56012 	32.4134	0.447241	3.91033	106.087	132	12 	11.5169
69 	173   	2.85096 	236.078	0.451704	15.2853	104.533	132	2  	16.3864
70 	176   	2.76092 	88.625 	0.451704	8.09437	104.027	139	2  	17.3464
71 	158   	4.59004 	722.715	0.401961	42.3392	103.337	125	1  	17.3137
72 	165   	3.77577 	598.178	0.401961	35.1423	103.403	132	2  	15.7966
73 	179   	1.72131 	88.625 	0.406248	6.13586	103.25 	145	2  	16.4252
74 	177   	2.7311  	88.625 	0.406248	8.84924	103.013	127	2  	18.3666
75 	160   	1.55804 	29.7434	0.402785	4.18146	105.397	148	3  	13.6313
76 	168   	1.55098 	29.7434	0.402785	3.83734	104.757	133	7  	13.5422
77 	164   	1.90793 	88.625 	0.402785	6.47286	104.66 	149	1  	15.4624
78 	170   	2.107   	88.625 	0.402785	6.73967	104.43 	131	2  	16.8031
79 	166   	2.09651 	88.625 	0.394807	7.01618	105.74 	149	2  	13.8516
80 	179   	2.71935 	104.375	0.394807	9.38665	102.507	144	2  	18.5879
81 	169   	1.84816 	88.625 	0.394807	6.78298	103.263	128	2  	15.1568
82 	165   	2.38244 	122.125	0.394807	9.76443	102.43 	143	2  	14.9899
83 	183   	2.30711 	88.625 	0.394807	8.35322	101.693	132	2  	15.8505
84 	165   	1.80447 	88.625 	0.394807	6.74698	101.28 	129	1  	16.47  
85 	164   	6.71495 	1411.12	0.371005	81.4207	101.137	128	4  	14.5547
86 	157   	1.57976 	39.5229	0.305538	4.4259 	101.54 	135	7  	14.3039
87 	192   	1.9261  	73.501 	0.35494 	5.79107	100.92 	139	4  	16.7597
88 	152   	57.6218 	16781.5	0.371005	967.187	103.407	137	3  	12.9823
89 	184   	1.74437 	88.625 	0.371005	6.10637	103.843	137	2  	14.8481
90 	158   	1.54685 	34.5186	0.371005	4.31108	103.527	144	3  	16.6728
91 	132   	1.51518 	88.625 	0.371005	6.03162	105.517	134	2  	11.8559
92 	159   	2.20811 	105.639	0.367572	7.8337 	103.837	135	4  	15.141 
93 	159   	1.82307 	88.625 	0.367572	6.7511 	105.31 	147	2  	14.505 
94 	182   	2.32358 	94.7344	0.367572	8.43315	103.793	125	2  	16.3822
95 	157   	2.14042 	99.8389	0.367572	8.37854	103.72 	214	2  	16.9557
96 	150   	2.18842 	88.625 	0.367572	8.15445	101.973	149	2  	17.5951
97 	154   	1.89822 	88.625 	0.367572	7.8308 	102.75 	137	2  	15.4773
98 	180   	2.47011 	88.625 	0.349874	8.31849	103.783	150	2  	15.4304
99 	152   	2.16662 	88.625 	0.349874	8.32969	104.267	137	1  	18.2546
100	153   	2.01354 	88.625 	0.349874	7.13757	105.43 	138	2  	16.8047
101	172   	2.81571 	88.625 	0.349874	10.2398	105.173	148	2  	18.9783
102	153   	1.99822 	98.3851	0.349874	7.54158	108.147	135	5  	15.1896
103	155   	1.67803 	88.625 	0.349874	6.43707	109.837	137	1  	16.8249
104	154   	1.8719  	72.5959	0.349874	6.5311 	111.507	141	7  	15.4845
105	183   	6.10445 	1390.55	0.348309	80.1687	116.133	163	59 	11.8949
106	169   	1.82997 	75.8285	0.328995	6.0559 	116.94 	144	2  	16.941 
107	175   	10.903  	2876.59	0.328995	165.772	117.897	148	6  	16.3393
108	181   	1.90604 	88.625 	0.328995	6.70013	120.043	147	2  	16.1702
109	156   	2.40211 	88.625 	0.328995	9.51249	121.897	153	2  	17.7683
110	160   	1.58086 	39.8216	0.328995	4.79032	124.79 	160	19 	15.0687
111	179   	1.63077 	30.3906	0.319447	4.34226	126.76 	157	2  	20.6624
112	143   	1.52792 	88.625 	0.319447	6.25696	130.463	159	2  	19.7628
113	170   	5.74892 	1129.04	0.319447	65.6812	133.767	169	2  	21.2228
114	176   	4.7931  	1083.16	0.315692	62.4626	136.833	183	2  	20.1304
115	196   	1.52802 	88.625 	0.315692	5.96297	138.78 	183	2  	16.0461
116	185   	13.1614 	2876.21	0.315692	169.533	139.16 	181	2  	17.0459
117	164   	1.2465  	30.4227	0.314169	3.62189	140.233	181	64 	13.1888
118	180   	1.50656 	88.625 	0.314169	6.23482	138.15 	167	2  	21.6847
119	143   	1.32379 	29.3746	0.312108	3.70878	139.077	167	3  	18.16  
120	161   	0.964021	30.125 	0.259205	2.90712	140.57 	185	2  	14.3879
