   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min        	std        	avg    	max	min	std    
0  	300   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.73   	7  	2  	1.69424
1  	152   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.67   	10 	1  	1.72078
2  	169   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	3.76   	12 	1  	1.82092
3  	170   	4.86105e+37	4.86118e+37	4.83544e+37	1.67155e+34	3.77   	12 	1  	1.79549
4  	173   	4.86105e+37	4.86118e+37	4.83544e+37	1.67155e+34	3.89667	14 	1  	1.9007 
5  	159   	4.86109e+37	4.86238e+37	4.84772e+37	1.09743e+34	4.12667	18 	1  	2.23397
6  	173   	4.86095e+37	4.88848e+37	4.84772e+37	2.58056e+34	4.28   	18 	1  	2.36395
7  	170   	4.86062e+37	4.86118e+37	4.84772e+37	2.64525e+34	4.39333	18 	1  	2.52031
8  	154   	4.86018e+37	4.88709e+37	4.84772e+37	4.29788e+34	4.56333	18 	1  	2.49252
9  	142   	4.85852e+37	4.87476e+37	4.83544e+37	5.48695e+34	4.69333	18 	1  	2.50186
10 	163   	4.85589e+37	4.87476e+37	4.83544e+37	6.93047e+34	4.86333	17 	1  	2.43543
11 	153   	4.85322e+37	4.88709e+37	4.78091e+37	9.94488e+34	5.19333	17 	1  	2.31429
12 	158   	1.46263e+62	4.3879e+64 	4.83544e+37	2.52913e+63	5.11   	13 	1  	2.20406
13 	183   	8.70489e+62	5.77963e+64	4.82211e+37	6.74404e+63	5.10333	15 	1  	2.32221
14 	177   	1.46263e+62	4.3879e+64 	4.82211e+37	2.52913e+63	5.05333	16 	1  	2.19935
15 	157   	1.46263e+62	4.3879e+64 	4.82211e+37	2.52913e+63	4.86667	13 	1  	1.94308
16 	160   	4.84386e+37	4.88709e+37	4.70841e+37	1.45191e+35	4.69   	13 	1  	1.73414
17 	169   	4.8435e+37 	4.88709e+37	4.82211e+37	1.20069e+35	4.97667	16 	1  	2.11883
18 	171   	4.84398e+37	4.88709e+37	4.78091e+37	1.29071e+35	4.97667	14 	1  	2.04682
19 	164   	4.84332e+37	4.88709e+37	4.78091e+37	1.31158e+35	5.13   	15 	1  	2.31368
20 	147   	3.85309e+62	5.77963e+64	4.78091e+37	4.70329e+63	5.71   	18 	1  	2.91649
21 	169   	5.77963e+62	5.77963e+64	4.78091e+37	5.75066e+63	6.43   	15 	1  	3.31136
22 	186   	2.28673e+63	5.70426e+65	4.73415e+37	3.31913e+64	7.88667	25 	1  	4.10209
23 	173   	1.54131e+63	2.01247e+65	4.73415e+37	1.33741e+64	9.01333	27 	1  	4.61517
24 	166   	2.97184e+64	4.27421e+66	4.73415e+37	3.29803e+65	9.25333	24 	1  	4.52429
25 	156   	1.50767e+64	1.83059e+66	4.39583e+37	1.51588e+65	9.44   	39 	2  	5.16782
26 	152   	6.14274e+64	1.80672e+67	2.14063e+37	1.04141e+66	9.72667	33 	1  	5.11064
27 	177   	6.72024e+63	1.83059e+66	4.1343e+37 	1.06018e+65	9.52333	33 	1  	4.68929
28 	169   	4.81609e+66	1.44426e+69	3.16834e+37	8.32449e+67	9.36333	34 	2  	4.33566
29 	171   	1.46263e+62	4.3879e+64 	2.14063e+37	2.52913e+63	9.73333	23 	1  	3.30286
30 	157   	5.15251e+67	1.54575e+70	2.14063e+37	8.90952e+68	10.4567	26 	1  	3.60945
31 	178   	2.3563e+68 	5.59596e+70	1.91891e+37	3.33168e+69	11.57  	31 	1  	4.1213 
32 	157   	7.09885e+38	1.88266e+41	1.91891e+37	1.08553e+40	12.02  	22 	1  	3.50232
33 	178   	1.35396e+69	4.04799e+71	1.32449e+37	2.3332e+70 	12.5933	29 	1  	3.89289
34 	190   	8.3083e+39 	1.89424e+42	1.32449e+37	1.10243e+41	12.64  	34 	1  	3.82061
35 	174   	3.20621e+40	6.4153e+42 	1.90803e+37	3.86724e+41	12.7367	27 	4  	3.59546
36 	168   	4.30404e+70	1.29121e+73	1.71218e+37	7.44238e+71	12.73  	23 	1  	3.59682
37 	147   	2.75987e+40	6.4153e+42 	1.32449e+37	3.74771e+41	12.9   	28 	1  	3.46362
38 	155   	4.73357e+40	6.4153e+42 	1.32449e+37	5.24079e+41	12.9767	29 	1  	3.25619
39 	146   	1.17204e+41	2.22661e+43	5.52534e+36	1.34852e+42	13.2333	24 	1  	3.37128
40 	159   	7.25979e+40	6.4153e+42 	4.38392e+36	6.24991e+41	13.24  	26 	1  	3.92204
41 	171   	2.67205e+41	6.35354e+43	5.52534e+36	3.69465e+42	13.8833	26 	2  	3.64734
42 	163   	4.87522e+41	1.34222e+44	3.52222e+36	7.74385e+42	14.41  	40 	1  	4.76815
43 	184   	5.28015e+40	7.96788e+42	3.52222e+36	5.59075e+41	14.87  	31 	4  	4.15609
44 	171   	3.35822e+41	9.14855e+43	3.52222e+36	5.28052e+42	14.97  	27 	1  	4.11045
45 	160   	1.04659e+41	2.44403e+43	3.52222e+36	1.42794e+42	15.06  	31 	1  	4.88362
