   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	300   	1153.48    	18834.5    	12     	1075.98    	3.71333	7  	2  	1.58045
1  	170   	916.995    	1521.5     	12     	256.237    	3.85333	12 	1  	1.74121
2  	166   	803.28     	5388.08    	12     	431.19     	4.52667	12 	1  	1.96705
3  	176   	673.626    	5033.51    	10.3084	500.052    	5.18333	14 	1  	2.22929
4  	176   	1401.01    	55930      	10.3084	5810.62    	5.69667	14 	1  	2.32622
5  	171   	5.59367e+31	1.6781e+34 	10.3084	9.67236e+32	5.68   	15 	1  	2.22357
6  	182   	1109.8     	41491      	9.63571	5732.42    	5.70667	15 	1  	2.18036
7  	153   	849.108    	55930      	9.63571	5248.35    	5.61667	15 	1  	2.36003
8  	158   	1611.03    	55930      	9.63571	7724.37    	5.51667	16 	1  	2.42   
9  	144   	2.59939e+31	7.79816e+33	9.63571	4.49476e+32	5.92667	20 	2  	2.67481
10 	172   	2.26703e+31	6.80109e+33	9.63571	3.92006e+32	6.86333	17 	2  	2.84452
11 	165   	1971.05    	55922.1    	9.51699	8641.83    	7.70667	18 	2  	2.85668
12 	174   	2781.2     	56072      	9.29079	10474.6    	8.80333	20 	1  	2.81626
13 	171   	1284.84    	55910.2    	9.51699	6973.44    	9.37333	19 	1  	2.51276
14 	155   	1460.32    	55922.1    	8.76267	7686       	9.76333	18 	1  	2.25699
15 	167   	1816.23    	88396      	8.76267	9417.98    	10.1533	21 	1  	2.38394
16 	181   	2160.31    	55886      	8.76267	9238.87    	10.2867	22 	1  	2.77209
17 	148   	1183.52    	55922.1    	8.76267	7273.19    	10.28  	22 	2  	2.49431
18 	155   	11850.7    	3.08584e+06	8.76267	177972     	10.59  	23 	1  	2.80391
19 	166   	1738.26    	72426.3    	8.76267	8932.13    	10.78  	20 	1  	2.66801
20 	166   	1046.61    	72408.2    	8.76267	7176.83    	11.2767	29 	1  	3.29041
21 	178   	2292.59    	72408.2    	8.76267	10621.5    	11.4467	28 	1  	3.529  
22 	165   	1645.7     	91069.4    	8.3147 	9104.34    	11.24  	28 	2  	3.49033
23 	168   	1570.68    	72362.3    	8.3147 	8388.45    	10.9033	23 	1  	3.12314
24 	146   	526.393    	41519.4    	8.76267	4131.17    	10.38  	26 	1  	2.8721 
25 	161   	392.534    	41519.4    	8.76267	3383.81    	10.3567	21 	1  	2.59797
26 	163   	466.531    	55930      	8.76267	4020.77    	10.2833	22 	1  	2.42137
27 	178   	645.665    	41545.9    	8.76267	4303.9     	10.23  	21 	1  	2.61351
28 	164   	545.164    	41519.4    	8.76267	4130.2     	10.1133	24 	1  	2.65339
29 	164   	541.281    	41572.9    	8.76267	4133.32    	10.14  	19 	1  	2.38336
30 	174   	577.174    	41519.4    	8.76267	4135.75    	10.09  	19 	1  	2.58751
31 	178   	845.162    	41558.1    	8.76267	5309.89    	10.1467	17 	5  	2.0877 
32 	155   	904.97     	41567.6    	8.76267	5316.92    	9.91   	17 	1  	2.27784
33 	165   	1.57375e+29	4.72125e+31	8.76267	2.72127e+30	10.13  	18 	2  	2.37903
34 	176   	586.905    	41519.4    	8.76267	4147.62    	9.99333	18 	1  	2.48595
35 	147   	968.652    	41519.4    	8.76267	5805.93    	10.12  	20 	2  	2.14451
36 	170   	1737.37    	41519.4    	8.76267	7778.06    	9.99333	20 	1  	2.19696
37 	167   	1153.27    	41538.7    	8.76267	6221.09    	9.95   	20 	1  	2.63581
38 	174   	1074.58    	72431.3    	8.76267	6723.17    	10.1333	22 	5  	2.51573
39 	171   	683.067    	41519.4    	8.76267	4454.04    	10.0867	21 	1  	2.61645
40 	185   	937.925    	41519.4    	8.60523	5552.35    	10.0833	22 	1  	2.87687
41 	161   	686.06     	41519.4    	8.60523	4758.71    	10.3667	20 	4  	2.52168
42 	154   	13063.1    	3.80297e+06	8.60523	219202     	10.18  	23 	3  	2.40574
43 	146   	734.574    	41544.8    	8.60523	4770.81    	10.46  	23 	3  	2.81574
44 	168   	813.296    	41519.4    	8.60523	5306.34    	11.1567	30 	3  	3.7406 
45 	165   	677.36     	41544.8    	8.55707	4762.66    	11.65  	26 	1  	4.12563
46 	168   	355.422    	51581.4    	3.87386	3053.87    	12.83  	33 	1  	4.85878
47 	165   	881.907    	55867.3    	2.94657	5727.94    	13.8233	26 	1  	4.87361
48 	168   	255.949    	41519.4    	2.24518	2407.66    	15.4867	34 	1  	5.44945
49 	166   	259.485    	41544.8    	1.39032	2411.79    	17.16  	34 	1  	6.01119
50 	139   	431.27     	55890.1    	1.39032	4011.2     	18.79  	39 	1  	6.25294
51 	185   	556.482    	45082.8    	1.35648	4251.72    	19.98  	40 	5  	6.07011
52 	168   	2273.59    	551738     	1.35648	32010.7    	21.22  	46 	2  	6.7984 
53 	157   	602.978    	59142.5    	1.35648	4963.49    	22.7767	64 	5  	7.12227
54 	168   	471.03     	59178.2    	1.15919	4265.45    	25.14  	60 	1  	7.57719
55 	163   	261.787    	44884.7    	1.15919	2618.4     	26.1367	54 	1  	6.6991 
56 	160   	9.74823e+32	2.92447e+35	1.15919	1.68563e+34	26.65  	54 	1  	7.16804
57 	156   	2.1936e+30 	6.58079e+32	1.15919	3.79308e+31	25.98  	48 	4  	6.63372
58 	153   	100.578    	3770.53    	1.12205	369.008    	25.6267	52 	3  	6.69781
59 	178   	594941     	1.78434e+08	1.12205	1.02847e+07	25.2333	56 	1  	6.90064
60 	171   	811.467    	59892.6    	1.12205	6072.18    	24.9933	53 	2  	7.29749
61 	160   	767.084    	59700.2    	1.12205	5882.03    	26.6167	49 	2  	7.82196
62 	170   	359.61     	44942.7    	1.12205	3422.2     	28.35  	54 	10 	7.53619
63 	180   	505.979    	59131.4    	1.12205	4261.49    	29.45  	57 	12 	7.60926
64 	162   	494.83     	59754.9    	1.12205	4860.95    	30.57  	63 	1  	8.65092
65 	163   	481.701    	52284.5    	1.12205	4170.47    	31.01  	54 	1  	7.68092
66 	182   	91.2983    	1874.33    	1.12205	308.235    	31.48  	54 	2  	8.27826
67 	184   	431.779    	45004.8    	1.12205	3696.4     	31.7467	62 	1  	8.67924
68 	152   	527.108    	52424.9    	1.12205	4382.14    	32.8367	54 	1  	7.94292
69 	187   	150.148    	9892.69    	1.12205	689.859    	33.51  	56 	11 	7.86489
70 	171   	603.116    	59628.9    	1.12205	5309.52    	33.69  	61 	4  	7.7115 
71 	170   	215.698    	38536.9    	1.12205	2247.65    	35.2867	60 	13 	6.83212
72 	166   	281.303    	44585.1    	1.12205	2692.7     	35.31  	54 	1  	7.52732
73 	158   	391.561    	44981.5    	1.12205	3358.87    	36.03  	56 	13 	6.75197
74 	182   	397.516    	50011.2    	1.12205	3856.1     	35.97  	61 	9  	7.30222
75 	181   	186.435    	35378.3    	1.12205	2063.59    	35.7633	61 	13 	7.46418
76 	145   	454.359    	44481.7    	1.12205	3787.29    	35.9   	60 	14 	7.32598
77 	186   	261.138    	49945.1    	1.12205	2895.92    	36.3267	59 	4  	6.79019
78 	176   	403.458    	76575.6    	1.12205	4491.33    	36.1567	58 	13 	6.53953
79 	148   	413.002    	59188.2    	1.12205	4280.1     	36.1633	63 	1  	8.65082
80 	158   	254.644    	44981.5    	1.12205	2620.52    	36.4533	58 	13 	7.35444
81 	177   	300.871    	35378.3    	1.12205	2442.51    	36.0733	78 	5  	7.97086
82 	162   	101.557    	6751.02    	1.12205	559.681    	36.0867	62 	13 	7.53121
83 	171   	185.482    	21893.9    	1.12205	1385.83    	36.1633	60 	2  	6.77766
84 	160   	131.912    	13871.2    	1.12205	906.293    	35.71  	60 	1  	7.42199
85 	166   	129.762    	13173.9    	1.12205	854.551    	36.1633	58 	17 	6.07481
86 	148   	503.41     	49945.1    	1.12205	4645.63    	35.86  	58 	1  	7.67032
87 	155   	81.1191    	4405.88    	1.12205	353.557    	36.35  	74 	3  	7.39465
88 	151   	38.6325    	1163.64    	1.12205	184.147    	36.0833	63 	2  	7.59362
89 	164   	376.038    	59188.2    	1.12205	3902.84    	36.32  	58 	3  	7.17154
90 	164   	570.851    	59654.8    	1.12205	4946.77    	36.29  	60 	3  	6.62464
91 	148   	266.408    	44521.1    	1.12205	2659.58    	35.7033	56 	3  	6.96338
92 	172   	251.178    	49945.1    	1.12205	2888.17    	35.7767	58 	1  	8.08085
93 	160   	207.326    	45897.8    	1.12205	2651.38    	35.91  	60 	10 	6.5789 
94 	174   	91.6892    	6751.02    	1.12205	466.506    	35.49  	58 	4  	7.61511
95 	159   	453.941    	49945.1    	1.12205	3955.17    	35.4633	61 	3  	7.54643
96 	150   	2466.9     	713792     	1.12205	41138.3    	35.85  	56 	1  	7.22363
