   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	300   	4.18818e+29	1.25646e+32	12     	7.24205e+30	3.63   	7  	2  	1.58528
1  	167   	936.852    	1657.79    	12     	274.327    	4.01333	10 	1  	1.78134
2  	140   	5.66757e+30	1.70027e+33	12     	9.80015e+31	4.16333	13 	1  	1.84119
3  	182   	840.697    	41491      	12     	2451.42    	4.35333	11 	1  	1.92747
4  	164   	1108.6     	42360.1    	12     	5248.58    	4.59667	12 	1  	2.07058
5  	163   	2305.37    	142275     	12     	11831.2    	4.83333	12 	1  	2.06694
6  	175   	2088.35    	43386      	12     	8476.75    	4.75667	12 	1  	1.93153
7  	171   	1600.3     	41491      	12     	7386.56    	4.44667	11 	1  	1.81489
8  	158   	1116.34    	41491      	12     	5955.82    	4.2    	11 	3  	1.67332
9  	166   	1460.59    	41491      	12     	7060.66    	3.91333	11 	1  	1.46486
10 	168   	875.86     	41491      	12     	5316.27    	3.81333	10 	1  	1.41368
11 	179   	1828.97    	41491      	12     	8108.94    	3.76333	10 	1  	1.3394 
12 	154   	2.22258e+29	6.66773e+31	12     	3.8432e+30 	3.78667	13 	1  	1.54957
13 	160   	1297.19    	41491      	11.9182	6682.9     	3.74333	12 	1  	1.51574
14 	159   	1260.18    	41491      	11.9182	6672.67    	3.73   	10 	1  	1.42493
15 	184   	596.275    	41491      	11.9182	4139.9     	3.75   	13 	1  	1.54515
16 	174   	100807     	3.01019e+07	11.9182	1.73501e+06	3.64   	11 	1  	1.35292
17 	163   	42266.6    	1.21189e+07	11.9182	698460     	3.90333	11 	1  	1.48346
18 	157   	9.72147e+31	2.91644e+34	9.82861	1.681e+33  	4      	11 	1  	1.61658
19 	168   	3452.59    	660211     	9.82861	38562.8    	4.19   	10 	1  	1.54507
20 	155   	1146.64    	41567.6    	9.82861	6263.79    	4.80667	12 	1  	1.86796
21 	162   	957.584    	41567.6    	9.82861	5804.2     	5.37333	12 	1  	1.86386
22 	171   	2082.55    	55835      	9.82861	8680.28    	6.13667	13 	1  	1.86851
23 	172   	2427.47    	41765.5    	9.82861	9307.81    	6.73333	13 	1  	1.77451
24 	159   	2251.18    	43386      	9.82861	9055.39    	7.03333	12 	1  	1.85622
25 	166   	12440.7    	2.97505e+06	8.53425	171603     	7.85333	14 	1  	2.00628
26 	158   	11406.3    	2.97505e+06	8.53425	171571     	8.24667	16 	1  	2.11325
27 	141   	2137.16    	55850.5    	8.53425	8993.91    	8.27333	18 	1  	1.9846 
28 	169   	2276.97    	41557.6    	8.53425	9030.9     	8.30667	17 	1  	1.956  
29 	170   	1786.28    	41557.6    	8.53425	8124.73    	8.44   	21 	1  	2.27297
30 	175   	594261     	1.77621e+08	8.53425	1.02377e+07	8.54333	21 	1  	2.55763
31 	185   	2459.12    	55835      	8.53425	9591.95    	9.09   	21 	1  	2.76078
32 	180   	12219.3    	2.97517e+06	8.53425	171606     	9.9    	21 	1  	3.52467
33 	161   	1001.68    	41563.6    	8.53425	5818.66    	10.61  	20 	3  	3.36718
34 	171   	10773.2    	2.97517e+06	8.53425	171518     	11.8033	22 	3  	3.44064
35 	175   	2341.85    	72455.8    	8.53425	9633.72    	12.5267	23 	1  	3.54062
