   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min     	std        	avg    	max	min	std    
0  	300   	8.63907e+30	1.93364e+33	359.083 	1.1761e+32 	3.59667	7  	2  	1.48346
1  	178   	3356.79    	6826.75    	359.083 	750.734    	3.83333	9  	1  	1.53587
2  	156   	2893.8     	12415.6    	68.5714 	1186.1     	4.43667	11 	1  	1.80166
3  	157   	2.02699e+32	6.08097e+34	68.5714 	3.505e+33  	5.20333	12 	1  	2.02204
4  	161   	3320.44    	201897     	20.9926 	16545.7    	5.72667	14 	1  	2.13977
5  	177   	3684.54    	374315     	20.9926 	24741.9    	6.29   	16 	1  	2.21493
6  	154   	2133.36    	180323     	20.9926 	11897.9    	6.95   	18 	1  	2.69212
7  	155   	4704.34    	600388     	20.9926 	38523.5    	7.89   	21 	3  	3.07754
8  	158   	1578.8     	103295     	20.9926 	7833.36    	8.64333	17 	2  	3.18268
9  	156   	7568.99    	581767     	20.9926 	53612.4    	9.17333	19 	1  	3.64554
10 	160   	8781.71    	715169     	20.9926 	52673.4    	9.95   	25 	1  	4.1329 
11 	155   	8591.97    	715169     	20.9926 	50251.4    	10.9   	23 	2  	4.19325
12 	132   	5927.93    	715169     	20.9926 	45565.6    	11.7267	27 	3  	3.96719
13 	169   	8037.11    	711892     	20.9926 	53246.4    	12.2833	30 	3  	4.40413
14 	153   	5373.85    	726989     	20.9926 	44891      	12.6267	29 	2  	4.37043
15 	155   	3.48747e+32	1.04624e+35	15.2431 	6.03039e+33	12.8067	35 	2  	4.29526
16 	166   	12478.9    	711892     	15.2431 	61722.7    	12.9733	23 	1  	4.43238
17 	169   	3883.42    	438429     	15.2431 	28236.7    	13.2367	25 	1  	4.11752
18 	156   	4882.8     	285483     	19.444  	25331.4    	13.77  	32 	1  	4.40043
19 	149   	8151.54    	711892     	19.444  	47878.8    	13.95  	30 	2  	4.66771
20 	175   	7422.76    	252895     	19.4431 	31273.8    	14.3233	30 	1  	4.60059
21 	159   	4.44516e+30	1.33355e+33	19.4431 	7.68639e+31	14.5833	32 	1  	4.59526
22 	158   	2587.18    	148388     	18.3171 	14874.3    	15.4467	34 	2  	4.68407
23 	169   	4.50388e+29	1.35117e+32	18.3171 	7.78795e+30	15.82  	34 	1  	5.40687
24 	184   	7232.7     	711892     	18.3171 	59791.8    	16.1067	40 	2  	5.3624 
25 	172   	5716.8     	709424     	16.7735 	44766.5    	15.9567	40 	2  	5.37601
26 	161   	3251.19    	158834     	16.7735 	18500.2    	16.2533	40 	1  	5.38168
27 	163   	2095.05    	137871     	11.3535 	13169.3    	16.3033	40 	1  	5.35581
28 	156   	6849.12    	709424     	11.3535 	59042.1    	16.94  	40 	1  	5.5967 
29 	167   	1197.11    	137482     	11.3535 	8270.64    	17.81  	40 	1  	5.28021
30 	167   	3.17511e+28	9.52533e+30	11.3535 	5.49028e+29	17.6533	42 	1  	5.70086
31 	179   	2334.72    	157585     	11.3535 	15294      	17.94  	40 	1  	5.82378
32 	172   	3.17511e+28	9.52533e+30	9.91113 	5.49028e+29	18.83  	41 	1  	6.24669
33 	154   	4.44516e+29	6.66773e+31	9.58519 	5.426e+30  	19.24  	35 	5  	6.11357
34 	188   	3.17511e+28	9.52533e+30	7.79299 	5.49028e+29	20.0967	42 	1  	6.59399
35 	155   	3.17511e+28	9.52533e+30	7.79299 	5.49028e+29	20.0367	39 	1  	6.13313
36 	176   	1864.11    	161729     	9.58519 	13642.8    	20.14  	44 	4  	6.64232
37 	149   	2.22258e+29	6.66773e+31	9.58519 	3.8432e+30 	21.2   	44 	4  	7.13209
38 	146   	3007.43    	223208     	7.66285 	20741.7    	21.9233	42 	5  	7.18592
39 	167   	2.54009e+29	6.66773e+31	9.58519 	3.8804e+30 	22.0967	44 	2  	8.02708
40 	156   	2.61947e+29	6.66773e+31	7.66285 	3.8823e+30 	23.53  	48 	4  	7.7401 
41 	176   	9.84285e+29	6.66773e+31	7.66285 	7.69524e+30	23.5   	46 	3  	8.24277
42 	187   	2.61947e+29	6.66773e+31	9.3405  	3.8823e+30 	22.75  	43 	3  	7.8039 
43 	178   	1395.81    	157643     	9.3405  	11047.1    	22.1167	49 	3  	7.71555
44 	150   	4.66741e+30	1.33355e+33	8.99192 	7.69471e+31	22     	49 	3  	8.56349
45 	169   	9.33483e+30	1.33355e+33	3.09441 	1.08619e+32	21.0167	48 	3  	8.35163
46 	185   	1.85108e+27	5.55323e+29	3.09441 	3.20081e+28	20.9467	48 	3  	9.23167
47 	174   	1.19067e+29	1.66693e+31	3.09441 	1.36278e+30	22.3333	57 	3  	9.7657 
48 	175   	2393.8     	158577     	3.09441 	16180.5    	23.9867	55 	3  	10.9429
49 	171   	5.55645e+28	1.66693e+31	3.09441 	9.60799e+29	25.8733	65 	1  	11.5131
50 	178   	1.48746e+32	4.45405e+34	3.09441 	2.56724e+33	27.2   	66 	3  	11.2392
51 	155   	26143.8    	6.26377e+06	3.09441 	365225     	28.2333	57 	1  	11.3113
52 	171   	4.44516e+30	1.33355e+33	3.09441 	7.68639e+31	27.9267	57 	3  	11.2185
53 	153   	1993.94    	172105     	3.09441 	15022.7    	26.37  	59 	1  	11.3299
54 	170   	3.59336e+31	1.07801e+34	3.09441 	6.2135e+32 	23.1433	53 	1  	9.36604
55 	175   	4.80423e+27	1.44127e+30	2.52123 	8.30729e+28	21.4433	54 	1  	7.86597
56 	161   	4266.36    	180641     	3.09441 	23006.8    	21.1267	50 	1  	7.71906
57 	167   	2138.53    	160122     	3.09441 	15292.9    	20.28  	49 	2  	7.10645
58 	176   	2950.95    	160122     	3.09441 	18350.3    	19.8867	53 	1  	6.57626
59 	148   	1576.14    	170039     	3.09441 	12443.4    	19.7967	47 	1  	5.68055
60 	152   	3299.48    	160122     	3.09441 	18587      	19.2367	38 	1  	4.44004
61 	164   	2713.25    	322108     	3.09441 	22222.1    	19.0567	41 	1  	5.01864
62 	174   	3164.14    	184099     	3.09441 	20244.1    	19.39  	47 	7  	5.11774
63 	169   	4170.17    	170039     	3.09441 	22753.3    	19.45  	43 	1  	5.04785
64 	198   	11765.4    	1.0165e+06 	3.09441 	95514.1    	19.3533	41 	2  	5.60492
65 	173   	5800.41    	988218     	3.09441 	59209.1    	19.6433	41 	1  	5.61808
66 	158   	5512.24    	179149     	3.09441 	26521      	19.61  	41 	2  	5.61527
67 	182   	2847.73    	180641     	3.09441 	18070.7    	19.8867	46 	3  	5.47057
68 	175   	2670.17    	150351     	3.09441 	16781.4    	19.5867	41 	1  	5.40763
69 	167   	3297.72    	180641     	3.09441 	20459.6    	19.58  	42 	1  	5.57287
70 	165   	2386.81    	170039     	3.09441 	16055.7    	19.3633	37 	6  	5.30955
71 	162   	4536.52    	170039     	3.09441 	23514.1    	18.8833	37 	1  	5.305  
