   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min      	std        	avg    	max	min	std    
0  	300   	3800.79    	50046.9    	1278.86  	2745.68    	3.78   	7  	2  	1.54648
1  	161   	3333.78    	8733.21    	1278.86  	688.958    	3.76333	13 	1  	1.57712
2  	161   	3114.92    	10288      	449.782  	1024.79    	3.89667	13 	1  	1.6771 
3  	176   	2641.43    	8348.57    	196.416  	993.383    	3.75667	9  	1  	1.49581
4  	169   	2507.77    	50046.9    	196.416  	3402.49    	3.95   	10 	1  	1.6189 
5  	155   	2507.8     	149135     	129.143  	8754.5     	4.10667	11 	1  	1.72876
6  	175   	5399.69    	1.00512e+06	78.8571  	57964.3    	4.39   	11 	1  	1.92646
7  	171   	8598.62    	1.00512e+06	68.5714  	64117.2    	4.95333	13 	1  	1.96074
8  	161   	9904.63    	1.00512e+06	68.5714  	79042.3    	5.9    	13 	1  	2.20832
9  	171   	10418.9    	1.00512e+06	64.5067  	84014.7    	6.72667	16 	1  	2.35767
10 	167   	2486.39    	201897     	64.5067  	14082.4    	7.20667	17 	3  	2.58405
11 	157   	1156.79    	37707.9    	43.491   	3663.81    	7.44333	20 	1  	2.71541
12 	171   	944.625    	68919.3    	43.491   	4313.68    	7.67   	17 	1  	2.67353
13 	166   	875.162    	33010.7    	43.491   	2596.96    	8.12667	19 	1  	3.06332
14 	158   	541.178    	12029.4    	34.2857  	1174.13    	9.19667	22 	3  	3.30928
15 	153   	571.006    	8890.29    	34.2857  	1104.95    	9.92667	23 	1  	3.26108
16 	156   	660.289    	38568.8    	39.1076  	2757.14    	10.33  	25 	1  	3.17297
17 	161   	791.854    	99581.7    	39.1076  	5799.65    	10.4933	21 	1  	3.27261
18 	149   	464.41     	8137.41    	39.1076  	968.757    	10.4167	22 	1  	3.26645
19 	173   	471.438    	10288      	26.3314  	1083.71    	10.26  	29 	2  	3.84869
20 	169   	4.44516e+30	1.33355e+33	26.3314  	7.68639e+31	10.3833	26 	3  	3.73672
21 	160   	446.031    	4881.14    	26.3314  	895.575    	10.82  	33 	1  	4.57831
22 	170   	712.051    	36124.1    	26.3314  	3361.64    	11.76  	33 	1  	5.04008
23 	179   	839.514    	50046.9    	26.3314  	3739.03    	12.7067	41 	2  	5.89299
