     	      	          fitness          	              size              
     	      	---------------------------	--------------------------------
gen  	nevals	avg	max	min    	std	avg    	max	min	std     
0    	500   	inf	inf	6998.12	nan	3.744  	11 	2  	1.81617 
1    	283   	inf	inf	6998.12	nan	3.428  	11 	1  	1.6226  
2    	262   	inf	inf	6998.12	nan	3.372  	12 	1  	1.75317 
3    	303   	inf	inf	6998.12	nan	3.734  	13 	1  	1.80201 
4    	266   	inf	inf	6993.42	nan	4.208  	12 	1  	2.12432 
5    	290   	inf	inf	6993.42	nan	4.452  	13 	1  	2.29079 
6    	268   	inf	inf	6166.83	nan	4.73   	13 	1  	2.42345 
7    	270   	inf	inf	6166.83	nan	4.634  	16 	1  	2.49641 
8    	281   	inf	inf	6166.83	nan	3.952  	13 	1  	1.9219  
9    	267   	inf	inf	6166.83	nan	3.674  	10 	1  	1.5059  
10   	252   	inf	inf	6166.83	nan	3.88   	10 	1  	1.44278 
11   	279   	inf	inf	6166.83	nan	4.586  	9  	1  	1.59079 
12   	284   	inf	inf	6166.83	nan	5.182  	12 	1  	1.48757 
13   	279   	inf	inf	6166.83	nan	5.728  	12 	1  	1.245   
14   	264   	inf	inf	6166.83	nan	5.922  	11 	1  	0.969493
15   	276   	inf	inf	6166.83	nan	5.932  	10 	1  	0.979477
16   	302   	inf	inf	6166.83	nan	5.986  	11 	1  	0.949634
17   	261   	inf	inf	6166.83	nan	5.954  	11 	1  	0.950728
18   	268   	inf	inf	6166.83	nan	5.994  	12 	1  	0.921935
19   	282   	inf	inf	6166.83	nan	5.988  	12 	1  	1.05445 
20   	295   	inf	inf	6166.83	nan	5.89   	11 	1  	1.08347 
21   	283   	inf	inf	6166.83	nan	5.892  	14 	1  	1.10469 
22   	296   	inf	inf	6166.83	nan	5.964  	11 	1  	0.981175
23   	269   	inf	inf	5603.04	nan	6.038  	14 	1  	1.11021 
24   	266   	inf	inf	5603.04	nan	5.966  	12 	1  	1.10311 
25   	280   	inf	inf	6166.83	nan	6.002  	14 	1  	1.11085 
26   	279   	inf	inf	6166.83	nan	6.016  	12 	1  	1.06007 
27   	241   	inf	inf	6166.83	nan	6      	14 	1  	0.971597
28   	288   	inf	inf	6166.83	nan	5.996  	14 	1  	1.0373  
29   	280   	inf	inf	6166.83	nan	5.974  	11 	1  	0.928075
30   	288   	inf	inf	5603.04	nan	5.982  	12 	1  	0.934706
31   	275   	inf	inf	5603.04	nan	6.002  	14 	1  	1.0761  
32   	272   	inf	inf	5603.04	nan	5.998  	15 	1  	1.15325 
33   	278   	inf	inf	5603.04	nan	6.02   	17 	1  	1.14    
34   	280   	inf	inf	5603.04	nan	6.09   	17 	1  	1.32133 
35   	287   	inf	inf	5603.04	nan	6.092  	13 	1  	1.16427 
36   	261   	inf	inf	5305.28	nan	6.312  	15 	1  	1.46787 
37   	273   	inf	inf	5305.28	nan	6.382  	13 	1  	1.43669 
38   	294   	inf	inf	5305.28	nan	6.836  	13 	1  	1.6808  
39   	282   	inf	inf	5305.28	nan	7.45   	14 	1  	1.93894 
40   	286   	inf	inf	4039.25	nan	7.898  	15 	1  	2.05806 
41   	295   	inf	inf	3996.38	nan	8.304  	16 	1  	2.00688 
42   	277   	inf	inf	5305.28	nan	8.588  	16 	1  	2.19141 
43   	274   	inf	inf	5305.28	nan	8.928  	17 	1  	2.12104 
44   	266   	inf	inf	5305.28	nan	9.076  	15 	1  	1.88314 
45   	261   	inf	inf	5194.44	nan	9.034  	14 	1  	1.78012 
46   	284   	inf	inf	5194.44	nan	9.13   	16 	1  	1.79363 
47   	274   	inf	inf	5194.44	nan	9.034  	17 	1  	1.9932  
48   	272   	inf	inf	5194.44	nan	9.134  	18 	1  	2.01198 
49   	255   	inf	inf	5194.44	nan	9.132  	19 	1  	2.1667  
50   	279   	inf	inf	5194.44	nan	9.318  	16 	1  	2.07289 
51   	281   	inf	inf	5194.44	nan	9.49   	17 	1  	2.45559 
52   	283   	inf	inf	4922.12	nan	9.832  	18 	1  	2.52345 
53   	270   	inf	inf	5194.44	nan	10.24  	18 	2  	2.74197 
54   	270   	inf	inf	4922.12	nan	10.708 	21 	1  	2.88075 
55   	284   	inf	inf	4922.12	nan	11.276 	21 	1  	3.16857 
56   	273   	inf	inf	4922.12	nan	11.932 	24 	1  	3.09506 
57   	282   	inf	inf	4922.12	nan	12.842 	23 	1  	3.00417 
58   	295   	inf	inf	3592.12	nan	13.184 	23 	1  	2.86464 
59   	267   	inf	inf	3247.12	nan	13.1   	25 	1  	2.8834  
60   	260   	inf	inf	3247.12	nan	13.13  	22 	1  	2.65803 
61   	267   	inf	inf	3214.12	nan	13.208 	23 	1  	2.69754 
62   	269   	inf	inf	1644.62	nan	13.536 	24 	1  	3.23121 
63   	267   	inf	inf	1644.62	nan	14.11  	28 	1  	3.41495 
64   	251   	inf	inf	1644.62	nan	14.862 	28 	1  	3.73188 
65   	264   	inf	inf	1644.62	nan	15.498 	31 	3  	4.01422 
66   	269   	inf	inf	1243.12	nan	15.888 	31 	3  	4.20469 
67   	276   	inf	inf	1243.12	nan	16.388 	31 	1  	4.48436 
68   	283   	inf	inf	1644.62	nan	17.282 	35 	1  	4.66631 
69   	280   	inf	inf	1644.62	nan	17.566 	35 	1  	4.75286 
70   	219   	inf	inf	1343.12	nan	18.414 	34 	3  	4.73863 
71   	266   	inf	inf	1343.12	nan	18.946 	35 	1  	4.79865 
72   	287   	inf	inf	1343.12	nan	19.376 	32 	1  	5.19448 
73   	277   	inf	inf	1343.12	nan	19.996 	34 	2  	5.27977 
74   	282   	inf	inf	1343.12	nan	20.136 	34 	1  	5.73633 
75   	278   	inf	inf	1343.12	nan	21.42  	35 	1  	6.25968 
76   	296   	inf	inf	1343.12	nan	22.934 	34 	1  	6.13365 
77   	271   	inf	inf	1035.12	nan	24.338 	35 	1  	6.22798 
78   	282   	inf	inf	1343.12	nan	26.048 	34 	1  	5.91555 
79   	279   	inf	inf	1343.12	nan	27.234 	35 	2  	5.203   
80   	267   	inf	inf	1343.12	nan	28.128 	35 	1  	4.72013 
81   	238   	inf	inf	1343.12	nan	28.702 	34 	1  	4.00764 
82   	290   	inf	inf	1035.12	nan	28.484 	35 	1  	4.34025 
83   	281   	inf	inf	1035.12	nan	28.644 	35 	9  	4.22862 
84   	294   	inf	inf	1343.12	nan	28.678 	35 	11 	4.24668 
85   	265   	inf	inf	1035.12	nan	28.948 	37 	11 	4.18728 
86   	267   	inf	inf	1035.12	nan	28.856 	35 	14 	4.24962 
87   	269   	inf	inf	1035.12	nan	28.726 	35 	5  	4.58769 
88   	279   	inf	inf	1035.12	nan	28.8   	35 	6  	4.22422 
89   	277   	inf	inf	1035.12	nan	28.904 	37 	1  	4.51163 
90   	285   	inf	inf	1035.12	nan	28.934 	36 	3  	4.38926 
91   	263   	inf	inf	1035.12	nan	29.104 	35 	14 	4.01612 
92   	280   	inf	inf	1035.12	nan	29.122 	35 	1  	4.58292 
93   	279   	inf	inf	1035.12	nan	29.102 	35 	12 	4.18277 
94   	243   	inf	inf	1035.12	nan	29.372 	35 	1  	4.31991 
95   	235   	inf	inf	1035.12	nan	29.452 	37 	1  	4.64109 
96   	274   	inf	inf	1035.12	nan	29.152 	35 	1  	4.82461 
97   	276   	inf	inf	1035.12	nan	29.464 	35 	3  	4.26763 
98   	283   	inf	inf	1035.12	nan	29.48  	35 	1  	4.37328 
99   	270   	inf	inf	1035.12	nan	29.436 	35 	1  	4.48619 
100  	280   	inf	inf	1035.12	nan	29.54  	35 	3  	4.3672  
101  	265   	inf	inf	1035.12	nan	29.466 	35 	1  	4.61918 
102  	295   	inf	inf	1035.12	nan	29.218 	35 	1  	4.63406 
103  	256   	inf	inf	1035.12	nan	29.666 	35 	11 	4.06232 
104  	252   	inf	inf	1035.12	nan	29.798 	35 	1  	4.09941 
105  	251   	inf	inf	1035.12	nan	29.646 	35 	5  	4.19102 
106  	285   	inf	inf	1035.12	nan	29.436 	35 	3  	4.35774 
107  	270   	inf	inf	1035.12	nan	29.396 	36 	1  	4.53599 
108  	274   	inf	inf	1035.12	nan	29.282 	35 	1  	4.89719 
109  	284   	inf	inf	1035.12	nan	29.242 	35 	1  	4.65784 
110  	250   	inf	inf	1035.12	nan	29.236 	35 	4  	4.60959 
111  	264   	inf	inf	1035.12	nan	29.268 	35 	2  	4.74976 
112  	276   	inf	inf	1035.12	nan	29.226 	35 	1  	4.64316 
113  	286   	inf	inf	1035.12	nan	29.632 	35 	1  	4.46101 
114  	278   	inf	inf	1035.12	nan	29.6   	35 	13 	4.03931 
115  	267   	inf	inf	1035.12	nan	29.424 	36 	1  	5.03788 
116  	274   	inf	inf	1035.12	nan	29.35  	36 	1  	4.74083 
117  	253   	inf	inf	1035.12	nan	29.592 	35 	9  	4.49639 
118  	270   	inf	inf	1035.12	nan	29.584 	35 	2  	4.4406  
119  	288   	inf	inf	1035.12	nan	29.444 	36 	1  	4.80696 
120  	284   	inf	inf	1035.12	nan	29.664 	35 	2  	4.57549 
121  	247   	inf	inf	1035.12	nan	29.788 	35 	3  	4.41396 
122  	254   	inf	inf	1035.12	nan	30.024 	36 	3  	4.19469 
123  	272   	inf	inf	1035.12	nan	29.926 	36 	14 	4.29005 
124  	263   	inf	inf	1035.12	nan	30.024 	35 	15 	4.08943 
125  	273   	inf	inf	1035.12	nan	30.078 	35 	1  	4.48017 
126  	256   	inf	inf	1035.12	nan	29.994 	35 	1  	4.77807 
127  	263   	inf	inf	1035.12	nan	29.844 	35 	1  	5.03624 
128  	301   	inf	inf	1035.12	nan	29.792 	35 	1  	5.00487 
129  	289   	inf	inf	1035.12	nan	30.154 	36 	1  	4.23442 
130  	275   	inf	inf	1035.12	nan	30.418 	37 	13 	4.03922 
131  	274   	inf	inf	1035.12	nan	29.966 	38 	1  	4.94862 
132  	269   	inf	inf	1035.12	nan	30     	35 	6  	4.80208 
133  	280   	inf	inf	1035.12	nan	29.996 	35 	6  	4.97433 
134  	288   	inf	inf	1035.12	nan	30.368 	35 	1  	4.80089 
135  	290   	inf	inf	1035.12	nan	30.224 	36 	9  	4.57841 
136  	271   	inf	inf	1035.12	nan	30.428 	35 	1  	4.54234 
137  	256   	inf	inf	1035.12	nan	30.748 	37 	15 	4.25212 
138  	295   	inf	inf	1035.12	nan	30.69  	35 	1  	4.52658 
139  	255   	inf	inf	1035.12	nan	30.534 	35 	1  	4.67042 
140  	261   	inf	inf	1035.12	nan	30.428 	35 	5  	4.46417 
141  	273   	inf	inf	1035.12	nan	30.452 	35 	11 	4.4627  
142  	256   	inf	inf	1035.12	nan	30.836 	35 	1  	4.38328 
143  	260   	inf	inf	1035.12	nan	30.742 	37 	1  	4.59559 
144  	263   	inf	inf	1035.12	nan	30.542 	35 	1  	4.86788 
145  	298   	inf	inf	1035.12	nan	30.676 	35 	1  	4.51077 
146  	280   	inf	inf	1035.12	nan	30.658 	35 	5  	4.49233 
147  	289   	inf	inf	1035.12	nan	30.408 	35 	3  	4.88769 
148  	293   	inf	inf	1035.12	nan	30.32  	36 	1  	5.47262 
149  	258   	inf	inf	1035.12	nan	30.994 	35 	11 	4.15668 
150  	283   	inf	inf	1035.12	nan	30.886 	36 	2  	4.54236 
151  	280   	inf	inf	1035.12	nan	31.154 	36 	15 	3.89593 
152  	256   	inf	inf	1035.12	nan	31.174 	36 	3  	4.31181 
153  	256   	inf	inf	1035.12	nan	30.994 	35 	1  	4.25699 
154  	298   	inf	inf	1035.12	nan	30.534 	36 	2  	4.74688 
155  	284   	inf	inf	1035.12	nan	30.324 	35 	1  	5.30613 
156  	268   	inf	inf	1035.12	nan	30.862 	35 	1  	4.7154  
157  	282   	inf	inf	1035.12	nan	30.804 	35 	1  	4.39791 
158  	290   	inf	inf	1035.12	nan	30.372 	35 	1  	4.91219 
159  	285   	inf	inf	1035.12	nan	30.396 	37 	1  	5.01988 
160  	311   	inf	inf	1035.12	nan	30.172 	35 	1  	5.16318 
161  	281   	inf	inf	1035.12	nan	30.37  	35 	1  	4.83292 
162  	267   	inf	inf	1035.12	nan	30.862 	38 	1  	4.43835 
163  	284   	inf	inf	1035.12	nan	30.542 	36 	1  	5.17342 
164  	259   	inf	inf	1035.12	nan	30.806 	35 	3  	4.54185 
165  	269   	inf	inf	1035.12	nan	30.856 	37 	7  	4.48456 
166  	242   	inf	inf	1035.12	nan	30.704 	35 	1  	4.82539 
167  	286   	inf	inf	1035.12	nan	30.86  	35 	1  	4.38411 
168  	278   	inf	inf	1035.12	nan	30.716 	35 	2  	4.50992 
169  	274   	inf	inf	1035.12	nan	30.506 	35 	6  	4.71359 
170  	246   	inf	inf	1035.12	nan	30.702 	35 	4  	4.62701 
171  	269   	inf	inf	1035.12	nan	30.75  	35 	15 	4.01939 
172  	258   	inf	inf	1035.12	nan	30.998 	36 	13 	4.37561 
173  	260   	inf	inf	1035.12	nan	30.996 	37 	13 	4.25394 
174  	285   	inf	inf	1035.12	nan	31.076 	36 	4  	4.54029 
175  	287   	inf	inf	1035.12	nan	30.89  	36 	1  	4.45891 
176  	296   	inf	inf	1035.12	nan	30.748 	38 	1  	4.54054 
177  	263   	inf	inf	1035.12	nan	30.588 	40 	4  	4.68767 
178  	251   	inf	inf	1035.12	nan	31.046 	37 	5  	4.31229 
179  	277   	inf	inf	1035.12	nan	30.892 	35 	1  	4.64632 
180  	280   	inf	inf	881.125	nan	30.824 	35 	2  	4.57919 
181  	280   	inf	inf	474.125	nan	30.95  	35 	1  	4.89974 
182  	284   	inf	inf	474.125	nan	31.062 	37 	2  	4.60805 
183  	272   	inf	inf	474.125	nan	30.982 	35 	15 	4.16913 
