     	      	          fitness          	              size              
     	      	---------------------------	--------------------------------
gen  	nevals	avg	max	min    	std	avg    	max	min	std     
0    	500   	inf	inf	84     	nan	3.632  	11 	2  	1.78005 
1    	275   	inf	inf	81.1496	nan	3.434  	10 	1  	1.75546 
2    	287   	inf	inf	81.1496	nan	3.346  	13 	1  	1.75336 
3    	271   	inf	inf	81.1496	nan	3.072  	10 	1  	1.45562 
4    	259   	inf	inf	81.1496	nan	2.858  	11 	1  	1.45665 
5    	295   	inf	inf	81.1496	nan	2.478  	10 	1  	1.17538 
6    	284   	inf	inf	81.1496	nan	2.342  	8  	1  	0.982362
7    	272   	inf	inf	81.1496	nan	2.502  	9  	1  	1.11445 
8    	276   	inf	inf	81.1496	nan	2.758  	12 	1  	1.26311 
9    	284   	inf	inf	81.1496	nan	3.142  	7  	1  	1.20076 
10   	257   	inf	inf	81.1496	nan	3.756  	11 	1  	1.15259 
11   	290   	inf	inf	44.75  	nan	3.938  	8  	1  	0.863803
12   	284   	inf	inf	44.75  	nan	4.038  	9  	1  	0.740646
13   	275   	inf	inf	44.75  	nan	4.034  	11 	1  	0.834772
14   	288   	inf	inf	44.75  	nan	4.114  	13 	1  	0.899446
15   	245   	inf	inf	44.75  	nan	4.218  	12 	1  	0.909107
16   	299   	inf	inf	44.75  	nan	4.268  	8  	1  	0.848632
17   	285   	inf	inf	44.75  	nan	4.588  	12 	1  	0.913376
18   	263   	inf	inf	44.75  	nan	4.82   	9  	1  	0.852995
19   	270   	inf	inf	44.75  	nan	4.986  	11 	1  	0.872814
20   	272   	inf	inf	44.75  	nan	4.998  	11 	1  	0.823405
21   	290   	inf	inf	44.75  	nan	4.994  	11 	1  	0.94761 
22   	295   	inf	inf	44.75  	nan	5.002  	13 	1  	0.998997
23   	277   	inf	inf	44.75  	nan	5.004  	12 	1  	0.981827
24   	273   	inf	inf	44.75  	nan	4.932  	9  	1  	0.911798
25   	263   	inf	inf	44.75  	nan	5.018  	10 	1  	0.955864
26   	281   	inf	inf	44.75  	nan	4.994  	13 	1  	0.976711
27   	243   	inf	inf	44.75  	nan	5.084  	13 	1  	0.955481
28   	283   	inf	inf	44.75  	nan	5.032  	10 	1  	0.935402
29   	273   	inf	inf	44.75  	nan	4.96   	10 	1  	0.913455
30   	263   	inf	inf	44.75  	nan	4.964  	8  	1  	0.804179
31   	259   	inf	inf	44.75  	nan	5.058  	12 	1  	0.985209
32   	232   	inf	inf	44.75  	nan	4.998  	13 	1  	0.939146
33   	266   	inf	inf	44.75  	nan	4.968  	11 	1  	0.962796
34   	301   	inf	inf	44.75  	nan	4.996  	10 	1  	0.950781
