     	      	              fitness              	              size              
     	      	-----------------------------------	--------------------------------
gen  	nevals	avg	max	min      	std	avg    	max 	min	std     
0    	500   	inf	inf	140391   	nan	3.606  	11  	2  	1.70375 
1    	281   	inf	inf	140391   	nan	3.268  	10  	1  	1.44505 
2    	277   	inf	inf	140391   	nan	3.144  	15  	1  	1.44335 
3    	276   	inf	inf	140391   	nan	3.312  	10  	1  	1.59958 
4    	281   	inf	inf	140391   	nan	3.522  	10  	1  	1.90303 
5    	276   	inf	inf	140391   	nan	3.572  	9   	1  	2.10543 
6    	265   	inf	inf	140391   	nan	2.876  	9   	1  	1.69842 
7    	264   	inf	inf	140391   	nan	2.282  	11  	1  	0.995227
8    	274   	inf	inf	140391   	nan	2.168  	9   	1  	0.734694
9    	262   	inf	inf	140391   	nan	2.116  	10  	1  	0.640737
10   	273   	inf	inf	140391   	nan	2.092  	10  	1  	0.668981
11   	283   	inf	inf	140391   	nan	2.104  	9   	1  	0.693674
12   	242   	inf	inf	140391   	nan	2.07   	10  	1  	0.541387
13   	249   	inf	inf	140391   	nan	2.13   	12  	1  	0.795676
14   	263   	inf	inf	140391   	nan	2.106  	10  	1  	0.640909
15   	262   	inf	inf	140391   	nan	2.066  	8   	1  	0.570652
16   	253   	inf	inf	140391   	nan	2.038  	6   	1  	0.473873
17   	285   	inf	inf	140391   	nan	2.066  	7   	1  	0.487487
18   	271   	inf	inf	140391   	nan	2.062  	7   	1  	0.496141
19   	290   	inf	inf	140391   	nan	2.104  	9   	1  	0.710763
20   	256   	inf	inf	140391   	nan	2.044  	7   	1  	0.39251 
21   	266   	inf	inf	140391   	nan	2.082  	9   	1  	0.625521
22   	262   	inf	inf	140391   	nan	2.016  	9   	1  	0.446927
23   	267   	inf	inf	140391   	nan	2.072  	10  	1  	0.6744  
24   	268   	inf	inf	140391   	nan	2.092  	9   	1  	0.729065
25   	279   	inf	inf	140391   	nan	2.114  	8   	1  	0.681912
26   	288   	inf	inf	140391   	nan	2.1    	9   	1  	0.676757
27   	297   	inf	inf	140391   	nan	2.064  	10  	1  	0.576111
28   	265   	inf	inf	140391   	nan	2.024  	7   	1  	0.524809
29   	288   	inf	inf	140391   	nan	2.02   	6   	1  	0.389358
30   	261   	inf	inf	140391   	nan	2.052  	8   	1  	0.511171
31   	274   	inf	inf	140391   	nan	2.06   	9   	1  	0.498397
32   	279   	inf	inf	140391   	nan	2.086  	10  	1  	0.615308
33   	263   	inf	inf	140391   	nan	2.112  	10  	1  	0.656853
34   	265   	inf	inf	140391   	nan	2.086  	7   	1  	0.588731
35   	288   	inf	inf	140391   	nan	2.092  	8   	1  	0.622524
36   	271   	inf	inf	140391   	nan	2.062  	7   	1  	0.527405
37   	292   	inf	inf	140391   	nan	2.082  	9   	1  	0.662779
38   	272   	inf	inf	140391   	nan	2.026  	7   	1  	0.401652
39   	269   	inf	inf	140391   	nan	2.068  	10  	1  	0.609406
40   	303   	inf	inf	140391   	nan	2.05   	8   	1  	0.558122
41   	281   	inf	inf	140391   	nan	2.104  	8   	1  	0.710763
42   	275   	inf	inf	140391   	nan	2.084  	8   	1  	0.570039
43   	303   	inf	inf	140391   	nan	2.048  	7   	1  	0.479266
44   	285   	inf	inf	140391   	nan	2.044  	6   	1  	0.462671
45   	286   	inf	inf	140391   	nan	2.04   	7   	1  	0.463033
46   	262   	inf	inf	140391   	nan	2.058  	7   	1  	0.52786 
47   	281   	inf	inf	140391   	nan	2.038  	10  	1  	0.566177
48   	310   	inf	inf	140391   	nan	2.056  	10  	1  	0.626789
