   	      	          fitness           	              size             
   	      	----------------------------	-------------------------------
gen	nevals	avg    	max    	min	std 	avg    	max	min	std    
0  	300   	603.521	16686.3	1  	2639	3.51333	7  	2  	1.46395
1  	151   	94.15  	13124.3	1  	756.107	3.71333	10 	1  	1.65665
2  	166   	89.3234	13124.3	0  	756.95 	4.27333	11 	1  	1.91797
3  	164   	197.785	18026.3	0  	1597.62	4.63   	12 	1  	1.9832 
4  	167   	259.504	16686.3	0  	1729.11	5.27   	16 	1  	2.23393
5  	152   	123.279	13124.3	0  	1067.28	5.47667	14 	1  	2.0598 
6  	155   	195.594	13124.3	0  	1385.61	5.74   	17 	1  	2.21188
7  	169   	69.0362	10979.8	0  	633.64 	6.25333	15 	1  	2.42401
8  	183   	118.961	13124.3	0  	985.212	6.82   	17 	1  	2.7594 
9  	177   	206.685	13124.3	0  	1503.26	7.53   	20 	1  	3.0696 
10 	156   	22.3561	757.5  	0  	64.0525	8.31667	22 	1  	3.22331
11 	181   	132.686	17125  	0  	1303.4 	9.16667	25 	1  	3.22783
12 	156   	64.9764	13124.3	0  	756.681	9.51667	25 	1  	3.13949
13 	170   	61.8153	12198.1	0  	703.664	10.1133	25 	1  	3.80269
14 	161   	33790  	1.01157e+07	0  	583054 	10.5667	24 	1  	3.75218
15 	172   	125.973	15056.5    	0  	1150.76	10.73  	32 	1  	4.06658
16 	158   	20.0331	408.667    	0  	48.0956	10.9533	38 	1  	4.29005
17 	154   	20.0665	919.5      	0  	72.7006	11.2167	43 	1  	4.38669
18 	180   	20.1929	408.667    	0  	45.3445	11.4333	27 	1  	4.45184
19 	171   	17.277 	144.167    	0  	37.3607	12.16  	29 	1  	4.85946
20 	164   	61.5159	13124.3    	0  	756.501	13.0133	33 	1  	5.41293
21 	173   	62.2262	14478.3    	0  	834.642	13.6433	41 	1  	5.83405
22 	163   	57.9828	12934      	0  	745.872	14.3167	36 	2  	6.58152
23 	145   	15.6811	408.667    	0  	45.4777	14.5767	44 	1  	6.64711
24 	168   	60.1923	13094      	0  	754.704	15.4767	43 	1  	7.81896
25 	176   	92.5682	16904.7    	0  	1042.67	16.7233	52 	1  	8.45025
26 	177   	13.4602	168.167    	0  	34.9353	18.1233	52 	1  	9.05657
27 	152   	103.582	15263.8    	0  	1137.04	19.0533	54 	5  	9.27598
