   	      	                      fitness                       	              size              
   	      	----------------------------------------------------	--------------------------------
gen	nevals	avg         	max         	min   	std         	avg    	max	min	std     
0  	300   	2.55596e+30 	7.66789e+32 	4143.9	4.41968e+31 	3.13333	7  	2  	1.24454 
1  	174   	1.32047e+26 	3.96141e+28 	0     	2.28331e+27 	3.13   	8  	1  	1.23818 
2  	169   	4.82474e+73 	1.4474e+76  	0     	8.34263e+74 	3.34333	8  	1  	1.24851 
3  	169   	1.5417e+122 	4.62509e+124	0     	2.66584e+123	3.50333	9  	1  	1.3     
4  	148   	4.82489e+73 	1.4474e+76  	0     	8.34263e+74 	3.65   	12 	1  	1.49025 
5  	165   	4.82504e+73 	1.4474e+76  	0     	8.34263e+74 	4.01333	13 	1  	1.75494 
6  	172   	7.53855e+71 	2.26156e+74 	0     	1.30354e+73 	4.3    	12 	1  	1.89824 
7  	165   	2.31681e+77 	3.47521e+79 	0     	2.82802e+78 	4.9    	10 	2  	1.67033 
8  	170   	3.96141e+26 	3.96141e+28 	0     	3.94155e+27 	4.91667	10 	1  	1.6134  
9  	170   	552163      	1.54765e+08 	0     	8.9194e+06  	5.08667	11 	1  	1.67705 
10 	172   	1.32047e+26 	3.96141e+28 	0     	2.28331e+27 	5.06667	11 	1  	1.63978 
11 	174   	188474      	4.22732e+07 	0     	2.43935e+06 	5.08333	10 	1  	1.59887 
12 	160   	604759      	4.22732e+07 	0     	4.8462e+06  	5.16333	12 	1  	1.74069 
13 	168   	6.50255e+19 	1.95076e+22 	0     	1.1244e+21  	5.28333	14 	3  	1.92086 
14 	174   	6.45655e+14 	1.93696e+17 	0     	1.11644e+16 	5.21   	14 	1  	1.86348 
15 	180   	1.31777e+13 	3.9533e+15  	0     	2.27863e+14 	4.96   	12 	1  	1.56793 
16 	177   	348172      	4.22732e+07 	0     	3.44024e+06 	4.84667	15 	1  	1.58634 
17 	158   	349860      	4.22732e+07 	0     	3.45764e+06 	4.8    	12 	1  	1.59792 
18 	171   	1.31777e+13 	3.9533e+15  	0     	2.27863e+14 	4.84333	10 	1  	1.51177 
19 	161   	762496      	4.22732e+07 	0     	5.42579e+06 	4.84333	14 	1  	1.53583 
