   	      	                      fitness                      	              size              
   	      	---------------------------------------------------	--------------------------------
gen	nevals	avg        	max        	min	std        	avg    	max	min	std     
0  	300   	6.16564e+30	1.84969e+33	0  	1.06614e+32	3.10667	7  	2  	1.28139 
1  	156   	32280      	3.22179e+06	0  	320558     	3.11667	8  	1  	1.37467 
2  	156   	7.28161e+06	1.62514e+09	0  	9.85455e+07	3.54   	12 	1  	1.66985 
3  	152   	487535     	1.4302e+08 	0  	8.24496e+06	3.92333	13 	1  	1.89494 
4  	151   	21524.3    	3.22179e+06	0  	262176     	4.23667	13 	1  	1.78157 
5  	167   	25.8288    	2730.5     	0  	207.779    	4.4    	13 	1  	1.93046 
6  	158   	5.54229e+09	1.66268e+12	0  	9.58349e+10	3.81333	13 	1  	1.59744 
7  	168   	32266      	3.23181e+06	0  	320842     	3.25667	14 	1  	1.08203 
8  	172   	1.82401e+23	5.47204e+25	0  	3.15401e+24	3.15333	8  	2  	0.7415  
9  	174   	4.37733    	85         	0  	15.2067    	3.06333	8  	1  	0.657766
10 	174   	221.839    	64276.9    	0  	3705.25    	3.12333	11 	2  	0.69387 
11 	148   	10782.5    	3.23181e+06	0  	186277     	3.10333	9  	1  	0.657766
12 	171   	10783      	3.23181e+06	0  	186277     	3.11667	7  	3  	0.519348
13 	172   	21558      	3.23497e+06	0  	263124     	3.09   	8  	1  	0.664756
14 	176   	370.575    	63761.5    	0  	4451.85    	3.06333	7  	1  	0.553163
15 	170   	47.2289    	10171      	0  	602.712    	3.16667	9  	1  	0.901234
16 	160   	10783.1    	3.23181e+06	0  	186277     	3.09667	7  	1  	0.566265
17 	169   	2.63038    	70         	0  	10.7845    	3.04667	8  	1  	0.514285
18 	176   	215.164    	62022      	0  	3576.22    	3.07   	6  	1  	0.467369
19 	155   	1715.74    	513378     	0  	29590.2    	3.1    	9  	1  	0.6245  
20 	173   	216.78     	62022      	0  	3576.9     	3.01333	6  	2  	0.29409 
21 	187   	1.80015e+06	5.36813e+08	0  	3.09412e+07	3.1    	8  	2  	0.493288
22 	165   	19.5485    	2534.1     	0  	187.363    	3.09667	8  	1  	0.796234
23 	170   	1.82401e+23	5.47204e+25	0  	3.15401e+24	3.08   	6  	1  	0.541849
24 	174   	23529.4    	3.24653e+06	0  	265117     	3.12333	9  	1  	0.731293
25 	173   	2.35097e+30	6.58079e+32	0  	3.80192e+31	3.08   	7  	1  	0.469326
