   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max    	min  	std    	avg    	max	min	std    
0  	500   	189.721	279.5  	84   	27.3096	3.54   	8  	2  	1.55448
1  	291   	174.047	306    	84   	31.3509	3.44   	14 	1  	1.71651
2  	262   	155.214	377    	7.375	32.9037	3.114  	10 	1  	1.6556 
3  	266   	140.757	279.5  	7.375	26.1094	2.846  	11 	1  	1.72113
4  	272   	126.623	377    	7.375	33.6775	3.206  	18 	1  	2.23597
5  	303   	110.725	480.5  	7.375	47.5635	3.964  	18 	1  	2.86404
6  	265   	110.212	8106.38	5    	366.768	4.432  	18 	1  	3.33787
7  	294   	129.829	8106.38	5    	606.816	4.45   	20 	1  	3.26917
8  	276   	270.316	15164.4	5    	1358.56	4.424  	18 	1  	2.60465
9  	260   	357.251	8106.38	5    	1540.39	4.38   	16 	1  	1.89726
10 	276   	576.705	9008.38	5    	2006.15	4.384  	15 	1  	1.67468
11 	299   	522.953	8106.38	5    	1911.14	4.388  	13 	1  	1.66297
12 	269   	398.099	8117.25	5    	1650.06	4.78   	18 	1  	2.02771
13 	265   	283.339	8117.25	5    	1334.2 	5.476  	17 	1  	2.46687
14 	262   	324.464	8117.25	5    	1406.8 	6.792  	18 	1  	3.13317
15 	264   	150.106	8117.25	5    	815.876	7.996  	21 	2  	3.14706
16 	275   	95.3465	7283   	3.625	570.908	9.2    	25 	2  	3.20998
17 	287   	172.075	8117.25	3.625	945.76 	9.748  	22 	1  	3.60895
18 	279   	263.76 	80660  	3.625	3648.4 	10.12  	22 	1  	3.65207
19 	303   	109.086	8117.25	3.625	713.199	10.59  	28 	2  	3.95347
20 	281   	122.049	16585.5	3.625	933.403	11.05  	29 	1  	4.36068
21 	286   	141.547	8117.25	3.625	817.38 	11.506 	34 	2  	4.86065
22 	277   	105.861	7283   	3.625	657.704	11.86  	31 	1  	5.48055
23 	269   	99.347 	8117.25	3.625	672.599	11.956 	37 	1  	5.61552
24 	295   	105.549	7283   	3.625	656.652	12.808 	37 	1  	6.64734
25 	270   	91.4627	7970.62	2.5  	587.661	12.252 	37 	1  	6.45077
26 	294   	113.945	8117.25	2.5  	701.436	12.25  	45 	1  	6.82902
27 	271   	183.274	8117.25	2.5  	988.234	11.41  	44 	1  	6.82656
28 	266   	130.525	8117.25	1.875	837.586	9.69   	39 	1  	6.30729
29 	282   	321.358	7970.62	1.875	1446.42	8.184  	38 	1  	4.73816
