   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min      	std        	avg    	max	min	std    
0  	300   	7.04644e+30	2.11393e+33	57.0656  	1.21844e+32	3.28667	7  	2  	1.3679 
1  	156   	5.71773e+08	1.31649e+11	57.0656  	7.92121e+09	3.45333	8  	1  	1.36912
2  	164   	7.04644e+30	2.11393e+33	58.8571  	1.21844e+32	3.50333	9  	1  	1.42945
3  	154   	3.61918e+18	1.08575e+21	58.8571  	6.25815e+19	3.83   	10 	1  	1.73429
4  	181   	5.51848e+06	6.13081e+08	58.8571  	5.21893e+07	3.95667	10 	1  	1.89247
5  	163   	1.2276e+07 	6.13066e+08	58.8571  	8.5826e+07 	3.85   	10 	1  	1.87816
6  	160   	1.83937e+07	6.13147e+08	58.8571  	1.04585e+08	3.83667	11 	1  	2.08086
7  	156   	1.03739e+07	6.13421e+08	58.8571  	7.85064e+07	4.07333	12 	1  	2.26008
8  	143   	2.65913e+07	6.13169e+08	58.8571  	1.24821e+08	4.82   	15 	1  	2.671  
9  	162   	3.61918e+18	1.08575e+21	58.1429  	6.25815e+19	6.02   	14 	1  	2.63937
10 	166   	2.08459e+23	6.25376e+25	57.0656  	3.60459e+24	7.08   	16 	1  	2.93489
11 	158   	2.08459e+23	6.25376e+25	54.6345  	3.60459e+24	7.46667	18 	2  	2.7207 
12 	183   	6.30422e+06	6.13203e+08	54.2034  	6.10409e+07	7.45   	16 	1  	2.73145
13 	162   	2.08459e+23	6.25376e+25	53.1635  	3.60459e+24	7.84   	20 	1  	3.02452
14 	159   	1.09265e+14	3.27794e+16	53.1635  	1.88936e+15	8.03667	19 	2  	3.18883
15 	136   	6.15806e+06	6.13244e+08	53.1635  	6.101e+07  	8.81667	19 	1  	3.41707
16 	158   	6.25376e+23	6.25376e+25	48.3732  	6.22241e+24	9.9    	23 	1  	3.7036 
17 	156   	6.33414e+09	1.90023e+12	40.071   	1.09527e+11	10.8333	26 	1  	3.8426 
18 	172   	8.17948e+20	2.45379e+23	45.1429  	1.41433e+22	11.6533	35 	1  	4.62455
19 	189   	2.11008e+06	6.13297e+08	40.5353  	3.53491e+07	12.4267	27 	1  	4.43749
20 	167   	2.09277e+23	6.25376e+25	40.5353  	3.60457e+24	13.7   	32 	3  	4.58948
21 	174   	5.5614e+16 	1.11118e+19	37.6859  	7.15532e+17	14.3567	29 	3  	4.67719
22 	142   	3.70393e+16	1.11118e+19	37.6859  	6.4047e+17 	15.45  	38 	2  	5.29788
23 	163   	2.28249e+12	6.84746e+14	37.6859  	3.94679e+13	16.79  	33 	1  	5.55751
24 	160   	4.10112e+06	6.13235e+08	35.1013  	4.99019e+07	18.74  	37 	4  	5.27691
25 	158   	2.27628e+12	6.82884e+14	29.0683  	3.93605e+13	20.4733	46 	1  	6.57642
26 	159   	1.09271e+14	3.27813e+16	28.1959  	1.88947e+15	22.9367	52 	1  	6.5868 
27 	163   	13362.5    	3.73157e+06	24.2559  	215350     	24.18  	49 	2  	7.04705
28 	167   	311.581    	11604      	23.645   	1029       	26.6167	51 	1  	7.3123 
