   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min      	std        	avg    	max	min	std    
0  	300   	9.24004e+30	2.11393e+33	119.857  	1.27491e+32	3.21667	7  	2  	1.29218
1  	167   	1.32979e+08	3.98782e+10	77.7143  	2.29852e+09	3.36   	8  	1  	1.46642
2  	159   	4.52833e+06	6.13054e+08	77.7143  	5.04239e+07	3.52333	9  	1  	1.45698
3  	158   	2.72281e+08	3.98782e+10	59.1475  	3.24522e+09	3.49   	8  	1  	1.36011
4  	149   	3.94913e+08	3.98782e+10	59.1475  	3.73937e+09	3.50333	9  	2  	1.44798
5  	174   	1.12932e+29	3.38797e+31	59.1475  	1.95278e+30	3.54333	9  	1  	1.49269
6  	149   	2.27499e+07	6.13129e+08	58.8571  	1.15215e+08	3.61667	9  	1  	1.40821
7  	160   	2.24971e+07	6.13129e+08	58.8571  	1.1522e+08 	4.11333	9  	1  	1.36155
8  	174   	2.08459e+23	6.25376e+25	58.8571  	3.60459e+24	4.5    	10 	1  	1.35769
9  	180   	2.86207e+07	6.13239e+08	58.8571  	1.29323e+08	4.65333	9  	1  	1.15751
10 	186   	6.36261e+09	1.90008e+12	58.8571  	1.09516e+11	4.93   	11 	1  	1.36324
11 	172   	2.24915e+07	6.13351e+08	57.0656  	1.15239e+08	5.20667	9  	1  	1.40616
12 	171   	1.47109e+07	6.13351e+08	57.0656  	9.25886e+07	5.55   	11 	1  	1.53867
13 	162   	1.86905e+07	6.13351e+08	55.4286  	1.04606e+08	5.95   	11 	1  	1.46771
14 	164   	1.29493e+07	6.13458e+08	55.4286  	8.59081e+07	6.38   	15 	1  	1.6214 
15 	160   	1.89332e+07	6.13351e+08	55.4286  	1.0461e+08 	6.36333	13 	1  	1.41114
16 	144   	2.12558e+07	2.61275e+09	55.4286  	1.72729e+08	6.48333	15 	1  	1.46846
17 	161   	2.08459e+23	6.25376e+25	55.4286  	3.60459e+24	6.77333	13 	3  	1.44751
18 	191   	2.08459e+23	6.25376e+25	55.4286  	3.60459e+24	6.71667	12 	1  	1.51538
19 	164   	6.34237e+09	1.90023e+12	55.4286  	1.09526e+11	6.93333	15 	1  	1.56915
20 	171   	1.85747e+16	5.57241e+18	55.4286  	3.21186e+17	7.27   	14 	1  	1.79549
21 	166   	4.16917e+23	6.25376e+25	55.4286  	5.08912e+24	7.29333	16 	1  	1.85309
22 	163   	1.04229e+24	6.25376e+25	55.4286  	8.00601e+24	7.33667	14 	1  	1.75023
23 	157   	6.25376e+23	6.25376e+25	55.4286  	6.22241e+24	7.20333	15 	1  	1.64377
24 	175   	4.16917e+23	6.25376e+25	55.4286  	5.08912e+24	7.22333	14 	1  	1.69513
25 	172   	8.33835e+23	6.25376e+25	55.4286  	7.17292e+24	7.24   	13 	1  	1.76136
26 	171   	4.16917e+23	6.25376e+25	55.4286  	5.08912e+24	7.24667	13 	1  	1.61632
27 	169   	4.16917e+23	6.25376e+25	55.4286  	5.08912e+24	7.12   	11 	1  	1.4716 
28 	160   	6.25376e+23	6.25376e+25	55.4286  	6.22241e+24	7.17333	16 	1  	1.72336
29 	174   	4.93251e+31	1.47975e+34	55.4286  	8.52911e+32	7.20667	13 	2  	1.51348
30 	161   	6.25376e+23	6.25376e+25	55.4286  	6.22241e+24	7.19   	12 	2  	1.43547
31 	175   	1.04229e+24	6.25376e+25	55.125   	8.00601e+24	7.22   	13 	1  	1.6608 
32 	153   	1.25076e+24	6.25376e+25	55.125   	8.75526e+24	7.20333	18 	1  	1.66593
33 	139   	7.04644e+30	2.11393e+33	55.125   	1.21844e+32	7.35   	14 	2  	1.67755
34 	154   	5.57241e+16	5.57241e+18	54.1225  	5.54447e+17	7.42   	14 	1  	1.68827
35 	171   	1.25076e+24	6.25376e+25	55.125   	8.75526e+24	7.43667	14 	1  	1.79796
36 	166   	8.33835e+23	6.25376e+25	55.1199  	7.17292e+24	7.58   	15 	4  	1.89128
37 	169   	4.16917e+23	6.25376e+25	55.1199  	5.08912e+24	7.51333	14 	1  	2.05827
38 	177   	6.25376e+23	6.25376e+25	54.8571  	6.22241e+24	7.74   	15 	1  	2.27429
39 	159   	4.16917e+23	6.25376e+25	54.1225  	5.08912e+24	7.69   	16 	1  	2.33393
40 	162   	8.33835e+23	6.25376e+25	54.1225  	7.17292e+24	8.08   	18 	1  	2.66088
41 	137   	2.08459e+23	6.25376e+25	54.1225  	3.60459e+24	8.35333	16 	1  	2.39899
42 	153   	8.33835e+23	6.25376e+25	54.1225  	7.17292e+24	8.79   	21 	1  	2.77835
43 	164   	7.04644e+30	2.11393e+33	54.1225  	1.21844e+32	9.32   	23 	2  	3.04263
44 	162   	1.10023e+14	3.3007e+16 	54.1225  	1.90248e+15	9.46333	19 	1  	2.87669
45 	171   	2.08459e+23	6.25376e+25	54.1225  	3.60459e+24	9.60667	18 	1  	2.83172
46 	185   	1.35043e+08	3.98787e+10	54.1225  	2.29871e+09	9.69667	18 	1  	3.08836
47 	151   	2.6684e+07 	4.29433e+09	54.1225  	2.6131e+08 	9.67667	23 	2  	2.94258
48 	153   	6.87794e+06	6.13367e+08	54.1225  	6.20585e+07	9.55333	23 	1  	3.20008
49 	171   	6.21752e+06	6.13367e+08	54.1225  	6.10158e+07	9.29667	23 	1  	3.06191
50 	142   	6.17452e+06	6.13367e+08	54.1225  	6.1008e+07 	9.44   	26 	2  	3.32261
51 	183   	2.25397e+07	6.13367e+08	54.1225  	1.15245e+08	9.20667	23 	1  	2.87123
52 	190   	1.63978e+07	6.13367e+08	54.1225  	9.87905e+07	9.25667	23 	1  	2.62376
53 	150   	8.23313e+06	6.13367e+08	54.1225  	7.03316e+07	9.22333	23 	1  	2.51664
54 	159   	1.02828e+07	6.13367e+08	54.1225  	7.85045e+07	9.24667	26 	1  	2.70169
55 	165   	4.1326e+06 	6.1322e+08 	54.1225  	4.98997e+07	9.3    	20 	3  	2.27083
56 	182   	2.73565e+07	2.61792e+09	54.1225  	1.82708e+08	9.21   	18 	1  	2.46155
57 	181   	6.36196e+06	6.13426e+08	54.1225  	6.1046e+07 	9.37   	18 	1  	2.51391
58 	160   	1.64107e+07	2.45356e+09	54.1225  	1.57516e+08	9.43667	18 	1  	2.52969
59 	167   	6.1649e+06 	6.13292e+08	54.1225  	6.1014e+07 	9.46667	19 	2  	2.49176
60 	171   	1.23202e+07	6.15499e+08	54.1225  	8.5915e+07 	9.39667	19 	1  	2.6632 
61 	151   	1.64096e+07	6.13367e+08	54.1225  	9.87987e+07	9.86667	20 	1  	2.59658
62 	156   	1.43431e+07	6.13367e+08	54.1225  	9.25729e+07	9.57667	24 	3  	2.74058
63 	132   	6.14357e+06	6.1322e+08 	54.1225  	6.10137e+07	9.67667	23 	1  	2.88654
64 	159   	1.23252e+07	2.45356e+09	54.1225  	1.49742e+08	9.46333	21 	3  	2.54728
65 	160   	8.3106e+06 	6.5195e+08 	54.1225  	7.14795e+07	9.42333	20 	1  	2.44761
66 	170   	6.18043e+06	6.13367e+08	54.1225  	6.10188e+07	9.52   	20 	1  	2.83012
67 	163   	2.75761e+06	6.1322e+08 	48.4941  	3.72191e+07	9.64333	21 	2  	2.941  
68 	150   	2.1936e+30 	6.58079e+32	48.4941  	3.79308e+31	9.86   	19 	4  	2.54566
69 	155   	6.14724e+06	6.13367e+08	48.4941  	6.10238e+07	9.55   	17 	1  	2.58473
70 	160   	8.34186e+06	6.5195e+08 	48.4941  	7.14767e+07	9.65667	19 	1  	2.64552
71 	165   	1.38914e+07	1.62538e+09	48.4941  	1.1679e+08 	9.79667	19 	1  	2.81934
72 	178   	2.08459e+23	6.25376e+25	48.4941  	3.60459e+24	9.94333	20 	1  	2.91206
73 	167   	3.61918e+18	1.08575e+21	46.565   	6.25815e+19	9.85   	21 	1  	3.08882
74 	191   	8.41387e+06	6.51789e+08	46.565   	7.14674e+07	9.97333	22 	1  	3.56548
75 	158   	2.25487e+07	2.4533e+09 	46.565   	1.8297e+08 	10.29  	23 	2  	3.45049
76 	163   	1.43343e+07	6.13504e+08	41.0582  	9.25784e+07	10.8   	25 	1  	3.38132
77 	162   	3.61918e+18	1.08575e+21	41.0582  	6.25815e+19	11.31  	26 	1  	3.58523
78 	148   	4.13365e+06	6.13367e+08	41.0582  	4.99039e+07	11.8267	27 	3  	3.73942
79 	146   	6.8642e+06 	6.13426e+08	41.0582  	6.2059e+07 	11.9567	23 	1  	3.58815
80 	165   	6.168e+06  	6.13631e+08	41.0582  	6.10314e+07	12.51  	24 	3  	3.47514
81 	162   	6.18285e+06	6.13381e+08	41.0582  	6.10223e+07	12.77  	27 	1  	3.73235
82 	174   	8.30283e+06	6.13458e+08	39.3282  	7.03728e+07	13.11  	30 	3  	3.68753
83 	187   	4.10915e+06	6.13381e+08	35.1841  	4.9908e+07 	13.6567	26 	1  	4.09131
84 	154   	6.15531e+06	6.134e+08  	25.6668  	6.10296e+07	14.5967	33 	1  	4.87722
85 	172   	6.13472e+06	6.13381e+08	25.6668  	6.10265e+07	15.91  	37 	2  	5.72497
86 	161   	4.1205e+06 	6.13307e+08	24.0138  	4.99051e+07	17.3633	42 	1  	6.23683
87 	188   	2.08459e+23	6.25376e+25	17.0384  	3.60459e+24	18.6233	43 	1  	7.14806
88 	167   	4.12036e+06	6.13424e+08	17.0384  	4.99059e+07	20.2833	42 	1  	7.34505
89 	179   	595796     	1.55749e+08	17.0384  	9.01141e+06	21.8367	64 	1  	7.3564 
90 	160   	4.35322e+06	6.13367e+08	17.0384  	4.99981e+07	22.8367	50 	4  	7.63872
91 	160   	4.10464e+07	9.85409e+09	17.0384  	5.84892e+08	24.4733	59 	4  	9.43977
92 	172   	1.68404e+08	3.98875e+10	13.1357  	2.36807e+09	26.7767	67 	1  	10.1568
93 	158   	5.72098e+06	1.62506e+09	13.1357  	9.37063e+07	24.6767	62 	4  	9.80538
94 	152   	4.24966e+06	6.13382e+08	8.92872  	4.99782e+07	24.02  	56 	1  	8.68176
95 	198   	1.35108e+08	3.98807e+10	8.92872  	2.29882e+09	24.2667	53 	1  	8.43261
96 	161   	4692.57    	1.02989e+06	8.03228  	59778.6    	24.4767	55 	2  	9.36925
97 	164   	2.11165e+07	3.06756e+09	8.03228  	2.34199e+08	25.7933	52 	3  	8.8112 
