   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min      	std        	avg    	max	min	std    
0  	300   	3668.24    	9429.85    	1278.86  	639.702    	3.98   	11 	2  	2.00157
1  	164   	3213.36    	4302.86    	1278.86  	662.503    	3.93   	11 	2  	1.794  
2  	174   	2699.39    	6254.16    	551.723  	805.623    	4.09667	10 	2  	1.8549 
3  	154   	2091.25    	4302.86    	551.723  	770.836    	3.78   	10 	2  	1.60154
4  	155   	1556.12    	10288      	316.583  	802.16     	3.72   	10 	3  	1.6598 
5  	145   	1349.8     	10288      	129.143  	950.313    	3.89333	10 	2  	1.79126
6  	178   	1945.1     	201897     	129.143  	11777.5    	4.17   	10 	3  	1.49703
7  	166   	1356.83    	37707.9    	105.726  	3718.7     	4.76333	10 	3  	1.38106
8  	192   	1273.66    	37707.9    	105.726  	3884.95    	5.10667	9  	3  	1.07794
9  	181   	1018.91    	37707.9    	105.726  	3307.68    	5.36   	11 	3  	1.09715
10 	161   	897.587    	69617.1    	105.726  	4157.41    	5.58   	11 	3  	1.23164
11 	163   	476.077    	5590.21    	105.726  	776.331    	5.78667	9  	3  	1.25213
12 	185   	601.817    	43010.2    	78.8571  	2752.4     	5.97333	9  	3  	1.26989
13 	162   	504.478    	21044.5    	78.8571  	1527.27    	6.29333	11 	3  	1.46309
14 	152   	1093.38    	214897     	78.8571  	12380.4    	6.60667	11 	3  	1.36331
15 	166   	456.009    	23228.6    	78.8571  	1451.5     	6.86   	11 	3  	1.24113
16 	160   	510.538    	13054.3    	78.8571  	1339.05    	6.91333	11 	3  	1.31877
17 	157   	518.633    	11520.1    	78.8571  	1156.05    	6.95333	11 	3  	1.38966
18 	179   	531.773    	43010.2    	78.8571  	2593.06    	6.95333	11 	3  	1.32079
19 	166   	435.546    	13054.3    	43.491   	1026.69    	6.94   	11 	3  	1.38915
20 	172   	589.091    	33377.6    	43.491   	2118.03    	7.03333	11 	3  	1.52716
21 	173   	562.613    	23228.6    	43.491   	1537.39    	7.27333	13 	3  	1.74125
22 	145   	833.53     	88542.9    	43.491   	5223.42    	7.54667	15 	3  	1.90993
23 	156   	671.439    	19035.9    	29.913   	1828.71    	7.86   	17 	3  	1.88867
24 	163   	684.137    	16660.2    	29.913   	1659.37    	8.33333	19 	3  	2.33429
25 	171   	810.009    	23443.9    	29.913   	2325.41    	8.66   	23 	3  	2.31035
26 	169   	1113.67    	134897     	29.913   	7831.61    	8.82667	19 	3  	2.28545
27 	150   	706.718    	23228.6    	29.913   	1766.35    	8.98   	19 	3  	2.04929
28 	181   	996.678    	99581.7    	29.913   	5875.97    	9.12667	15 	3  	1.97247
29 	154   	522.45     	19035.9    	29.913   	1352.68    	9.08   	17 	3  	2.02491
30 	156   	494.406    	23443.9    	29.913   	1522.22    	9.07333	15 	3  	1.62725
31 	141   	1096.64    	138321     	29.913   	8337.04    	9.06   	17 	3  	2.1625 
32 	164   	543.936    	8353.29    	29.913   	1063.99    	9.12667	17 	3  	2.23844
33 	173   	669.427    	34042.7    	29.913   	2292.49    	9.12   	17 	3  	2.31206
34 	173   	870.068    	41660.8    	29.913   	3197.36    	9.14   	15 	3  	2.25545
35 	168   	1049.04    	99581.7    	29.913   	6065.65    	9.15333	17 	3  	2.42002
36 	178   	627.447    	6493.62    	29.913   	1083       	9.2    	19 	3  	2.3523 
37 	140   	670.725    	34042.7    	29.913   	2241.28    	9.26   	15 	3  	2.02626
38 	156   	752.286    	34042.7    	29.913   	2462.92    	9.30667	17 	3  	2.12586
39 	151   	566.16     	12225.1    	29.913   	1182.46    	9.36   	17 	3  	2.45569
40 	166   	855.467    	34042.7    	29.913   	2935.4     	9.36   	17 	3  	2.29864
41 	152   	486.553    	6493.62    	29.913   	937.647    	9.26   	19 	3  	2.11638
42 	167   	671.361    	34042.7    	29.913   	2298.58    	9.18667	19 	3  	2.35906
43 	168   	889.166    	49399.6    	29.913   	3581.43    	9.1    	19 	3  	2.40624
44 	161   	576.452    	10288      	29.913   	1345.61    	9.07333	19 	3  	2.03502
45 	177   	748.25     	43935.8    	29.913   	2745.38    	9.12   	19 	3  	2.02952
46 	151   	615.618    	15311.6    	29.913   	1377.76    	9.00667	15 	3  	2.06881
