    	      	                          fitness                          	              size             
    	      	-----------------------------------------------------------	-------------------------------
gen 	nevals	avg        	max        	min       	std        	avg    	max	min	std    
0   	300   	2.08459e+23	6.25376e+25	119.857   	3.60459e+24	3.47333	7  	2  	1.38418
1   	152   	2.1936e+30 	6.58079e+32	129.143   	3.79308e+31	3.41   	9  	1  	1.49507
2   	165   	1.35046e+08	3.98782e+10	77.7143   	2.29868e+09	3.52333	9  	1  	1.58202
3   	159   	4.16917e+23	6.25376e+25	77.7143   	5.08912e+24	3.56   	10 	1  	1.71651
4   	185   	3.0703e+08 	3.98782e+10	77.7143   	3.29146e+09	3.54333	12 	1  	1.8004 
5   	156   	8.23466e+35	2.4704e+38 	77.7143   	1.42391e+37	3.33333	13 	1  	1.83182
6   	161   	4.65585e+06	6.13068e+08	77.7143   	5.00581e+07	3.26   	9  	1  	1.58295
7   	178   	1.42742e+08	3.98869e+10	77.7143   	2.29955e+09	3.85   	10 	1  	1.9046 
8   	180   	8.84866e+06	6.13054e+08	58.8571   	7.04257e+07	4.59   	10 	1  	1.90663
9   	158   	793499     	4.02465e+07	57.0656   	5.51862e+06	5.01333	11 	1  	1.82204
10  	164   	4.96447e+06	6.13188e+08	57.0656   	5.09858e+07	5.12333	13 	1  	1.63955
11  	171   	4.49779e+06	6.13129e+08	57.0656   	5.00213e+07	5.12   	13 	1  	1.59549
12  	170   	1.53591e+07	6.13188e+08	57.0656   	9.29289e+07	5.09   	13 	1  	1.67985
13  	159   	2.25194e+28	6.75583e+30	54.8571   	3.89397e+29	5.22   	12 	1  	1.59946
14  	154   	1.29369e+07	6.13351e+08	54.8571   	8.59034e+07	5.6    	13 	1  	1.70098
15  	182   	2.08475e+07	6.13529e+08	54.8571   	1.10087e+08	5.89   	11 	1  	1.50485
16  	153   	1.95192e+28	5.85577e+30	54.8571   	3.37519e+29	6.05   	12 	1  	1.43091
17  	144   	2.05768e+07	6.13426e+08	54.8571   	1.10079e+08	6.19   	9  	1  	1.15206
18  	164   	1.47201e+07	6.13426e+08	54.8571   	9.26177e+07	6.3    	11 	1  	1.36991
19  	168   	6.36079e+09	1.90022e+12	54.6345   	1.09525e+11	6.54667	12 	1  	1.60244
