    	      	                          fitness                          	              size             
    	      	-----------------------------------------------------------	-------------------------------
gen 	nevals	avg        	max        	min        	std        	avg    	max 	min 	std    
0   	300   	3628.91    	4881.14    	129.143    	494.643    	3.96667	11  	2   	1.96441
1   	164   	3333.99    	4753.06    	129.143    	514.315    	3.99333	15  	1   	2.11028
2   	166   	2948.66    	4621.5     	64.6248    	667.644    	4.32667	15  	1   	2.39025
3   	156   	2547.89    	10320.8    	64.6248    	1009.88    	4.81667	11  	1   	2.05338
4   	172   	3075.48    	201897     	64.6248    	11930.8    	5.49333	13  	1   	1.9723 
5   	165   	4960.33    	492821     	64.6248    	32788.8    	6.29333	15  	1   	1.80202
6   	157   	11644.7    	1.00512e+06	64.6248    	67192.7    	6.82333	12  	1   	1.51837
7   	179   	18908.5    	1.00512e+06	64.6248    	94730.9    	7.01667	11  	1   	1.30245
8   	168   	19846.8    	1.00512e+06	64.6248    	90814.9    	7.26   	13  	1   	1.3512 
9   	165   	9545.81    	201897     	64.6248    	36078.6    	7.35333	15  	1   	1.52812
10  	166   	7303.36    	201897     	37.3515    	25843      	7.4    	16  	1   	1.41421
11  	151   	6817.96    	280382     	37.3515    	27547.6    	7.38667	14  	1   	1.31548
12  	151   	6342.3     	201897     	37.3515    	22354      	7.43   	20  	1   	1.45548
13  	178   	5121.72    	136599     	37.3515    	13950.4    	7.47333	11  	1   	1.30994
14  	135   	4490.96    	136599     	37.3515    	14646.2    	7.65333	15  	1   	1.64311
15  	151   	3052.35    	91819      	37.3515    	9508.9     	8.20667	18  	1   	1.73895
16  	178   	3347.52    	91819      	37.3515    	9751.59    	8.63667	17  	1   	1.99449
17  	160   	5596.03    	1.11668e+06	37.3515    	64416.6    	9.27667	15  	1   	1.92184
18  	166   	2593.49    	144541     	37.3515    	9612.03    	9.58667	16  	1   	2.00894
19  	158   	1963.05    	33997      	37.3515    	4761.54    	9.81667	18  	1   	2.09993
20  	145   	2040.36    	61140.8    	37.3515    	5733.6     	9.78   	17  	1   	2.00456
21  	173   	2354.99    	136599     	37.3515    	9484.07    	9.55333	16  	1   	2.10725
22  	174   	2447.11    	81158.9    	37.3515    	7521.27    	9.56333	15  	1   	2.14771
23  	166   	2101.31    	68694.1    	37.3515    	5677.97    	9.56667	16  	1   	2.11161
24  	165   	2406.99    	48025.6    	37.3515    	5943.8     	9.61   	18  	1   	2.10347
25  	166   	2513.14    	61140.8    	37.3515    	6101.79    	9.87333	18  	1   	2.51077
26  	171   	2613.98    	91819      	24.5595    	8129.66    	9.84333	18  	1   	2.53616
27  	180   	5181.11    	653262     	24.5595    	38681      	9.83   	22  	1   	2.71927
28  	173   	7722.38    	1.53713e+06	23.82      	88754.1    	9.75333	19  	1   	2.4026 
29  	170   	2665.39    	132535     	18.0212    	10452.2    	9.73333	16  	1   	2.29105
30  	159   	2347.13    	48025.6    	18.0212    	6048.35    	10     	17  	1   	2.33095
31  	169   	4558.24    	500128     	18.0212    	29871.6    	10.5333	20  	1   	2.83588
