    	      	                          fitness                          	              size             
    	      	-----------------------------------------------------------	-------------------------------
gen 	nevals	avg        	max        	min        	std        	avg    	max	min	std    
0   	300   	3.81234e+30	1.1437e+33 	1253.79    	6.59215e+31	4.00667	11 	2  	1.96468
1   	161   	3243.52    	4402.14    	597.478    	658.692    	4.04667	11 	1  	2.0586 
2   	173   	2803.76    	4458.45    	597.478    	780.955    	4.43333	11 	1  	2.23731
3   	163   	2237.36    	5962.67    	551.723    	908.35     	4.32333	11 	1  	1.98799
4   	168   	2032.7     	117829     	316.583    	6760.84    	4.21   	11 	1  	1.87596
5   	158   	1943.05    	37707.9    	316.583    	3707.46    	4.54667	12 	1  	1.86579
6   	163   	2932.19    	201897     	129.143    	12376.7    	5.48333	12 	1  	1.72715
7   	177   	3138.29    	201897     	129.143    	12829.5    	6.12   	10 	1  	1.53805
8   	179   	2690.78    	201897     	78.8571    	12132.1    	6.17333	12 	1  	1.59686
9   	154   	6472.86    	1.00512e+06	78.8571    	59266.5    	6.50667	11 	1  	1.66432
10  	185   	10521.2    	2.28064e+06	64.6248    	131954     	6.89333	16 	1  	2.18066
11  	181   	3880.72    	201897     	64.6248    	15790.8    	7.39667	13 	1  	2.11487
12  	151   	3982.32    	492821     	64.6248    	29187.2    	7.75   	14 	2  	1.95128
13  	198   	4705.25    	201897     	64.6248    	16528.3    	8.05333	15 	1  	1.92106
14  	155   	4653.36    	280382     	64.6248    	21416.6    	8.46333	18 	1  	2.08374
15  	172   	9097       	921201     	64.6248    	62586.3    	8.67   	19 	1  	2.2063 
16  	165   	10316.5    	921201     	64.6248    	65409.5    	8.81   	16 	1  	2.22424
17  	137   	6093.15    	492821     	64.6248    	36958.9    	9.21333	16 	3  	2.04642
18  	161   	8082.86    	492821     	64.6248    	45831.1    	9.15667	16 	1  	2.35488
19  	160   	19299.5    	956133     	64.6248    	87130.5    	9.17   	20 	2  	2.41408
20  	164   	16450.4    	708455     	63.8571    	73327.1    	9.03667	22 	1  	2.51038
21  	172   	55685.4    	1.07498e+07	37.3515    	627008     	8.83667	18 	3  	2.46103
22  	168   	12450.4    	372052     	37.3515    	49086.3    	8.88   	17 	1  	2.59851
23  	180   	20481.2    	708455     	37.3515    	79619      	8.75333	18 	1  	2.76149
24  	166   	17995.4    	1.08149e+06	37.3515    	82241.4    	8.98   	19 	1  	3.1453 
25  	178   	13819.1    	708455     	37.3515    	62096.4    	9.43333	19 	1  	3.27295
26  	149   	10020.1    	1.08149e+06	37.3515    	71012.3    	9.71   	25 	1  	3.63124
27  	161   	15462.2    	1.25495e+06	37.3515    	85634.3    	10.16  	29 	1  	3.88086
28  	152   	11058.2    	356270     	37.3515    	48687.1    	10.5067	22 	2  	3.56791
29  	167   	12201.9    	356270     	37.3515    	47683.6    	10.83  	22 	1  	3.43915
30  	169   	19727.7    	1.25495e+06	37.3515    	102534     	10.9433	21 	3  	3.16967
31  	165   	8177.65    	280382     	37.3515    	36389.6    	10.7433	22 	3  	3.42113
32  	160   	12846.3    	811991     	37.3515    	61088.8    	10.5033	22 	1  	3.26854
