    	      	                          fitness                          	              size              
    	      	-----------------------------------------------------------	--------------------------------
gen 	nevals	avg        	max        	min       	std        	avg    	max	min	std     
0   	300   	6.63875e+30	1.33355e+33	1278.86   	8.55997e+31	3.78333	11 	2  	1.97899 
1   	158   	3372.5     	10288      	1278.86   	657.525    	4.09333	11 	2  	2.21765 
2   	162   	3020.38    	10152.7    	449.782   	806.15     	4.30667	11 	2  	2.29186 
3   	165   	2619.19    	10288      	449.782   	1090.47    	4.55667	11 	2  	2.55476 
4   	164   	1985.8     	10288      	129.143   	937.973    	5.39   	11 	3  	2.96725 
5   	162   	2605.86    	201897     	129.143   	11662.1    	6.83   	12 	3  	2.93163 
6   	157   	3339.35    	201897     	129.143   	16761.9    	6.68   	13 	3  	2.67038 
7   	165   	7247.9     	1.00512e+06	129.143   	61131.8    	6.50333	13 	3  	2.22935 
8   	171   	5683.15    	1.00512e+06	129.143   	59033.5    	6.15   	12 	3  	1.60026 
9   	180   	10595.2    	1.00512e+06	129.143   	84707.6    	6.45333	12 	3  	1.26009 
10  	144   	4923.55    	1.00512e+06	129.143   	59056.3    	6.8    	9  	3  	0.852447
11  	186   	1112.79    	16090.3    	129.143   	3613.45    	6.97333	9  	5  	0.692307
12  	142   	4438.58    	1.05544e+06	129.143   	60863.7    	7.01333	11 	5  	0.692692
13  	163   	517.698    	16090.3    	129.143   	2165.06    	7.02   	11 	5  	0.502925
14  	177   	4628.4     	1.05544e+06	129.143   	60874.7    	7.01333	11 	5  	0.730175
15  	169   	685.169    	16090.3    	129.143   	2720.79    	6.98667	9  	5  	0.541438
16  	162   	985.054    	16090.3    	129.143   	3295.47    	7      	9  	5  	0.61101 
17  	173   	1003.26    	16090.3    	129.143   	3357.29    	7      	9  	5  	0.653197
18  	161   	609.655    	16090.3    	129.143   	2413.59    	7      	9  	5  	0.432049
19  	184   	1152.91    	16090.3    	129.143   	3674.89    	7      	9  	5  	0.6733  
20  	158   	836.418    	16090.3    	129.143   	3065.22    	6.98667	9  	5  	0.588633
21  	182   	717.757    	16090.3    	129.143   	2725.64    	7      	9  	5  	0.489898
22  	178   	919.807    	16090.3    	129.143   	3242.27    	6.99333	9  	5  	0.599963
23  	168   	1290.09    	16090.3    	129.143   	3871.41    	6.99333	9  	5  	0.739339
24  	150   	1000.21    	16090.3    	129.143   	3357.44    	6.98667	9  	5  	0.632315
25  	174   	1124.64    	16090.3    	129.143   	3569.89    	7      	9  	5  	0.6733  
26  	158   	650.655    	16090.3    	129.143   	2572.06    	6.99333	9  	5  	0.529108
27  	176   	930.239    	16090.3    	129.143   	3167.67    	7      	9  	5  	0.588784
28  	166   	704.786    	16090.3    	129.143   	2729.96    	6.99333	9  	3  	0.529108
29  	167   	811.295    	16090.3    	129.143   	2912.96    	6.99333	9  	5  	0.577312
30  	171   	1060.51    	16090.3    	129.143   	3466.15    	7.00667	9  	5  	0.642875
31  	151   	888.199    	16090.3    	129.143   	3123.13    	6.99333	9  	5  	0.62179 
32  	149   	623.613    	16090.3    	129.143   	2498.96    	6.99333	9  	5  	0.476049
33  	156   	944.356    	16090.3    	129.143   	3243.54    	7      	9  	5  	0.588784
34  	167   	1027.24    	16090.3    	129.143   	3471       	7      	9  	5  	0.653197
35  	165   	676.196    	16090.3    	129.143   	2721.54    	7.00667	9  	5  	0.503278
36  	146   	575.177    	16090.3    	129.143   	2412.47    	7.01333	9  	5  	0.489716
37  	183   	942.011    	16090.3    	78.8571   	3251.18    	7.00667	9  	5  	0.642875
38  	149   	1142.11    	23228.6    	78.8571   	3760.32    	7.04   	11 	5  	0.7292  
39  	152   	1036       	17152      	78.8571   	3483.45    	7.06667	11 	5  	0.745356
40  	177   	936.277    	23228.6    	78.8571   	3337.18    	7.10667	11 	5  	0.775858
41  	174   	1237.91    	23228.6    	78.8571   	4145.58    	7.32   	11 	5  	1.03486 
42  	172   	1577.57    	24514.3    	68.5714   	4811.51    	7.72   	13 	5  	1.3121  
43  	176   	2198.47    	33212.6    	68.5714   	6180.24    	8.20667	13 	5  	1.58239 
44  	175   	2312.13    	33212.6    	68.5714   	6094.66    	8.78667	15 	5  	1.6915  
45  	179   	2702.91    	45020.6    	68.5714   	6906.23    	9.38667	15 	5  	1.84314 
46  	152   	2648.15    	33212.6    	68.5714   	6840.4     	9.85333	15 	5  	1.64676 
47  	165   	2870.4     	34762.3    	68.5714   	7709.12    	10.3133	15 	5  	1.74217 
48  	185   	3465.41    	86105.1    	68.5714   	9362.43    	10.64  	17 	5  	1.67444 
49  	144   	3492.68    	46834.3    	68.5714   	8931.38    	10.88  	17 	5  	1.54454 
50  	162   	2988.56    	44775.6    	68.5714   	8189.28    	10.9733	15 	7  	1.46945 
51  	174   	3699.65    	34762.3    	68.5714   	8929.62    	10.9933	15 	7  	1.47421 
52  	162   	3074.25    	86105.1    	68.5714   	8883.37    	10.9667	15 	7  	1.18275 
53  	169   	2824.12    	34762.3    	68.5714   	7659.09    	10.98  	15 	5  	1.40935 
54  	164   	2656.54    	34762.3    	68.5714   	7408.71    	10.9667	15 	7  	1.13676 
55  	160   	3418.1     	43246.9    	68.5714   	8626.21    	10.98  	17 	5  	1.38068 
56  	168   	3054.69    	34762.3    	68.5714   	7904.14    	11.0067	15 	5  	1.27015 
57  	167   	3092.83    	43246.9    	68.5714   	8367.43    	10.96  	15 	7  	1.41365 
58  	153   	2516.28    	34762.3    	68.5714   	7238.29    	11.0133	15 	7  	1.19993 
59  	158   	3459.22    	86105.1    	68.5714   	9491.58    	10.9933	15 	7  	1.27015 
60  	159   	3304.58    	44775.6    	68.5714   	8572.32    	11.0333	17 	7  	1.4091  
61  	158   	3178.33    	34762.3    	68.5714   	8299       	11.0133	15 	7  	1.38558 
62  	129   	2426.89    	34762.3    	68.5714   	7315       	11.0133	15 	7  	1.22195 
63  	160   	3019.3     	34762.3    	68.5714   	8089.63    	11.0267	15 	7  	1.25404 
64  	161   	2992.34    	34762.3    	68.5714   	7865.24    	11.02  	15 	7  	1.32146 
65  	176   	3259.47    	34762.3    	68.5714   	8206.93    	11.0267	17 	7  	1.37573 
66  	163   	3203.78    	34762.3    	68.5714   	8233.1     	11.0267	17 	7  	1.45119 
67  	163   	8098.77    	1.42254e+06	68.5714   	82214.6    	10.9867	15 	7  	1.50549 
68  	164   	3277.19    	33212.6    	68.5714   	8386.88    	10.96  	15 	7  	1.46005 
69  	144   	2862.66    	34762.3    	68.5714   	7795.79    	10.94  	15 	7  	1.21507 
70  	171   	4063.14    	118742     	68.5714   	11032.6    	10.9733	15 	7  	1.46945 
71  	168   	3446.41    	56335.1    	68.5714   	8715.92    	10.96  	15 	7  	1.3754  
72  	175   	3610.7     	34762.3    	68.5714   	8540.19    	10.9733	15 	7  	1.45119 
73  	164   	2917.83    	34762.3    	68.5714   	8165.17    	10.9333	15 	7  	1.34495 
74  	154   	2941.97    	62845.3    	68.5714   	8250.77    	10.9867	15 	7  	1.25425 
75  	175   	3187.38    	34762.3    	68.5714   	7947.68    	10.9933	15 	7  	1.27015 
76  	169   	3836.48    	86105.1    	68.5714   	9777.19    	10.9733	15 	7  	1.44197 
77  	170   	3975.18    	34762.3    	68.5714   	8911.64    	10.9667	15 	5  	1.52716 
78  	149   	2517.25    	118742     	68.5714   	9531.23    	11.02  	17 	7  	1.2273  
79  	149   	2694.34    	44775.6    	68.5714   	7932.63    	10.9933	15 	5  	1.40948 
80  	158   	3417.52    	44775.6    	68.5714   	8738.02    	10.98  	15 	7  	1.38068 
81  	190   	8549.58    	1.42254e+06	68.5714   	82236      	11.0733	15 	7  	1.56033 
82  	161   	3008.6     	34762.3    	68.5714   	8320.92    	11     	17 	3  	1.58325 
83  	176   	3709.8     	46834.3    	68.5714   	9136.55    	11.0667	17 	7  	1.59861 
84  	156   	3211.54    	86105.1    	68.5714   	10028.1    	11     	15 	5  	1.30639 
85  	171   	3342.85    	34762.3    	68.5714   	8382.32    	11.0333	15 	7  	1.4091  
86  	176   	3018.73    	34762.3    	68.5714   	8067.92    	11.0467	15 	7  	1.41815 
87  	172   	2705.22    	34762.3    	68.5714   	7374.17    	11.0533	17 	5  	1.34554 
88  	161   	3108.5     	86105.1    	68.5714   	9062.41    	11.0467	15 	7  	1.32079 
