    	      	                      fitness                      	              size              
    	      	---------------------------------------------------	--------------------------------
gen 	nevals	avg        	max        	min    	std        	avg    	max	min	std     
0   	300   	1.48468e+32	4.45405e+34	1278.86	2.56726e+33	3.78667	11 	2  	1.93765 
1   	167   	3340.73    	4621.5     	1278.86	578.7      	3.67333	11 	2  	1.73588 
2   	171   	2968.71    	6254.16    	597.478	744.321    	3.65   	11 	2  	1.60026 
3   	168   	2314.56    	7586.29    	406.879	820.617    	3.56667	9  	2  	1.32119 
4   	162   	1693.68    	3490.8     	406.879	593.307    	3.48   	9  	2  	1.21776 
5   	166   	1307.91    	2970.9     	406.879	353.987    	3.34   	7  	3  	0.968366
6   	156   	1194.56    	4458.45    	406.879	459.11     	3.57333	7  	3  	1.18517 
7   	174   	1567.16    	75817.5    	406.879	4585.09    	4.22   	9  	3  	1.56363 
8   	157   	1466.87    	37707.9    	406.879	3798.82    	4.81333	7  	3  	1.47597 
9   	167   	3033.12    	75817.5    	406.879	8961.8     	5.5    	9  	3  	1.45258 
10  	174   	4345.82    	201897     	406.879	15395.1    	6.02667	9  	3  	1.32135 
11  	159   	5173.34    	201897     	406.879	16098.1    	6.3    	9  	3  	1.27671 
12  	169   	4938.46    	75817.5    	406.879	12349.7    	6.48   	11 	3  	1.26343 
13  	148   	3478.73    	75817.5    	406.879	10672      	6.55333	9  	3  	1.13159 
14  	153   	3737.01    	56360.5    	406.879	9919.81    	6.62   	9  	3  	1.16716 
15  	180   	5341.54    	201897     	406.879	16368.1    	6.71333	11 	3  	1.2374  
16  	149   	3873.59    	56360.5    	406.879	9731.72    	6.66   	11 	3  	1.20183 
17  	142   	3800.98    	56360.5    	406.879	9825.92    	6.73333	9  	3  	1.14698 
18  	159   	3237.15    	37707.9    	406.879	7878.78    	6.62667	11 	3  	1.59811 
19  	160   	2925.69    	75817.5    	406.879	7869.71    	6.66   	11 	3  	1.5762  
20  	176   	2643.13    	37707.9    	406.879	5695.13    	6.57333	11 	3  	1.60975 
21  	174   	2475.33    	33912      	406.879	5544.43    	6.64   	11 	3  	1.49791 
22  	168   	2811.54    	33912      	406.879	5573.05    	6.72667	11 	3  	1.52051 
23  	152   	2200.7     	37707.9    	406.879	4951.85    	6.63333	11 	3  	1.44645 
24  	162   	2950.71    	33912      	406.879	6021.56    	6.68667	11 	3  	1.63966 
25  	162   	2485.29    	33912      	406.879	5220.45    	6.77333	11 	3  	1.48838 
26  	161   	3655.9     	238605     	406.879	14958.9    	6.65333	13 	3  	1.77759 
27  	144   	2176.79    	28966      	406.879	4591.34    	6.64667	11 	3  	1.55622 
28  	157   	2365.4     	43222.5    	406.879	5239.43    	6.7    	11 	3  	1.39642 
29  	171   	2982.94    	33912      	406.879	5814.15    	6.78   	11 	3  	1.4849  
30  	186   	2655.19    	37707.9    	406.879	5844.33    	6.6    	11 	3  	1.54056 
31  	163   	2471.81    	37707.9    	406.879	5175.68    	6.66   	11 	3  	1.48921 
32  	169   	2494.69    	37707.9    	406.879	5460.88    	6.64667	11 	3  	1.5303  
33  	159   	2162.69    	33912      	406.879	4758.8     	6.62   	11 	3  	1.53262 
34  	169   	2892.27    	37707.9    	406.879	5731.45    	6.71333	11 	3  	1.55279 
35  	173   	2617.5     	37707.9    	406.879	5314.93    	6.60667	11 	3  	1.54659 
36  	170   	2851.92    	33912      	406.879	5384.84    	6.61333	11 	3  	1.6362  
37  	149   	2752.88    	69850      	406.879	6567.36    	6.6    	11 	3  	1.46059 
38  	154   	2848.51    	33912      	406.879	6197.51    	6.70667	11 	3  	1.50354 
39  	176   	2649.91    	33912      	406.879	5225.94    	6.62667	11 	3  	1.62295 
40  	175   	2872.25    	48535.5    	406.879	6529.26    	6.64   	11 	3  	1.63414 
41  	182   	2803.78    	37707.9    	406.879	6116.58    	6.58667	11 	3  	1.63783 
42  	182   	3439.81    	37707.9    	406.879	6005.96    	6.7    	11 	3  	1.69804 
43  	172   	2568.1     	33912      	406.879	5191.98    	6.58667	11 	3  	1.52834 
44  	164   	2806.3     	33912      	406.879	5503.84    	6.61333	13 	3  	1.71576 
45  	172   	2596.76    	67878.9    	406.879	6253.86    	6.66   	13 	3  	1.47119 
46  	156   	2988.8     	33912      	406.879	6236.87    	6.63333	11 	3  	1.65294 
47  	174   	2825.67    	33912      	406.879	5983.26    	6.54   	11 	3  	1.74023 
48  	145   	2601.1     	48535.5    	406.879	5934.77    	6.74667	11 	3  	1.42916 
49  	183   	2683.37    	39252.8    	406.879	5442.5     	6.7    	13 	3  	1.55027 
50  	155   	2665.24    	33912      	406.879	5348.1     	6.74667	11 	3  	1.45688 
51  	163   	2605.71    	33912      	406.879	5218.38    	6.72   	11 	3  	1.53241 
52  	160   	2174.8     	33912      	406.879	4995.91    	6.71333	11 	3  	1.49147 
53  	173   	3014.85    	33912      	406.879	6223.91    	6.68   	11 	3  	1.65054 
54  	163   	2795.02    	33912      	406.879	5748.57    	6.65333	11 	3  	1.60411 
55  	189   	3174.94    	48535.5    	406.879	6630.41    	6.7    	11 	3  	1.65025 
56  	196   	2862.84    	33912      	406.879	5507.91    	6.59333	11 	3  	1.61904 
57  	162   	2644.43    	28966      	406.879	5213.49    	6.55333	11 	3  	1.63314 
