   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min       	std        	avg    	max	min	std    
0  	300   	3635.11    	6864       	68.5714   	527.945    	3.84   	11 	2  	1.89413
1  	173   	3351.04    	5590.21    	1004.57   	520.531    	3.75667	11 	1  	1.81589
2  	167   	2.1936e+30 	6.58079e+32	1004.57   	3.79308e+31	4      	12 	1  	1.75499
3  	182   	2559.72    	4753.06    	449.782   	774.599    	4.37667	13 	1  	1.76676
4  	173   	2241.52    	22973.9    	129.143   	1714.9     	4.76667	14 	1  	1.9542 
5  	162   	8444.06    	1.00512e+06	129.143   	81667.5    	5.59333	15 	2  	1.72664
6  	164   	51544.9    	1.07498e+07	78.8571   	636655     	6.26667	15 	1  	1.8172 
7  	161   	9360.13    	1.00512e+06	78.8571   	64223.7    	6.58   	15 	1  	1.77678
8  	174   	10437.9    	1.00512e+06	78.8571   	84346.8    	7.01333	14 	1  	1.84205
9  	181   	4175.87    	225449     	78.8571   	23966.5    	7.12   	14 	1  	1.56597
10 	150   	1704.76    	225449     	78.8571   	13320.5    	7.11667	13 	1  	1.30501
11 	156   	1424.28    	50046.9    	78.8571   	4714.54    	7.36333	13 	1  	1.56354
12 	177   	1236.11    	23228.6    	68.5714   	3951.59    	7.86333	17 	1  	1.66873
13 	147   	986.858    	25840      	68.5714   	3693.4     	8.52333	19 	1  	1.84828
14 	145   	761.041    	24514.3    	68.5714   	3388.72    	9.26333	18 	1  	1.86922
15 	182   	1014.26    	33212.6    	68.5714   	4307.9     	9.48333	18 	1  	2.12988
16 	189   	817.468    	33212.6    	68.5714   	3859.41    	10.1533	18 	1  	1.99077
17 	171   	819.262    	25840      	68.5714   	3719.36    	10.6633	16 	1  	1.88591
18 	151   	1150.73    	34762.3    	68.5714   	4433.38    	10.79  	17 	1  	2.21793
19 	169   	1368.68    	34762.3    	65.0706   	5318.74    	10.8533	18 	5  	2.11467
20 	153   	548.751    	34762.3    	65.0706   	3117.58    	11.21  	20 	1  	2.31068
21 	162   	962.204    	34762.3    	65.0706   	4309.54    	11.48  	22 	1  	2.78261
22 	180   	1303.33    	121627     	36.7983   	7916.67    	12.1133	24 	1  	3.40986
23 	145   	1376.45    	26468.8    	36.7983   	4918.87    	12.8867	26 	1  	3.92095
24 	179   	1804.06    	121627     	36.7983   	8353.35    	13.7167	25 	1  	4.26572
25 	165   	2745.87    	122987     	36.7983   	14017.1    	14.5067	30 	2  	4.65152
26 	167   	1914.13    	118971     	30.346    	8695.32    	15.6767	26 	1  	4.30799
27 	182   	3115.19    	145674     	30.346    	14073.2    	15.8433	29 	3  	4.12053
28 	160   	3620.2     	126838     	30.346    	13473.5    	15.6533	28 	1  	4.32047
29 	166   	2888.15    	118742     	30.346    	12162.4    	16.05  	28 	1  	4.11268
30 	169   	3110.85    	122563     	30.346    	12770.4    	16.6467	38 	7  	4.3006 
31 	159   	4474.19    	148846     	30.346    	17768.9    	16.2733	34 	2  	4.66247
32 	144   	1960.12    	118742     	17.3296   	8831.24    	16.87  	35 	1  	4.45119
33 	186   	3459.75    	124735     	17.3296   	12316.2    	17.1033	36 	7  	4.78811
34 	186   	4234.36    	125269     	17.3296   	14291.3    	17.0367	41 	1  	4.738  
35 	160   	4460.09    	146161     	13.3032   	17909.6    	17.29  	34 	1  	4.8579 
36 	179   	5395.02    	166236     	17.3296   	19181.7    	18.0667	48 	2  	5.92528
37 	173   	4227.11    	112292     	17.3296   	13904.4    	19.1   	35 	1  	5.7076 
38 	171   	5169.54    	170007     	17.3296   	19855.7    	20.0733	41 	1  	6.15532
39 	158   	2889.01    	129757     	16.7898   	11074      	20.8767	48 	1  	5.65934
40 	167   	3685.77    	145792     	17.3296   	16704.5    	21.9933	60 	1  	6.32297
41 	154   	6078.84    	170056     	16.827    	21535.4    	22.8533	45 	1  	5.80332
42 	138   	5484.34    	295385     	16.827    	24686.8    	23.1133	44 	3  	6.18712
43 	157   	4279.51    	171821     	16.827    	19593.9    	23.5467	44 	1  	6.33518
44 	180   	6596.97    	149564     	16.7006   	21012.5    	24.3833	45 	1  	6.51483
45 	152   	5004.26    	170520     	16.7006   	21702.4    	24.63  	44 	8  	6.4005 
46 	146   	5572.79    	148369     	13.3032   	21147.6    	24.8867	45 	2  	6.4146 
47 	161   	4621.77    	176745     	7.11377   	19751.1    	25.3867	48 	8  	6.04349
48 	160   	6096.13    	191270     	7.11377   	25138.3    	26.0667	52 	8  	7.3459 
49 	168   	5740.91    	188046     	7.11377   	23525.1    	26.7067	51 	1  	7.11529
50 	166   	4209.18    	161366     	5.00576   	18727      	26.8967	56 	1  	7.58503
51 	160   	4469.63    	156500     	5.00576   	20042.3    	27.8667	61 	1  	7.44685
52 	161   	3023.5     	167334     	5.00576   	13941.1    	28.0933	53 	1  	7.26989
53 	153   	2066.28    	141526     	5.08229   	12340.6    	28.8267	56 	4  	6.77962
54 	144   	5576.84    	160341     	5.08229   	24609.3    	29.1867	56 	7  	7.41655
55 	145   	3026.3     	160775     	5.08229   	16419.5    	29.81  	66 	7  	8.13965
56 	169   	4947.36    	205929     	4.43405   	21323.7    	30.04  	52 	9  	7.37508
57 	169   	4012.47    	351422     	5.08229   	25613.6    	29.6733	64 	1  	8.33186
58 	129   	3018.14    	129123     	5.08229   	15508.2    	30.4133	52 	6  	7.46028
59 	178   	4079.14    	164065     	5.08229   	18025.4    	30.8967	75 	2  	8.5615 
60 	162   	3933.1     	267038     	5.08229   	22543.8    	30.8733	52 	7  	6.89618
61 	160   	4683.88    	157257     	5.08229   	20118.2    	30.97  	57 	1  	7.27524
62 	173   	4637.43    	241622     	5.01225   	23190.3    	31.1267	55 	3  	7.68401
63 	164   	5360.74    	184996     	5.08229   	22899.9    	31.4867	60 	7  	7.56151
64 	164   	6414.96    	187401     	3.87735   	27126      	30.8333	53 	1  	8.59877
65 	159   	2737.8     	160362     	4.00688   	14288.6    	31.1633	60 	6  	7.9689 
66 	150   	2047.12    	139266     	3.80887   	11670.1    	31.5467	60 	1  	6.29665
67 	161   	5345.92    	207720     	3.54123   	25507.7    	32.1033	74 	10 	8.11989
68 	160   	6631       	242063     	3.54123   	28155.3    	32.78  	67 	1  	9.2861 
69 	160   	4680.34    	163694     	3.54123   	22855.8    	33.8133	65 	9  	9.79346
70 	178   	3552.55    	162464     	3.54123   	15881.3    	34.88  	68 	1  	10.2498
71 	169   	2470.49    	183724     	3.54123   	13552.8    	37.3433	73 	3  	10.8225
72 	160   	1857.32    	142770     	3.43919   	12057.4    	38.7033	84 	1  	11.2583
73 	155   	3042.83    	163743     	3.43919   	16947.9    	41.9933	75 	1  	10.9209
74 	165   	2.1936e+30 	6.58079e+32	3.43919   	3.79308e+31	45.1367	84 	9  	9.21184
75 	165   	970.433    	165402     	3.43919   	9718.8     	45.5267	93 	7  	9.52904
76 	161   	766.713    	125642     	3.43919   	7610.72    	46.6867	84 	8  	7.96838
77 	174   	511.943    	26940.5    	3.43919   	2403.7     	47.1867	79 	9  	9.01805
78 	183   	2641.29    	267095     	3.43919   	19019      	47.3733	91 	7  	11.6728
79 	164   	953.227    	165143     	3.43919   	9789.92    	47.3633	80 	1  	10.4482
80 	148   	1537.41    	142522     	3.43919   	11150.1    	49.1233	117	7  	10.841 
81 	153   	668.084    	35036.6    	3.43919   	3526.87    	50.44  	102	7  	11.049 
82 	153   	639.542    	45942.9    	3.43919   	3956.23    	51.8967	92 	1  	11.0767
83 	171   	1167.77    	145876     	3.43919   	9362       	54.8633	106	3  	12.8972
84 	158   	684.668    	114783     	3.43919   	6731       	56.6167	93 	3  	11.9815
85 	146   	230.734    	16915.8    	3.43919   	1154.06    	58.22  	110	7  	12.503 
86 	169   	350.46     	47427.6    	3.43919   	2797.66    	58.2833	108	7  	11.7727
87 	178   	783.276    	43518.1    	3.43919   	4301.01    	57.93  	108	1  	12.7632
88 	181   	362.894    	35621.6    	3.43919   	2354.51    	59.17  	95 	1  	11.4578
89 	160   	305.309    	35925.9    	3.43919   	2155.42    	59.97  	98 	8  	12.7359
90 	164   	211.313    	17670.2    	3.43919   	1179.73    	59.8433	115	3  	12.0695
91 	149   	240.51     	28000.5    	3.43919   	1689.25    	60.8433	107	8  	12.7577
92 	174   	212.972    	4667.78    	3.43919   	733.875    	59.6833	88 	1  	13.6197
93 	170   	174.737    	3534.66    	3.43919   	604.788    	59.73  	109	7  	13.3575
94 	164   	619.639    	47427.6    	3.43919   	4027.06    	59.5133	86 	7  	13.343 
95 	157   	2.1936e+30 	6.58079e+32	3.43919   	3.79308e+31	60.8833	86 	13 	10.4436
96 	157   	352.185    	35925.9    	3.43919   	2951.16    	61.52  	96 	3  	10.7236
97 	162   	185.28     	3534.66    	3.43919   	580.95     	60.4767	105	7  	12.5625
98 	155   	319.989    	25339.4    	3.43919   	1871.08    	60.27  	93 	7  	11.0549
99 	175   	581.338    	35765.1    	3.43919   	3372.28    	60.6733	119	3  	12.2632
100	171   	303.089    	36368.3    	3.43919   	2185.67    	60.5467	117	7  	11.5621
101	180   	191.931    	5830.15    	3.43919   	670.447    	60.4267	107	8  	12.1504
102	153   	341.797    	48161.5    	3.43919   	2841.39    	60.0667	87 	7  	12.0256
103	161   	252.676    	36368.3    	2.7334    	2141.12    	61.53  	96 	16 	10.5588
104	191   	206.473    	6551.04    	2.7334    	696.374    	60.6667	105	1  	11.6868
105	173   	361.256    	26060.6    	2.7334    	2380.24    	62.36  	110	7  	11.2136
106	170   	178.011    	3844.6     	2.7334    	573.104    	61.74  	97 	1  	11.8135
107	171   	1226.55    	145832     	2.7334    	11080.7    	61.0167	110	1  	14.3844
108	174   	163.239    	6609.46    	2.7334    	615.747    	61.7967	107	8  	12.7515
109	135   	149.963    	3534.66    	2.35314   	526.639    	59.3467	87 	7  	11.8617
110	169   	555.193    	122653     	2.35314   	7080.86    	57.65  	106	5  	12.9262
111	148   	248.596    	18371.2    	2.35314   	1233.14    	55.1533	88 	4  	11.7778
112	158   	565.503    	36472.3    	2.34596   	3396.24    	55.3433	75 	1  	9.62802
113	177   	377.84     	47667      	1.79698   	2830.14    	54.6233	80 	6  	12.5691
114	150   	802.872    	127501     	1.79698   	7702.34    	57.59  	94 	8  	12.6381
115	167   	756.834    	145633     	1.7127    	8639.21    	59.3367	93 	1  	11.9626
116	149   	164.742    	3450.84    	1.7127    	583.894    	60.6667	88 	9  	11.2598
117	158   	435.67     	36446.9    	1.7127    	2841.89    	58.3633	130	8  	12.4899
118	171   	4.25176e+30	1.27553e+33	1.7127    	7.35198e+31	54.3167	113	7  	11.4596
119	136   	132.707    	4058.08    	1.1831    	457.63     	54.3967	106	8  	11.8121
120	173   	609.577    	35547      	1.1831    	2829.98    	55.8567	108	7  	16.285 
121	170   	611.876    	105581     	1.1831    	6206.21    	58.5333	118	6  	17.9329
122	160   	95.034     	3675.29    	1.1831    	410.755    	65.17  	122	1  	20.0485
123	164   	373.707    	35424.2    	1.0618    	2600       	75.6333	133	6  	24.1429
124	172   	200.95     	29002.6    	1.1831    	1719.97    	89.16  	131	31 	19.0912
125	166   	102.16     	3534.66    	1.1831    	433.953    	96.8067	137	8  	17.2268
126	184   	172.369    	25476      	0.990348  	1528.07    	101.087	133	1  	15.5919
127	154   	72.7026    	4302.86    	0.990348  	406.523    	103.253	133	3  	14.6675
128	160   	74.8245    	3533.44    	0.990348  	375.503    	103.99 	139	8  	13.8339
129	175   	92.0562    	3745.56    	0.707982  	415.156    	104.533	137	9  	14.7102
130	143   	93.616     	3364       	0.990348  	448.125    	106.797	133	14 	12.0048
131	169   	135.317    	18327.5    	0.990348  	1121.56    	106.363	134	3  	15.5048
132	160   	93.5723    	6409.51    	0.837835  	497.639    	107.217	172	9  	14.3221
133	171   	58.4558    	3534.66    	0.803601  	319.382    	106.333	155	15 	13.3672
134	147   	133.862    	18399.9    	0.803601  	1138.77    	103.707	132	15 	11.8449
135	171   	65.305     	4059.8     	0.803601  	334.919    	102.75 	132	7  	11.6802
136	170   	202.39     	29127.2    	0.803601  	1738.19    	103.767	191	10 	13.3234
137	162   	64.6546    	3487.1     	0.803601  	332.949    	103.783	130	3  	12.2181
138	170   	71.1015    	6107.84    	0.803601  	472.442    	105.147	131	8  	10.474 
139	177   	1.87257e+31	5.6177e+33 	0.803601  	3.23797e+32	106.38 	152	16 	10.2435
140	163   	123.736    	5993.3     	0.803601  	535.909    	106.187	137	10 	11.0845
141	160   	235.255    	35866.4    	0.803601  	2128       	105.663	161	7  	15.307 
142	155   	172.375    	26307.3    	0.803601  	1568.94    	106.32 	128	3  	12.3274
143	180   	84.5066    	4258.9     	0.693315  	451.554    	105.38 	135	8  	14.4177
144	159   	110.967    	7042.35    	0.693315  	584.471    	105.343	131	8  	13.3593
145	161   	2.1936e+30 	6.58079e+32	0.693315  	3.79308e+31	106.473	135	8  	10.2373
146	150   	104.658    	3534.66    	0.693315  	463.019    	106.813	139	7  	12.1089
147	164   	129.317    	4058.08    	0.693315  	554.76     	105.46 	140	7  	16.8824
148	175   	145.507    	7042.35    	0.693315  	678.026    	105.853	134	1  	15.08  
149	162   	96.5518    	3534.66    	0.693315  	459.999    	107.683	135	1  	15.0991
150	163   	158.791    	18366.4    	0.693315  	1138.67    	109.893	136	8  	15.6957
151	164   	138.152    	18683.3    	0.693315  	1176.8     	114.287	140	11 	12.8941
152	167   	79.7484    	3266.29    	0.693315  	377.013    	116.243	152	7  	11.9459
153	166   	93.3033    	3266.29    	0.62644   	455.243    	117.213	137	1  	14.7678
154	190   	151.324    	26047      	0.62644   	1528.28    	118.53 	148	40 	10.4423
155	168   	121.136    	11472      	0.62644   	769.128    	118.527	144	7  	13.8423
156	175   	145.096    	18632.4    	0.62644   	1177       	118.837	138	7  	12.575 
157	160   	101.402    	4058.08    	0.590057  	520.095    	119.333	147	7  	15.871 
158	180   	129.413    	6131.31    	0.590057  	678.906    	120.52 	153	9  	15.7307
159	142   	114.148    	3533.44    	0.590057  	510.22     	121.727	140	1  	18.4094
160	162   	107.335    	6041.23    	0.590057  	581.299    	123.623	146	1  	17.899 
161	161   	87.6556    	6022.77    	0.537083  	518.924    	124.947	153	1  	13.5692
162	178   	85.0166    	4621.5     	0.590057  	466.1      	123.607	154	5  	17.489 
163	180   	81.9261    	3534.66    	0.447079  	419.927    	123.003	156	10 	13.75  
164	167   	113.894    	3490.8     	0.447079  	467.43     	118.767	149	1  	15.8663
165	160   	265.567    	53365.1    	0.447079  	3103.11    	117.17 	162	7  	16.4489
166	176   	86.6915    	3869.64    	0.447079  	460.969    	119.497	151	1  	10.8589
167	150   	74.3838    	3051.25    	0.447079  	341.636    	119.233	146	7  	11.6074
168	161   	81.6587    	3534.66    	0.447079  	411.668    	119.11 	153	7  	16.6577
169	144   	57.3367    	3813.81    	0.447079  	351.555    	120.38 	147	9  	14.435 
170	160   	109.876    	3533.44    	0.447079  	507.762    	119.593	151	7  	17.949 
171	152   	116.561    	10191      	0.447079  	713.94     	117.133	158	1  	17.5078
172	157   	102.883    	3575.86    	0.447079  	524.307    	116.56 	141	1  	17.8138
173	151   	124.638    	18687.5    	0.447079  	1134.15    	116.007	141	6  	15.067 
174	162   	2.1936e+30 	6.58079e+32	0.396722  	3.79308e+31	115.917	139	1  	13.9827
175	180   	92.9646    	6174.09    	0.396722  	599.492    	116.807	151	3  	10.7958
176	180   	138.128    	4621.5     	0.396722  	575.982    	115.023	154	9  	16.642 
177	169   	156.017    	18356.7    	0.396722  	1154.86    	118.277	153	77 	7.9875 
178	163   	53.4294    	3534.66    	0.205269  	326.342    	117.833	148	10 	11.2023
179	153   	120.844    	15796      	0.205269  	985.295    	118.5  	148	1  	12.3977
180	158   	83.6399    	3536.91    	0.205269  	419.119    	118.18 	152	7  	16.0304
181	161   	82.4139    	3765.8     	0.205269  	386.151    	121.333	151	9  	12.5921
182	165   	174.421    	35441.4    	0.205269  	2068.38    	122.44 	151	9  	12.5446
183	168   	160.194    	18356.7    	0.205269  	1169.59    	120.333	156	1  	18.1704
184	154   	63.0152    	3675.29    	0.205269  	344.899    	121.403	175	1  	13.9748
185	155   	47.8543    	3534.66    	0.205269  	281.593    	122.027	147	9  	13.0639
186	182   	76.8902    	6661.13    	0.157365  	502.14     	120.763	140	4  	14.7255
187	163   	36.4062    	3049.5     	0.205269  	252.311    	122.283	142	10 	10.2861
188	138   	73.1421    	3534.66    	0.189406  	388.306    	122.007	163	4  	13.4109
189	174   	69.3684    	6081.07    	0.188396  	463.986    	121.5  	164	8  	13.708 
190	183   	109.552    	6664.7     	0.188396  	562.537    	122.167	152	7  	13.9166
191	176   	112.775    	4058.08    	0.188396  	539.886    	121.687	145	3  	15.9077
192	184   	120.48     	6063.89    	0.188396  	566.146    	123.687	161	11 	12.5532
193	143   	51.8978    	3718.26    	0.188396  	347.571    	124.95 	141	8  	10.2597
194	173   	31.8645    	2706.66    	0.147534  	241.86     	126.167	148	87 	8.7097 
195	155   	121.236    	3583.3     	0.147534  	525.143    	125.027	152	12 	16.2673
196	164   	77.7299    	3764.57    	0.138419  	408.839    	125.157	172	2  	15.5608
197	167   	61.095     	2694.15    	0.138419  	297.67     	125.097	155	14 	12.5518
198	173   	80.0933    	2989.12    	0.138419  	397.042    	123.99 	150	15 	12.537 
199	166   	65.6557    	4058.08    	0.138419  	408.721    	124.1  	153	1  	15.6426
200	157   	50.0766    	3533.44    	0.138419  	304.725    	125.99 	147	15 	10.545 
201	163   	59.6945    	3684.13    	0.138419  	365.226    	126.337	143	11 	12.7521
202	193   	117.463    	3534.66    	0.138419  	536.332    	124.267	154	7  	20.2946
203	160   	119.334    	16483.2    	0.138419  	1014.66    	128.003	142	7  	14.9572
204	185   	121.426    	6620.54    	0.126444  	629.025    	129.677	165	8  	12.4386
205	166   	39.6745    	4287.27    	0.126444  	322.846    	131.603	163	89 	8.04483
206	168   	76.5847    	6042.38    	0.126444  	487.69     	130.77 	155	7  	12.2032
207	159   	29.2978    	3689.31    	0.126444  	231.491    	131.513	174	2  	12.1445
208	173   	73.335     	3051.25    	0.126444  	355.542    	130.283	165	9  	13.6691
209	160   	67.5696    	3123.33    	0.126444  	368.061    	131.263	174	11 	13.755 
210	145   	66.7129    	6025.67    	0.126444  	443.133    	131.257	162	9  	13.673 
211	143   	99.8867    	4173.62    	0.126444  	486.709    	133.233	159	9  	11.8132
212	165   	67.4233    	4837.44    	0.126444  	416.793    	132.897	182	7  	14.996 
213	163   	96.7812    	11476.9    	0.121358  	726.201    	134.493	183	7  	15.4737
214	142   	62.7347    	4131.31    	0.121358  	388.039    	136.92 	173	8  	12.3286
215	155   	123.212    	6043.01    	0.0896915 	687.51     	136.67 	170	8  	13.6539
216	160   	97.9292    	6108.96    	0.121358  	554.125    	136.887	155	1  	14.0103
217	175   	122.461    	3074.09    	0.121358  	482.007    	136.28 	199	9  	15.0291
218	173   	61.0371    	3072.58    	0.121358  	323.799    	136.273	216	20 	14.1828
219	169   	82.8063    	3049.5     	0.121358  	384.652    	135.24 	175	9  	16.3122
220	162   	72.0241    	3534.66    	0.120761  	389.524    	135.233	171	7  	16.222 
221	170   	94.1809    	3447.09    	0.115089  	449.204    	133.867	153	7  	15.6398
222	163   	117.821    	6145.89    	0.120761  	580.44     	133.893	179	1  	16.4356
223	197   	68.5689    	6036.26    	0.120761  	445.766    	133.803	162	9  	15.1153
224	171   	75.5606    	3680.68    	0.115003  	424.895    	135.177	170	7  	14.0826
225	160   	53.961     	3490.8     	0.115003  	342.002    	136.25 	171	1  	13.2326
226	162   	99.7333    	4058.08    	0.115003  	453.681    	137.277	178	8  	16.0918
227	176   	70.018     	4294.61    	0.115003  	359.022    	138.467	188	25 	14.7541
228	166   	78.1685    	3675.29    	0.115003  	380.782    	140.763	233	1  	17.2552
229	176   	87.3676    	4131.31    	0.115003  	444.827    	140.97 	173	7  	17.137 
230	140   	107.271    	3624.23    	0.115003  	502.897    	139.573	173	7  	19.7752
231	149   	54240.7    	1.62569e+07	0.115003  	937027     	139.57 	163	20 	12.5589
232	165   	77.7923    	3472.8     	0.114849  	390.635    	137.82 	174	11 	12.5074
233	149   	73.3793    	3487.1     	0.0756222 	398.865    	137.25 	174	8  	11.3743
234	151   	52.3933    	3123.01    	0.114849  	306.672    	135.877	157	11 	11.9433
235	147   	146.22     	29030      	0.0756222 	1704.77    	136.19 	174	7  	12.6462
236	167   	64.6246    	4278.16    	0.0756222 	407.295    	136.773	176	11 	11.2716
237	163   	78.9698    	6617.07    	0.0756222 	516.738    	135.463	150	7  	16.2219
238	142   	34.1503    	3054.01    	0.0756222 	256.631    	138.187	149	11 	12.678 
239	170   	53.7105    	3051.25    	0.0756222 	303.291    	138.663	221	7  	16.0319
240	177   	80.8812    	3765.8     	0.0756222 	419.877    	137.893	156	9  	18.1198
241	156   	84.6589    	4109.47    	0.0727858 	455.712    	138.813	169	9  	14.5148
242	169   	91.2164    	3822.78    	0.0727858 	487.709    	138.687	175	5  	17.9754
243	157   	105.238    	6654.97    	0.0727858 	559.769    	138.083	162	7  	17.4162
244	172   	2.1936e+30 	6.58079e+32	0.0752198 	3.79308e+31	138.327	153	7  	16.6237
245	163   	99.4937    	4517.93    	0.0658814 	499.714    	139.083	169	6  	14.1137
246	157   	100.744    	4058.08    	0.0658814 	500.667    	137.367	167	8  	18.1058
247	148   	85.3365    	3447.09    	0.0658814 	469.334    	137.803	156	1  	15.203 
248	158   	37.3692    	3051.25    	0.0658814 	257.138    	136.95 	174	7  	12.368 
249	155   	121.447    	17503.7    	0.065479  	1058.46    	135.697	180	13 	14.7824
250	161   	76.8685    	3132.81    	0.065479  	392.707    	137.913	201	9  	14.3404
251	170   	40.2698    	2928.13    	0.065479  	247.246    	138.643	170	64 	11.3312
252	175   	102.791    	4058.08    	0.065479  	484.601    	137.363	276	7  	21.4068
253	154   	197.364    	18337.3    	0.0612961 	1512.35    	138.107	190	9  	14.9449
254	147   	28.0621    	2970.7     	0.0612961 	236.279    	138.93 	166	14 	11.4954
255	160   	90.6495    	4058.08    	0.0612961 	458.147    	136.027	192	8  	19.3478
256	176   	90.872     	4305.58    	0.0612961 	462.763    	135.753	160	7  	15.938 
257	160   	104.088    	3534.66    	0.0612961 	470.799    	133.753	159	3  	19.9506
258	182   	81.0426    	3039.29    	0.0612961 	353.29     	135.643	160	9  	13.0941
259	186   	120.276    	26253.8    	0.0512355 	1523.45    	137.35 	189	64 	11.9889
260	168   	102.856    	6754.11    	0.0495285 	569.112    	137.343	159	3  	16.2072
261	155   	62.5068    	3469.18    	0.0495285 	368.362    	140.36 	169	10 	11.731 
262	151   	65.3618    	6768.71    	0.0495285 	461.432    	140.237	192	61 	11.3267
263	166   	71.7191    	4129.68    	0.0495285 	398.627    	140.263	231	7  	16.026 
264	164   	178.272    	26253.8    	0.0495285 	1573.69    	139.147	186	11 	17.1036
265	157   	86.0929    	4058.08    	0.0495285 	463.404    	138.937	170	5  	15.9135
266	150   	30.5767    	2684.29    	0.0495285 	203.011    	139.41 	157	98 	7.80653
267	163   	110.886    	4129.77    	0.0495285 	545.004    	135.813	165	9  	17.4898
268	160   	87.5606    	6031.57    	0.0495285 	513.418    	134.873	163	10 	12.9508
269	156   	49.857     	3141.28    	0.0495285 	287.955    	134.44 	151	99 	6.85418
270	147   	79.0884    	3533.44    	0.0495285 	442.998    	133.137	177	8  	16.1123
271	167   	65.0458    	4130.64    	0.0495285 	424.689    	133.89 	160	1  	12.6121
