   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min     	std        	avg    	max	min	std    
0  	300   	520027     	1e+06      	-26.2353	499572     	3.95333	10 	2  	1.85593
1  	157   	1.53789e+16	4.61366e+18	-26.2353	2.65925e+17	3.85333	13 	1  	1.9558 
2  	161   	133324     	1e+06      	-26.2353	339938     	3.85   	14 	1  	2.34823
3  	170   	119986     	1e+06      	-26.2353	324967     	4.50333	13 	1  	2.75862
4  	169   	86648.3    	1e+06      	-26.2353	281352     	5.72   	12 	1  	3.12436
5  	167   	69979      	1e+06      	-26.2353	255153     	7.62333	14 	1  	3.34686
6  	182   	69980.7    	1e+06      	-26.2353	255152     	8.87   	17 	2  	2.74829
7  	173   	56644.1    	1e+06      	-26.2353	231210     	9.47667	18 	2  	2.60566
8  	161   	46642.9    	1e+06      	-26.2353	210929     	9.74333	19 	2  	2.64023
9  	166   	53309.6    	1e+06      	-26.2353	224703     	9.76   	19 	1  	2.52238
10 	166   	39978.2    	1e+06      	-26.2353	195964     	10.2733	26 	2  	2.72494
11 	166   	7.18027e+16	2.15408e+19	-26.2353	1.24158e+18	10.27  	39 	1  	3.38089
12 	164   	33309      	1e+06      	-26.2353	179510     	10.53  	39 	1  	3.34302
13 	146   	43309.3    	1e+06      	-26.2353	203611     	11.02  	39 	4  	3.80696
14 	148   	46642.4    	1e+06      	-26.2353	210929     	11.1467	39 	4  	4.43229
15 	174   	43310      	1e+06      	-26.2353	203611     	11.2967	39 	1  	4.54848
16 	176   	23309.4    	1e+06      	-26.2353	150964     	11.1567	39 	1  	3.70479
17 	159   	43309.7    	1e+06      	-26.2353	203611     	11     	22 	1  	3.2414 
18 	167   	49976.3    	1e+06      	-26.2353	217950     	11.0667	23 	1  	3.39738
19 	152   	29975.3    	1e+06      	-26.2353	170592     	11.5   	24 	6  	3.188  
20 	157   	1.43605e+17	2.15408e+19	-26.2353	1.75293e+18	11.34  	22 	3  	3.32932
21 	184   	39975.7    	1e+06      	-26.2353	195964     	11.65  	25 	1  	3.54319
22 	145   	33309      	1e+06      	-26.2353	179510     	11.82  	25 	4  	3.52433
23 	180   	59978.5    	1e+06      	-26.2353	237492     	11.6333	24 	1  	3.72454
24 	160   	29978.1    	1e+06      	-26.2353	170591     	11.9733	24 	1  	4.05454
25 	164   	66643.2    	1e+06      	-26.2353	249450     	12.3533	29 	1  	4.44768
26 	141   	36642.6    	1e+06      	-26.2353	187947     	12.9   	36 	1  	4.5074 
27 	142   	43309.9    	1e+06      	-26.2353	203611     	12.3467	41 	1  	5.06555
28 	167   	59977.1    	1e+06      	-26.2353	237493     	12.95  	41 	1  	5.35358
29 	133   	46642.5    	1e+06      	-26.2353	210929     	13.6033	41 	1  	5.42396
30 	149   	16642.1    	1e+06      	-26.2353	128022     	14.0433	41 	1  	5.5439 
31 	175   	46642.7    	1e+06      	-26.2353	210929     	14.6   	41 	1  	6.12971
32 	166   	33312.8    	1e+06      	-26.2353	179509     	14     	42 	1  	5.83381
