   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min	std        	avg    	max	min	std    
0  	300   	5.50037e+06	1.62506e+09	1  	9.36628e+07	3.19667	7  	2  	1.24552
1  	144   	12529.6    	3.22032e+06	1  	187798     	3.14333	8  	1  	1.25809
2  	180   	68110.6    	3.22493e+06	1  	452324     	3.02333	11 	1  	1.34268
3  	169   	3.16678e+18	9.50035e+20	1  	5.47588e+19	3.14   	11 	1  	1.41435
4  	155   	32549.6    	3.23034e+06	1  	320740     	3.24333	8  	1  	1.23185
5  	164   	95.3435    	2308       	1  	372.99     	3.50333	8  	1  	1.21792
6  	170   	54198.9    	3.23034e+06	0  	412782     	3.75   	11 	1  	1.18638
7  	188   	10786      	3.23034e+06	0  	186192     	3.78   	10 	1  	1.22947
8  	165   	11152      	3.23888e+06	0  	186762     	3.86333	10 	1  	1.22936
9  	183   	21620      	3.25346e+06	0  	263818     	3.73667	11 	1  	1.23854
10 	173   	14.6861    	2363.5     	0  	136.711    	3.87   	13 	1  	1.43983
11 	152   	43783      	3.25049e+06	0  	371734     	4.15333	9  	1  	1.40588
12 	151   	1.78933e+06	5.36797e+08	0  	3.09403e+07	4.47667	10 	1  	1.53714
13 	188   	9.18546    	117.113    	0  	16.8382    	5.09   	13 	1  	1.78192
14 	156   	7.45291    	145.135    	0  	15.6045    	5.43667	13 	1  	1.80536
15 	175   	10775.2    	3.23034e+06	0  	186193     	5.59333	11 	1  	1.67171
16 	179   	7.43273    	183.996    	0  	19.527     	5.63333	11 	1  	1.54236
17 	154   	5.43841e+06	1.62506e+09	0  	9.36654e+07	5.63667	11 	1  	1.5952 
18 	141   	1.80003e+06	5.36755e+08	0  	3.09378e+07	5.53333	11 	1  	1.38644
19 	174   	17.1431    	2421       	0  	142.323    	5.62667	10 	2  	1.38587
20 	170   	16.9676    	2363.5     	0  	137.033    	5.72   	12 	1  	1.64568
21 	156   	1729.21    	513378     	0  	29589.8    	5.61333	14 	2  	1.62803
22 	148   	1.82401e+23	5.47204e+25	0  	3.15401e+24	5.61   	12 	1  	1.3606 
23 	160   	23798.1    	3.24584e+06	0  	266490     	5.59667	12 	1  	1.57077
24 	161   	1.82401e+23	5.47204e+25	0  	3.15401e+24	5.61   	12 	1  	1.62826
25 	166   	10757.4    	3.22032e+06	0  	185614     	5.45   	11 	1  	1.56232
26 	143   	21549.4    	3.23256e+06	0  	262966     	5.46333	10 	1  	1.48615
27 	178   	410311     	1.16638e+08	0  	6.72675e+06	5.47667	10 	2  	1.49537
28 	182   	6.16564e+30	1.84969e+33	0  	1.06614e+32	5.68   	11 	1  	1.60133
29 	139   	236.606    	64276.9    	0  	3713.07    	5.71   	13 	1  	1.606  
30 	169   	21566      	3.23181e+06	0  	262934     	5.78   	14 	1  	1.7354 
31 	165   	5.54232e+09	1.66269e+12	0  	9.58354e+10	5.74667	11 	1  	1.58193
32 	160   	18.6393    	1983       	0  	159.482    	5.79333	11 	1  	1.6342 
33 	178   	10819      	3.24336e+06	0  	186942     	5.78333	14 	1  	1.71942
34 	165   	14.5723    	2308       	0  	133.258    	5.78667	12 	1  	1.66968
