   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg         	max         	min      	std        	avg    	max	min	std    
0  	300   	9.64934e+73 	1.4474e+76  	2.875    	1.17785e+75	3.25667	7  	2  	1.31052
1  	164   	1.10214e+15 	3.30641e+17 	2.875    	1.90577e+16	3.30667	10 	1  	1.3364 
2  	171   	1.41784e+35 	4.25353e+37 	2.875    	2.45168e+36	3.38   	10 	1  	1.38646
3  	169   	4.82467e+73 	1.4474e+76  	2.625    	8.34263e+74	3.39333	9  	1  	1.38514
4  	169   	4.29341e+176	1.28802e+179	2.625    	inf        	3.61   	11 	1  	1.40875
5  	147   	1.37498e+06 	2.06239e+08 	2.14726  	1.67831e+07	3.73333	10 	1  	1.36951
6  	175   	1.10148e+15 	3.30444e+17 	2.14726  	1.90464e+16	3.84   	8  	1  	1.34947
7  	174   	1.37524e+06 	2.0633e+08  	2.14726  	1.67868e+07	3.82333	8  	1  	1.28015
8  	192   	81.9043     	9879.38     	2.625    	769.083    	3.94   	11 	1  	1.37468
9  	158   	696.78      	205104      	2.625    	11821.2    	4.31   	11 	1  	1.43082
10 	136   	11.2579     	110.125     	2.59671  	17.5814    	4.6    	10 	1  	1.21106
11 	186   	1.10148e+15 	3.30444e+17 	2.02584  	1.90464e+16	4.82667	9  	1  	1.15324
12 	165   	1.41784e+35 	4.25353e+37 	2.02584  	2.45168e+36	5.03667	10 	1  	1.23639
13 	170   	97.98       	11530.6     	2.02584  	911.275    	5.14333	12 	1  	1.34764
14 	180   	50.7135     	9062.12     	2.02584  	523.239    	5.04   	10 	1  	1.20488
15 	162   	2.54966e+06 	2.06341e+08 	2.02584  	2.21384e+07	5.21333	11 	1  	1.35935
16 	180   	1.37506e+06 	2.06262e+08 	2.02584  	1.67841e+07	5.29667	10 	1  	1.31225
17 	181   	688614      	2.06568e+08 	1.85903  	1.19063e+07	5.49   	12 	1  	1.4617 
18 	159   	1.00249e+47 	3.00747e+49 	1.85903  	1.73347e+48	5.62   	11 	1  	1.43838
19 	142   	5.66757e+30 	1.70027e+33 	1.85903  	9.80015e+31	6.08333	12 	1  	1.6441 
20 	181   	6.69439e+11 	2.00831e+14 	1.85903  	1.15757e+13	6.33667	12 	3  	1.52861
21 	163   	7.36186e+68 	2.20856e+71 	1.85903  	1.27299e+70	6.38   	13 	2  	1.55207
22 	187   	5.71241e+11 	1.71372e+14 	1.85903  	9.87767e+12	6.39333	13 	1  	1.59331
23 	181   	1.37615e+06 	2.0642e+08  	1.85903  	1.67979e+07	6.55667	13 	1  	1.71468
24 	145   	2840.44     	847958      	1.85903  	48874.4    	6.94333	15 	1  	1.81111
25 	165   	14.2103     	240.375     	1.76052  	28.9302    	7.43333	15 	1  	1.97287
26 	182   	5.41893e+06 	1.62566e+09 	1.76052  	9.37007e+07	7.74667	16 	1  	2.16391
27 	172   	688149      	2.0642e+08  	1.62464  	1.18978e+07	7.92333	20 	2  	2.42022
28 	160   	24.1505     	3483.25     	1.62464  	201.316    	8.00333	20 	2  	2.19165
29 	151   	4.82467e+73 	1.4474e+76  	1.62464  	8.34263e+74	8.42   	21 	1  	2.71482
30 	179   	1.37574e+06 	2.06387e+08 	1.51341  	1.67928e+07	9.06667	21 	3  	3.10412
31 	153   	18.0788     	1017.97     	1.51341  	64.6012    	9.6    	22 	1  	3.48903
32 	165   	9.64934e+73 	1.4474e+76  	0.797845 	1.17785e+75	10.5533	22 	1  	3.76127
33 	159   	687515      	2.06239e+08 	0.797845 	1.18874e+07	12.5733	28 	1  	4.41112
34 	154   	99.1867     	9798.55     	0.797845 	809.44     	14.2   	29 	3  	4.37188
35 	162   	687837      	2.06331e+08 	0.797845 	1.18927e+07	15.2533	31 	4  	4.39498
36 	165   	19.5121     	1017.97     	0.797845 	95.958     	15.2467	30 	3  	4.33887
37 	161   	1.00249e+47 	3.00747e+49 	0.797845 	1.73347e+48	15.66  	28 	2  	4.14541
38 	143   	3.84596e+71 	1.15379e+74 	0.797845 	6.65029e+72	16.1167	34 	3  	4.68648
39 	157   	7.36186e+68 	2.20856e+71 	0.797845 	1.27299e+70	16.9367	32 	4  	4.51656
40 	150   	9.64934e+73 	1.4474e+76  	0.794255 	1.17785e+75	16.7833	30 	1  	4.63354
41 	171   	58.8516     	12296.5     	0.673043 	713.681    	16.8867	38 	1  	5.36164
42 	181   	4.82467e+73 	1.4474e+76  	0.660748 	8.34263e+74	17.7467	36 	2  	5.78295
43 	153   	4.86313e+73 	1.4474e+76  	0.482294 	8.34268e+74	18.4   	35 	1  	5.4827 
44 	175   	9.72626e+73 	1.4474e+76  	0.444432 	1.17783e+75	18.32  	38 	1  	5.90234
45 	171   	4.90159e+73 	1.4474e+76  	0.444432 	8.34272e+74	18.56  	39 	5  	6.61007
46 	172   	9.64934e+73 	1.4474e+76  	0.43488  	1.17785e+75	19.7967	49 	3  	7.17463
47 	153   	3.84596e+71 	1.15379e+74 	0.335984 	6.65029e+72	20.7833	48 	4  	7.56503
48 	158   	4.82467e+73 	1.4474e+76  	0.401547 	8.34263e+74	22.1333	51 	1  	7.2885 
49 	149   	4.86313e+73 	1.4474e+76  	0.401547 	8.34268e+74	23.2733	40 	1  	6.31654
50 	188   	3.84596e+71 	1.15379e+74 	0.444432 	6.65029e+72	24.2833	48 	4  	7.16773
51 	178   	1.92298e+72 	1.15379e+74 	0.232574 	1.47707e+73	25.2367	50 	3  	7.01099
52 	178   	6.70846e+174	2.01254e+177	0.350899 	inf        	25.5033	56 	1  	6.46555
53 	171   	240.108     	14487.1     	0.302039 	1770.3     	25.71  	51 	1  	6.77883
54 	152   	1.15379e+72 	1.15379e+74 	0.302039 	1.14801e+73	26.21  	50 	3  	6.28219
55 	162   	6.3246e+73  	1.4474e+76  	0.306985 	8.67159e+74	26.1867	60 	3  	7.12637
56 	164   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	26.39  	51 	3  	6.60842
57 	158   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	26.65  	51 	3  	7.73741
58 	162   	1.53839e+72 	1.15379e+74 	0.302039 	1.32337e+73	27.87  	56 	6  	8.00124
59 	174   	3.84596e+71 	1.15379e+74 	0.302039 	6.65029e+72	28.68  	56 	2  	8.38476
60 	160   	3.84596e+71 	1.15379e+74 	0.302039 	6.65029e+72	30.2867	66 	3  	9.90713
61 	147   	687902      	2.06342e+08 	0.302039 	1.18933e+07	32.64  	69 	1  	11.3427
62 	180   	3.84596e+71 	1.15379e+74 	0.302039 	6.65029e+72	34.3967	75 	1  	12.8145
63 	162   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	34.97  	62 	4  	11.5306
64 	177   	1.15379e+72 	1.15379e+74 	0.302039 	1.14801e+73	36.91  	73 	1  	12.0555
65 	168   	1.15379e+72 	1.15379e+74 	0.302039 	1.14801e+73	37.0833	73 	2  	12.8925
66 	181   	3.84596e+71 	1.15379e+74 	0.302039 	6.65029e+72	36.5133	86 	2  	12.5919
67 	170   	1.15453e+72 	1.15379e+74 	0.302039 	1.148e+73  	36.2667	89 	2  	12.5839
68 	179   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	35.3633	75 	4  	11.3973
69 	173   	7.69193e+71 	1.15379e+74 	0.275899 	9.38919e+72	34.2233	71 	4  	10.3293
70 	161   	3.84596e+71 	1.15379e+74 	0.302039 	6.65029e+72	32.9467	74 	2  	10.8248
71 	177   	3.84596e+71 	1.15379e+74 	0.22266  	6.65029e+72	31.8167	72 	7  	8.93848
72 	167   	143.969     	13546.8     	0.22266  	1281.7     	31.5667	72 	2  	8.80032
73 	175   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	30.3733	69 	4  	8.77196
74 	178   	1.15379e+72 	1.15379e+74 	0.302039 	1.14801e+73	30.7467	69 	15 	9.00643
75 	176   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	30.7067	69 	6  	8.73082
76 	164   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	30.3367	69 	3  	8.93215
77 	170   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	30.0067	76 	4  	8.78066
78 	185   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	29.6333	73 	2  	8.60187
79 	140   	3.84596e+71 	1.15379e+74 	0.302039 	6.65029e+72	29.2267	67 	4  	7.06366
80 	168   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	29.5333	69 	4  	8.4964 
81 	164   	7.69193e+71 	1.15379e+74 	0.302039 	9.38919e+72	29.8933	67 	12 	8.4136 
82 	165   	94.1649     	13459.7     	0.302039 	1094.93    	30.33  	78 	3  	9.05397
83 	172   	7.69193e+71 	1.15379e+74 	0.268777 	9.38919e+72	30.6867	78 	15 	9.88004
84 	161   	98.9854     	14524.1     	0.268777 	1142.6     	31.83  	78 	1  	11.5589
85 	175   	6.2087      	526.661     	0.268777 	32.7927    	34.57  	78 	15 	14.7358
86 	198   	7.69193e+71 	1.15379e+74 	0.226923 	9.38919e+72	38.52  	85 	4  	18.4838
87 	169   	6.70846e+174	2.01254e+177	0.226923 	inf        	40.5567	87 	5  	19.4256
88 	164   	10810.9     	3.22741e+06 	0.226923 	186023     	43.54  	85 	5  	20.2868
89 	157   	4.69641e+71 	1.15379e+74 	0.226923 	6.80614e+72	47.1333	88 	5  	20.5947
90 	145   	3.84596e+71 	1.15379e+74 	0.226923 	6.65029e+72	48.8033	103	2  	21.2086
91 	154   	52.0761     	14494.7     	0.226923 	835.383    	52.1833	90 	15 	20.6755
92 	158   	99.8285     	13483.7     	0.226923 	1098.08    	51.8533	107	1  	21.4197
93 	146   	3.84596e+71 	1.15379e+74 	0.226923 	6.65029e+72	50.82  	103	3  	20.2445
94 	171   	85.8468     	14540.8     	0.226923 	1019.56    	46.98  	96 	13 	20.0138
95 	169   	1.15379e+72 	1.15379e+74 	0.226923 	1.14801e+73	42.03  	103	1  	19.2855
96 	147   	20.5242     	5288.92     	0.212579 	304.885    	39.5367	93 	13 	19.1047
97 	185   	1.15379e+72 	1.15379e+74 	0.212579 	1.14801e+73	34.4667	86 	11 	16.4123
98 	167   	4.90159e+73 	1.4474e+76  	0.212579 	8.34272e+74	31.9333	90 	1  	14.889 
