   	      	                      fitness                       	              size              
   	      	----------------------------------------------------	--------------------------------
gen	nevals	avg        	max         	min	std         	avg    	max	min	std     
0  	300   	4.82467e+73	1.4474e+76  	0  	8.34263e+74 	3.21333	7  	2  	1.35197 
1  	160   	1.5417e+122	4.62509e+124	0  	2.66584e+123	3.11333	7  	1  	1.2756  
2  	171   	1.32047e+26	3.96141e+28 	0  	2.28331e+27 	3.15667	9  	1  	1.30593 
3  	154   	7.33469e+09	2.2004e+12  	0  	1.26828e+11 	3.1    	10 	1  	1.28193 
4  	159   	2.74504e+11	8.06885e+13 	0  	4.65145e+12 	2.87   	11 	1  	1.37832 
5  	165   	32341.9    	5.56649e+06 	0  	372542      	2.54   	8  	1  	0.94255 
6  	178   	1.67548e+30	5.02643e+32 	0  	2.89717e+31 	2.49   	11 	1  	1.05983 
7  	156   	71.8002    	2338        	0  	223.161     	2.44333	8  	1  	0.938148
8  	163   	696.856    	190379      	0  	10971       	2.46333	8  	1  	0.857509
9  	169   	1.32047e+26	3.96141e+28 	0  	2.28331e+27 	2.42333	8  	1  	0.790014
10 	173   	72.1012    	5260.5      	0  	382.851     	2.39667	8  	1  	0.778453
11 	180   	13876.2    	3.17338e+06 	0  	190634      	2.46   	8  	1  	0.891665
12 	157   	66.6304    	2338        	0  	274.638     	2.41   	7  	1  	0.758441
13 	161   	6.2821e+06 	1.72474e+09 	0  	9.97947e+07 	2.5    	8  	1  	0.918332
14 	153   	6346.26    	942804      	0  	76717.8     	2.47333	8  	1  	0.888419
15 	179   	3.88951e+30	1.16685e+33 	0  	6.72559e+31 	2.44333	7  	1  	0.864169
16 	152   	6362.01    	942804      	0  	76716.7     	2.43333	7  	1  	0.871142
17 	146   	2.22258e+29	6.66773e+31 	0  	3.8432e+30  	2.41667	7  	1  	0.826472
18 	180   	57.1281    	2338        	0  	207.682     	2.4    	8  	1  	0.757188
19 	170   	9477.73    	942804      	0  	93802.9     	2.39667	8  	1  	0.778453
20 	156   	83.3813    	2747.5      	0  	296.687     	2.45   	8  	1  	0.833167
21 	181   	7.33468e+09	2.2004e+12  	0  	1.26828e+11 	2.43667	8  	1  	0.828244
22 	166   	44.7707    	884.625     	0  	153.999     	2.39333	7  	1  	0.807438
23 	170   	10619.7    	3.17338e+06 	0  	182907      	2.39333	7  	1  	0.807438
24 	164   	515.28     	138912      	0  	8006.12     	2.42   	7  	1  	0.82276 
25 	166   	2.68962e+11	8.06885e+13 	0  	4.65078e+12 	2.40667	8  	1  	0.891416
26 	163   	60.1537    	2338        	0  	208.183     	2.35333	8  	1  	0.708394
27 	169   	5.37923e+11	8.06885e+13 	0  	6.56619e+12 	2.36667	7  	1  	0.815816
28 	156   	6.45655e+14	1.93697e+17 	0  	1.11644e+16 	2.35333	7  	1  	0.813525
29 	163   	37.046     	1372.97     	0  	151.255     	2.3    	8  	1  	0.728011
30 	162   	75.5801    	5260.5      	0  	392.69      	2.29333	8  	1  	0.83304 
31 	164   	506.224    	138912      	0  	8005.54     	2.26   	8  	1  	0.734212
32 	160   	525031     	1.57489e+08 	0  	9.07747e+06 	2.3    	8  	1  	0.797914
33 	185   	5.37923e+11	8.06885e+13 	0  	6.56619e+12 	2.27667	8  	1  	0.688081
34 	158   	70.0662    	2338        	0  	218.667     	2.30667	6  	1  	0.743386
