    	      	                          fitness                          	              size             
    	      	-----------------------------------------------------------	-------------------------------
gen 	nevals	avg        	max        	min        	std        	avg    	max	min	std    
0   	300   	977473     	1.00231e+06	867596     	11024.9    	3.81667	11 	2  	1.99409
1   	159   	970558     	1.08217e+06	867596     	16543.9    	4.25667	12 	1  	2.23848
2   	169   	962816     	1.01288e+06	867596     	18772      	4.84667	15 	1  	2.66642
3   	186   	953803     	1.98416e+06	552061     	74071.5    	5.75   	18 	1  	3.07151
4   	156   	926142     	1.36972e+06	616771     	75497.7    	6.28   	18 	1  	2.98579
5   	164   	880779     	2.60142e+06	296041     	161396     	6.85667	16 	1  	2.41856
6   	167   	2.58217e+06	4.33658e+08	288059     	2.5094e+07 	7.15333	20 	1  	2.31297
7   	164   	5.93101e+06	4.33658e+08	288059     	4.27372e+07	7.68   	20 	1  	2.50684
8   	157   	3.61813e+07	5.00452e+09	288059     	3.8979e+08 	7.91667	22 	1  	2.86293
9   	175   	1.30742e+07	5.27351e+08	288059     	6.74109e+07	8.68667	23 	1  	3.47301
10  	192   	3.8262e+08 	4.99846e+10	288059     	4.08944e+09	8.79   	27 	2  	3.97902
11  	166   	1.31466e+08	4.97531e+09	288059     	7.52779e+08	8.75333	24 	1  	4.40293
12  	180   	1.32208e+08	8.49635e+09	288059     	8.92381e+08	8.50333	24 	1  	4.66512
13  	175   	2.00494e+09	5.62793e+11	288059     	3.24412e+10	9.57667	32 	1  	6.03027
14  	168   	1.7073e+08 	5.07014e+09	288059     	9.01089e+08	10.59  	34 	1  	7.11678
15  	180   	1.61659e+08	5.9904e+09 	288059     	8.8009e+08 	13.5533	44 	1  	8.60042
16  	168   	1.91352e+09	5.62793e+11	288059     	3.24391e+10	16.6233	49 	1  	9.12477
17  	158   	2.10057e+09	5.62793e+11	288059     	3.24651e+10	19.9167	60 	1  	9.56921
18  	173   	2.0856e+09 	5.72156e+11	288059     	3.29971e+10	21.8667	60 	1  	9.05035
19  	174   	1.95271e+09	5.61811e+11	288059     	3.23846e+10	23.31  	60 	2  	9.88031
20  	147   	2.06278e+08	5.0284e+10 	288059     	2.93115e+09	25.11  	70 	3  	10.8805
21  	155   	3.8948e+09 	5.62793e+11	288059     	4.57955e+10	25.9   	74 	1  	12.2386
22  	154   	2.6569e+08 	5.0284e+10 	275704     	2.98295e+09	26.7833	70 	2  	11.3594
23  	172   	4.14057e+09	6.73809e+11	275704     	5.05186e+10	27.5767	79 	2  	12.7905
24  	170   	1.93773e+09	5.62793e+11	275704     	3.24407e+10	27.22  	66 	1  	11.9969
25  	146   	8.19966e+07	6.09803e+09	275704     	6.93357e+08	27.69  	66 	1  	12.6418
26  	181   	5.76045e+09	5.73051e+11	275704     	5.63346e+10	28.48  	76 	1  	12.8318
27  	164   	2.26385e+11	6.34591e+13	275044     	3.65815e+12	27.7333	75 	2  	13.0011
28  	153   	7.59156e+09	5.62793e+11	275044     	6.45183e+10	28.67  	66 	1  	11.8839
29  	150   	2.81537e+10	5.5575e+12 	275044     	3.28127e+11	29.6933	100	3  	12.8998
