     	      	          fitness          	              size              
     	      	---------------------------	--------------------------------
gen  	nevals	avg	max	min    	std	avg    	max	min	std     
0    	500   	inf	inf	183832 	nan	3.398  	10 	2  	1.49786 
1    	279   	inf	inf	183832 	nan	3.086  	12 	1  	1.4278  
2    	256   	inf	inf	183832 	nan	3      	11 	1  	1.37113 
3    	273   	inf	inf	183832 	nan	2.986  	9  	1  	1.41768 
4    	278   	inf	inf	183832 	nan	2.776  	9  	1  	1.38341 
5    	262   	inf	inf	183832 	nan	2.328  	13 	1  	1.10653 
6    	275   	inf	inf	183832 	nan	2.118  	7  	1  	0.60998 
7    	254   	inf	inf	183832 	nan	2.102  	8  	1  	0.638432
8    	276   	inf	inf	183832 	nan	2.064  	6  	1  	0.481564
9    	262   	inf	inf	183832 	nan	2.152  	9  	1  	0.729997
10   	300   	inf	inf	183832 	nan	2.14   	9  	1  	0.753923
11   	255   	inf	inf	183832 	nan	2.112  	8  	1  	0.647654
12   	270   	inf	inf	183832 	nan	2.116  	8  	1  	0.671226
13   	260   	inf	inf	183832 	nan	2.112  	8  	1  	0.668922
14   	272   	inf	inf	183832 	nan	2.124  	9  	1  	0.727065
15   	263   	inf	inf	183832 	nan	2.186  	10 	1  	0.876016
16   	275   	inf	inf	183832 	nan	2.154  	8  	1  	0.719919
17   	272   	inf	inf	183832 	nan	2.114  	8  	1  	0.664081
18   	276   	inf	inf	183832 	nan	2.132  	9  	1  	0.659224
19   	279   	inf	inf	183832 	nan	2.082  	8  	1  	0.606033
20   	286   	inf	inf	183832 	nan	2.1    	8  	1  	0.611555
21   	265   	inf	inf	183832 	nan	2.114  	7  	1  	0.684839
22   	289   	inf	inf	183832 	nan	2.166  	8  	1  	0.806501
23   	289   	inf	inf	183832 	nan	2.168  	10 	1  	0.8098  
24   	266   	inf	inf	183832 	nan	2.238  	10 	1  	0.953602
25   	300   	inf	inf	183832 	nan	2.266  	9  	1  	0.905121
26   	280   	inf	inf	183832 	nan	2.32   	10 	1  	1.04384 
27   	282   	inf	inf	183832 	nan	2.274  	7  	1  	0.928937
28   	269   	inf	inf	183832 	nan	2.276  	11 	1  	1.03336 
29   	286   	inf	inf	183832 	nan	2.364  	7  	1  	1.11333 
30   	281   	inf	inf	183832 	nan	2.424  	11 	1  	1.23621 
31   	263   	inf	inf	183832 	nan	2.376  	7  	1  	1.1201  
32   	292   	inf	inf	183832 	nan	2.452  	12 	1  	1.26162 
33   	274   	inf	inf	183832 	nan	2.412  	10 	1  	1.17229 
34   	282   	inf	inf	183832 	nan	2.446  	10 	1  	1.3263  
35   	301   	inf	inf	183832 	nan	2.398  	10 	1  	1.20482 
36   	250   	inf	inf	183832 	nan	2.382  	10 	1  	1.18156 
37   	264   	inf	inf	183832 	nan	2.376  	9  	1  	1.10753 
38   	267   	inf	inf	183832 	nan	2.388  	11 	1  	1.18214 
39   	265   	inf	inf	183832 	nan	2.442  	12 	1  	1.28321 
