     	      	                          fitness                          	              size             
     	      	-----------------------------------------------------------	-------------------------------
gen  	nevals	avg        	max        	min        	std        	avg    	max 	min 	std    
0    	300   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.00333	12  	2   	2.00748
1    	152   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.1    	12  	1   	2.04532
2    	155   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.17667	12  	1   	2.15069
3    	187   	4.86118e+37	4.86118e+37	4.86118e+37	9.44473e+21	4.6    	14  	1   	2.40693
4    	149   	4.86115e+37	4.86118e+37	4.85297e+37	4.73252e+33	4.79   	13  	1   	2.44388
5    	173   	4.86112e+37	4.86118e+37	4.85297e+37	6.68159e+33	4.93667	13  	1   	2.50586
6    	161   	4.86107e+37	4.86118e+37	4.85297e+37	9.41743e+33	5.10333	13  	1   	2.61903
7    	142   	4.86101e+37	4.86118e+37	4.85297e+37	1.09713e+34	4.99   	12  	1   	2.52783
8    	157   	4.86079e+37	4.86118e+37	4.85297e+37	1.69762e+34	4.91333	13  	1   	2.61263
9    	192   	4.85944e+37	4.8694e+37 	4.63078e+37	1.36492e+35	5.2    	17  	1   	2.55343
10   	166   	4.85796e+37	4.95452e+37	4.63078e+37	2.12141e+35	5.33333	17  	1   	2.55386
11   	175   	1.27025e+61	3.81074e+63	4.63078e+37	2.19646e+62	5.55   	15  	1   	2.33827
12   	164   	3.85309e+62	5.77963e+64	4.63078e+37	4.70329e+63	5.8    	13  	1   	2.09125
13   	158   	4.04829e+62	5.77963e+64	4.63078e+37	4.71379e+63	5.42667	13  	1   	1.83429
14   	154   	1.92654e+62	5.77963e+64	4.63078e+37	3.3313e+63 	5.06333	11  	1   	1.63483
15   	175   	1.92654e+62	5.77963e+64	4.39583e+37	3.3313e+63 	5.02333	14  	1   	1.74245
16   	173   	4.80272e+37	4.86549e+37	3.99556e+37	8.43624e+35	5.72333	14  	1   	2.14634
17   	143   	4.76097e+37	4.88709e+37	3.60324e+37	1.42769e+36	6.29   	14  	1   	1.97127
18   	178   	4.72009e+37	5.01828e+37	3.08292e+37	2.41438e+36	7.12333	16  	1   	2.36955
19   	178   	4.6619e+37 	5.85476e+37	3.08292e+37	3.30669e+36	7.58   	18  	1   	2.46514
20   	171   	4.55563e+37	4.88709e+37	1.29045e+37	4.6482e+36 	8.47333	22  	1   	3.0533 
21   	166   	7.18545e+37	3.14116e+39	1.29045e+37	2.19504e+38	9.34333	24  	1   	3.38705
22   	176   	1.14582e+38	1.44149e+40	1.09398e+37	8.58114e+38	10.1267	25  	1   	3.53609
23   	162   	1.1131e+39 	3.01223e+41	1.09398e+37	1.73657e+40	10.6067	27  	1   	3.81732
24   	145   	3.43855e+38	5.29353e+40	1.00639e+37	3.32699e+39	11.2333	28  	1   	3.93686
25   	159   	1.05097e+39	5.29353e+40	1.00639e+37	6.44139e+39	11.7333	27  	1   	3.77124
26   	175   	1.36861e+39	2.13246e+41	1.00639e+37	1.31263e+40	12.1867	39  	4   	4.0823 
27   	176   	2.07886e+40	2.99003e+42	1.07619e+37	2.08449e+41	12.3633	29  	2   	4.52673
28   	147   	5.74673e+39	7.9727e+41 	1.09398e+37	6.23751e+40	12.7   	23  	2   	3.85703
29   	178   	7.97631e+39	9.51419e+41	1.09398e+37	7.6132e+40 	13.15  	25  	2   	3.91163
30   	177   	1.18432e+41	2.82946e+43	1.09398e+37	1.64658e+42	13.4667	26  	2   	4.4776 
31   	158   	1.13208e+40	1.87695e+42	1.09398e+37	1.19448e+41	13.96  	27  	1   	4.10021
32   	160   	1.48163e+41	2.83194e+43	1.09398e+37	1.67405e+42	14.6167	32  	3   	4.48884
33   	172   	1.53029e+67	4.59087e+69	9.82791e+36	2.64612e+68	14.9333	31  	1   	4.5529 
34   	163   	6.31216e+40	2.87886e+42	9.82791e+36	4.0472e+41 	15.6167	27  	1   	4.47471
35   	161   	1.51033e+68	4.531e+70  	9.82791e+36	2.61161e+69	15.99  	28  	1   	4.6386 
36   	173   	1.66796e+68	4.531e+70  	9.82791e+36	2.62409e+69	16.5633	30  	1   	4.88324
37   	167   	4.92449e+41	1.38657e+44	9.82791e+36	7.99535e+42	16.9467	32  	1   	4.81773
38   	165   	4.87599e+40	2.87886e+42	9.82791e+36	3.59203e+41	17.2233	35  	1   	5.17946
39   	147   	1.43981e+67	4.31943e+69	6.99433e+36	2.48966e+68	18.1433	38  	1   	5.50782
40   	176   	1.53029e+67	4.59087e+69	6.99433e+36	2.64612e+68	18.32  	37  	1   	5.59681
41   	180   	1.42104e+68	4.26311e+70	6.99433e+36	2.4572e+69 	18.7233	34  	2   	5.63857
