     	      	                          fitness                          	              size             
     	      	-----------------------------------------------------------	-------------------------------
gen  	nevals	avg        	max        	min        	std        	avg    	max	min	std    
0    	300   	245.045    	8195.1     	4.51455    	528.354    	3.81   	10 	2  	1.86741
1    	162   	126.94     	602.875    	4.51455    	80.4676    	3.83667	10 	1  	1.97399
2    	164   	84.13      	893.585    	3.46806    	85.7121    	4.07   	11 	1  	2.08289
3    	179   	1117.24    	316519     	2.375      	18241      	4.60333	13 	1  	2.33937
4    	165   	74.7736    	8195.1     	2.375      	498.95     	4.99   	13 	1  	2.47182
5    	152   	661.798    	158300     	2.375      	9157.06    	5.14667	15 	1  	2.64168
6    	176   	2055.69    	484738     	2.375      	28585.7    	5.16667	12 	1  	2.53224
7    	168   	38.6884    	2785.38    	2.375      	189.036    	5.52   	18 	1  	2.47984
8    	179   	59.1513    	4628.27    	2.375      	326.68     	6.00667	19 	1  	2.63564
9    	184   	60.9812    	7368.88    	2.375      	433.192    	6.24667	20 	1  	2.66942
10   	152   	174.405    	45966.9    	2.375      	2648.55    	6.31   	18 	1  	2.43733
11   	197   	29.5539    	1128.84    	2.375      	75.1765    	6.25667	15 	1  	2.36025
12   	156   	21.6316    	394.875    	1.625      	48.4006    	6.17333	15 	1  	2.00747
13   	163   	19.0446    	197.375    	1.14257    	34.5505    	6.09333	16 	1  	2.08438
14   	174   	20.504     	286.57     	1.625      	36.6103    	5.95667	15 	1  	1.89951
15   	165   	22.9589    	394.875    	1.625      	47.5139    	6.09667	15 	1  	2.04303
16   	152   	19.4888    	290.178    	1.625      	39.4972    	6.13333	15 	1  	1.91021
17   	171   	18.3811    	211.31     	1.625      	34.4029    	6.26333	20 	1  	2.1199 
18   	153   	17.1112    	266.375    	1.625      	36.6817    	6.83333	19 	1  	2.48842
19   	135   	15.1677    	286.57     	1.625      	34.9681    	7.19667	22 	1  	2.33623
20   	168   	20.2701    	238.625    	1.6019     	40.1588    	7.75   	26 	1  	2.94519
21   	161   	21.5161    	602.875    	1.625      	52.3178    	7.86667	21 	1  	2.83823
22   	160   	21.2156    	266.375    	1.625      	42.8449    	8.07   	21 	1  	2.7842 
23   	170   	14.8404    	223.625    	1.625      	29.6128    	7.84   	24 	1  	2.56796
24   	160   	18.3293    	212.875    	1.61155    	35.558     	7.88333	18 	1  	2.4255 
25   	171   	22.8648    	1171.88    	1.61155    	77.703     	7.94   	20 	1  	2.54357
26   	157   	18.5101    	290.178    	1.61155    	39.4035    	7.85333	19 	1  	2.42731
27   	195   	19.6361    	286.57     	1.61155    	40.8102    	7.87667	16 	1  	2.4755 
28   	166   	2.22258e+29	6.66773e+31	1.6019     	3.8432e+30 	8.35667	19 	2  	2.82774
29   	178   	22.1002    	364.375    	0.889794   	45.9517    	8.61   	19 	1  	3.10342
30   	157   	17.6602    	147.886    	0.889794   	31.1518    	9.43   	21 	2  	3.53814
31   	152   	26.2906    	1212.02    	0.889794   	83.1979    	10.3467	23 	1  	4.14405
32   	167   	17.7881    	212.875    	0.673873   	37.3328    	11.7933	22 	2  	4.21947
33   	169   	19.901     	221.55     	0.673873   	42.9959    	13.6167	27 	2  	4.48141
34   	146   	19.7108    	238.625    	0.673873   	42.5626    	15.2733	27 	1  	4.12456
35   	160   	67.0966    	7368.88    	0.673873   	568.466    	15.76  	31 	1  	4.41389
36   	186   	16.9682    	363.589    	0.673873   	43.932     	16.99  	32 	1  	4.71345
37   	154   	22.9584    	432.112    	0.673873   	59.534     	17.4767	37 	1  	4.17885
38   	147   	13.9036    	238.989    	0.673873   	38.5237    	17.9633	32 	1  	4.31995
39   	193   	18.4614    	566.125    	0.673873   	53.7878    	18.1233	38 	3  	4.52638
40   	158   	17.3403    	397.816    	0.673873   	48.2089    	18.49  	35 	6  	4.55374
41   	164   	14.4803    	261.154    	0.673873   	36.4292    	18.3467	36 	1  	4.89488
42   	146   	14.4339    	212.974    	0.673873   	37.7849    	18.5667	41 	1  	4.80821
43   	156   	13.7794    	221.359    	0.673873   	33.9745    	18.7533	36 	1  	4.51359
44   	166   	15.6104    	266.375    	0.673873   	41.9716    	18.7067	33 	8  	3.89195
45   	155   	12.4852    	194.749    	0.670715   	31.9752    	19.14  	34 	1  	4.01004
46   	154   	14.0181    	223.625    	0.670715   	41.0091    	18.94  	31 	1  	3.90082
47   	157   	14.111     	221.359    	0.394712   	38.378     	18.7767	35 	9  	3.9875 
48   	189   	20.9696    	221.359    	0.668298   	44.7889    	18.65  	32 	3  	4.43105
49   	160   	15.144     	358.305    	0.668298   	41.5309    	18.5933	33 	1  	4.93572
