     	      	                          fitness                          	              size             
     	      	-----------------------------------------------------------	-------------------------------
gen  	nevals	avg        	max        	min        	std        	avg    	max 	min 	std    
0    	300   	973364     	1.09453e+06	91630.5    	54953      	3.59333	11  	2   	1.70918
1    	161   	953028     	1.01288e+06	91630.5    	112142     	3.83   	11  	1   	1.80216
2    	161   	1.24566e+06	9.48406e+07	91630.5    	5.41475e+06	4.07333	11  	1   	1.87473
3    	162   	1.16605e+06	7.6166e+07 	91630.5    	4.34894e+06	4.51   	11  	1   	1.75591
4    	173   	1.61533e+06	7.6166e+07 	91630.5    	7.503e+06  	4.83   	10  	1   	1.80954
5    	161   	1.2277e+06 	7.6166e+07 	91630.5    	6.15352e+06	5.23   	10  	1   	1.90537
6    	153   	2.6062e+06 	7.6166e+07 	87604.2    	1.21829e+07	5.88667	12  	1   	1.93058
7    	137   	991362     	7.6166e+07 	87604.2    	6.19272e+06	6.25   	13  	1   	2.09464
8    	159   	394618     	1.20253e+06	87604.2    	407874     	6.46333	13  	1   	2.18067
9    	183   	2.73377e+31	4.10066e+33	87604.2    	3.33699e+32	6.40667	13  	1   	2.12947
10   	151   	343791     	1.13741e+06	87604.2    	397162     	6.52667	15  	1   	2.10933
11   	164   	354546     	3.41388e+06	87604.2    	433403     	6.42   	18  	1   	2.20082
12   	154   	3.23273e+06	8.6602e+08 	87604.2    	4.98984e+07	6.43   	17  	1   	2.22376
13   	159   	543113     	5.98506e+07	87604.2    	3.45578e+06	6.71333	20  	1   	2.55039
14   	171   	9.87213e+28	2.96164e+31	87390      	1.70705e+30	7.43   	20  	1   	3.46676
15   	177   	379292     	3.41388e+06	87390      	443965     	8.47   	22  	1   	3.93647
16   	168   	382523     	3.38746e+06	86606.1    	483884     	9.54333	25  	1   	4.59291
17   	180   	345231     	1.29517e+06	86606.1    	396393     	9.84333	23  	1   	4.54299
18   	163   	303704     	1.29517e+06	86606.1    	380324     	10.4233	26  	1   	4.6652 
19   	140   	256750     	1.29517e+06	86606.1    	345334     	11.12  	27  	1   	5.04304
20   	147   	360315     	8.77111e+06	86606.1    	737948     	11.5567	26  	3   	4.70533
21   	177   	572733     	7.61718e+07	86606.1    	4.39293e+06	11.97  	31  	1   	5.07961
22   	156   	6.15654e+31	1.84696e+34	86518.2    	1.06457e+33	12.7767	34  	4   	5.37712
23   	158   	1.39937e+31	4.1981e+33 	86518.2    	2.41973e+32	13.7133	30  	1   	5.46118
24   	154   	248228     	3.71173e+06	86518.2    	458287     	14.8733	33  	1   	6.13818
25   	165   	255025     	1.29517e+06	86518.2    	345458     	15.7533	42  	3   	7.24931
26   	150   	253593     	3.66481e+06	86518.2    	393964     	16.69  	47  	1   	7.71625
27   	172   	1.39937e+31	4.1981e+33 	86518.2    	2.41973e+32	17.2633	55  	1   	8.33111
28   	154   	258810     	3.71183e+06	86518.2    	503498     	18.8   	54  	1   	9.24554
29   	172   	248762     	3.71183e+06	86518.2    	489773     	19.6133	64  	2   	9.62724
30   	188   	185426     	1.20211e+06	86518.2    	275541     	20.9033	70  	3   	11.4138
31   	146   	224692     	3.71173e+06	86518.2    	367289     	20.3833	70  	2   	11.0744
32   	167   	287124     	7.39301e+06	86518.2    	651509     	19.7433	64  	1   	8.75428
33   	184   	286836     	7.35384e+06	86518.2    	648870     	19.5267	49  	2   	8.01141
34   	169   	230388     	3.41546e+06	86432.4    	389147     	19.0467	49  	1   	7.88275
35   	152   	181276     	1.51735e+06	86432.4    	276460     	19.59  	45  	1   	7.93527
36   	159   	215627     	3.71183e+06	86432.4    	399985     	19.75  	62  	1   	8.53468
37   	165   	1.31692e+08	3.94521e+10	86432.4    	2.27396e+09	20.7167	59  	4   	9.19328
38   	186   	194365     	3.51757e+06	86432.4    	361771     	21.82  	46  	4   	9.88741
39   	157   	175297     	3.71183e+06	86432.4    	369968     	23.5333	49  	1   	10.0241
40   	164   	154540     	990796     	86432.4    	228683     	25.81  	48  	4   	10.5442
41   	166   	604315     	1.32154e+08	86432.4    	7.61396e+06	26.89  	75  	1   	11.3325
42   	153   	207714     	3.71347e+06	86419.1    	470266     	29.2233	60  	4   	11.8566
43   	160   	136196     	3.71183e+06	86419.1    	266515     	32.13  	68  	4   	12.2284
44   	179   	172554     	3.71347e+06	86373.9    	355347     	34.2033	80  	2   	12.8084
45   	156   	211912     	2.45084e+07	86373.9    	1.41765e+06	35.45  	69  	4   	12.4427
46   	165   	161342     	4.20079e+06	86373.9    	326330     	36.6933	80  	1   	14.3921
47   	178   	166988     	3.71347e+06	86373.9    	305533     	38.7067	105 	1   	15.3528
48   	159   	143598     	3.86403e+06	86373.9    	286131     	39.2   	83  	2   	15.5452
49   	150   	186789     	1.38246e+07	86373.9    	840997     	42.2767	89  	1   	14.8149
50   	165   	131744     	3.71477e+06	86373.9    	261487     	41.7333	92  	7   	15.1999
51   	180   	148193     	4.02595e+06	86373.9    	341651     	41.5533	99  	6   	15.7711
52   	159   	142006     	3.71477e+06	86137.5    	275819     	41.8433	99  	2   	17.1071
53   	164   	129607     	1.51735e+06	86373.9    	196009     	42.8333	113 	1   	17.6244
54   	175   	136487     	987063     	86373.9    	197742     	42.2067	102 	1   	17.8819
55   	185   	153622     	3.71477e+06	86373.9    	337733     	44.5067	103 	3   	17.9225
56   	157   	129305     	3.66646e+06	86373.9    	257412     	43.7433	110 	1   	17.1434
57   	148   	142441     	3.46207e+06	86373.9    	268619     	43.5333	104 	1   	17.7688
58   	160   	153168     	3.71347e+06	86059.2    	383718     	43.8967	103 	4   	15.6265
59   	153   	164558     	3.71477e+06	86059.2    	379467     	43.2467	102 	3   	16.6783
60   	169   	148880     	3.71477e+06	86059.2    	333211     	43.7933	101 	5   	16.7584
61   	176   	127446     	979148     	86059.2    	177596     	45.8433	113 	2   	17.9735
62   	147   	124159     	3.71477e+06	86059.2    	251563     	49.1733	113 	1   	18.1331
63   	180   	149527     	3.71477e+06	86059.2    	324757     	52.1533	113 	3   	17.2361
64   	142   	131060     	2.95075e+06	86059.2    	229280     	56.1867	109 	4   	13.8744
65   	153   	137393     	990453     	86057      	194162     	57.4533	97  	4   	12.2752
66   	183   	182597     	3.71019e+06	86057      	420456     	57.53  	130 	14  	12.8531
67   	150   	128296     	1.00964e+06	86057      	178903     	58.15  	112 	1   	14.1188
68   	170   	122838     	3.46047e+06	86057      	239028     	60.3533	105 	8   	14.0715
69   	183   	111171     	979109     	86057      	138528     	59.96  	108 	1   	15.4471
70   	162   	297818     	2.30798e+07	86057      	1.89242e+06	61.5567	103 	18  	15.1963
71   	173   	163913     	3.71477e+06	86057      	300869     	60.48  	114 	5   	16.9364
72   	145   	126292     	1.51735e+06	86057      	184509     	58.17  	114 	1   	16.8252
73   	144   	189709     	2.30828e+07	86056      	1.33173e+06	56.6   	104 	4   	15.4497
74   	157   	151524     	1.13741e+06	85828.7    	223197     	54.42  	117 	1   	16.2767
75   	172   	147287     	7.46451e+06	86013.8    	454607     	52.6267	106 	1   	15.6075
76   	169   	139023     	2.03999e+06	85828.7    	213822     	54.8233	100 	4   	15.414 
77   	166   	160116     	3.71477e+06	85828.7    	340691     	54.8867	109 	4   	16.0643
78   	148   	212275     	2.30828e+07	85828.7    	1.35455e+06	54.7467	96  	4   	13.0962
79   	176   	141289     	6.79499e+06	85828.7    	414850     	54.21  	97  	1   	14.033 
80   	181   	136957     	3.71474e+06	85745.3    	271589     	53.29  	91  	6   	12.1504
81   	173   	215394     	2.72792e+07	85745.3    	1.57451e+06	52.75  	91  	1   	12.6441
82   	175   	221233     	2.31655e+07	85742.2    	1.35412e+06	53.4933	91  	1   	12.3487
83   	158   	291877     	2.30796e+07	85742.2    	1.87693e+06	52.6067	103 	1   	14.3457
84   	152   	178281     	1.34508e+07	85742.2    	807746     	54.2867	95  	4   	12.1353
85   	153   	306346     	2.30788e+07	85742.2    	1.88599e+06	56.4333	96  	9   	11.1001
86   	155   	126713     	3.45626e+06	85742.2    	243773     	57.4867	90  	4   	11.8599
87   	157   	142090     	3.16244e+06	85742.2    	256720     	59.2633	84  	4   	11.6385
88   	152   	149104     	3.86781e+06	85742.2    	295667     	60.0667	92  	8   	11.2295
89   	157   	130674     	3.71618e+06	85740.2    	260884     	60.87  	103 	1   	11.8712
90   	173   	158935     	3.45887e+06	85740.2    	329203     	61.3433	99  	1   	12.6253
91   	164   	167167     	3.71467e+06	85723.4    	341329     	60.4833	118 	6   	12.8759
92   	164   	149714     	3.23193e+06	85723.4    	308001     	61.6233	98  	4   	11.7613
93   	142   	153308     	3.94583e+06	85723.4    	345007     	62.0133	104 	4   	12.5796
94   	168   	123991     	980083     	85723      	169657     	63.1633	121 	6   	12.5511
95   	161   	123243     	3.1845e+06 	85723      	226094     	62.9533	98  	4   	12.277 
96   	188   	1.71732e+35	5.15196e+37	85674.6    	2.96953e+36	61.46  	98  	7   	14.3139
97   	141   	119263     	1.0013e+06 	85515.2    	163652     	62.0633	96  	4   	12.5533
98   	171   	144374     	3.71173e+06	85515.2    	278197     	61.1733	99  	1   	12.5649
99   	140   	132827     	1.22416e+06	85516      	191929     	60.7433	102 	5   	12.0041
100  	158   	125795     	1.35796e+06	85515.2    	178424     	60.53  	102 	4   	11.7327
101  	168   	139654     	3.87157e+06	85515.2    	318852     	60.33  	92  	1   	11.9049
102  	157   	133239     	1.02878e+06	85373.9    	191700     	59.8   	127 	1   	14.4086
103  	172   	228661     	2.22251e+07	85124      	1.31346e+06	62.47  	93  	6   	10.4608
104  	161   	126853     	1.13741e+06	85373.9    	178514     	63.6833	115 	1   	13.3588
105  	161   	148774     	984047     	85373.9    	211569     	65.2133	110 	5   	13.4418
106  	150   	6.51405e+33	1.95421e+36	85370.6    	1.12638e+35	67.6067	114 	4   	13.3164
