    	      	                      fitness                      	              size             
    	      	---------------------------------------------------	-------------------------------
gen 	nevals	avg        	max        	min    	std        	avg    	max 	min	std    
0   	300   	19009.4    	999909     	7027.62	56772.9    	4.01   	11  	2  	2.05505
1   	173   	14751.1    	18748.4    	7027.62	1651.55    	4.18667	13  	1  	2.01291
2   	157   	13501.5    	17253.1    	7027.62	2645.67    	4.24   	13  	1  	1.91722
3   	137   	12339.8    	125716     	6301.2 	7343.54    	4.35   	15  	1  	2.06579
4   	172   	1.38494e+30	4.15483e+32	6301.2 	2.39479e+31	4.53667	10  	1  	2.12963
5   	159   	29737.6    	4.17931e+06	6301.2 	244825     	4.28667	11  	1  	2.00112
6   	149   	168870     	4.62061e+07	6301.2 	2.66285e+06	4.49667	13  	1  	2.20681
7   	146   	14441.4    	346213     	6301.2 	46434.8    	5.11   	13  	1  	2.58545
8   	172   	51335.4    	4.17931e+06	6301.2 	259205     	6.04667	13  	1  	2.74551
9   	148   	20037.3    	424040     	6301.2 	68906.1    	6.68   	14  	1  	2.54773
10  	183   	32898.8    	424040     	6301.2 	96241      	7.64667	15  	1  	2.38645
11  	169   	27977.2    	424040     	6301.2 	86774.7    	8.08333	16  	1  	2.29414
12  	163   	328254     	9.19634e+07	6249.67	5.29989e+06	8.48667	14  	1  	1.7916 
13  	182   	36321.9    	433210     	6249.67	102461     	8.78333	15  	1  	1.85914
14  	177   	1.34906e+32	4.04719e+34	6249.67	2.33275e+33	8.99   	20  	1  	1.96212
15  	147   	27813.3    	424040     	5704.83	84868.5    	8.96   	14  	1  	1.70833
16  	161   	22449.1    	433210     	5704.83	71246.4    	9.23333	19  	1  	2.2566 
17  	168   	29925.8    	433210     	5266.8 	88617.2    	9.4    	21  	1  	2.58199
18  	156   	34913.4    	4.36447e+06	5266.8 	259135     	10.0367	21  	1  	2.70838
19  	159   	383503     	9.12282e+07	3938.68	5.28218e+06	10.5967	23  	2  	2.96434
20  	159   	240297     	4.62361e+07	4765.77	2.70976e+06	11.3233	28  	2  	3.40961
21  	160   	96495.2    	5.34475e+06	4765.77	573750     	12.4133	28  	2  	3.88705
22  	176   	150187     	4.98484e+06	3790.7 	703902     	13.7467	30  	1  	4.72608
23  	161   	215223     	2.85731e+07	2440.77	1.75597e+06	15.53  	39  	5  	5.47684
