     	      	                          fitness                          	              size             
     	      	-----------------------------------------------------------	-------------------------------
gen  	nevals	avg        	max        	min        	std        	avg    	max 	min 	std    
0    	300   	217.685    	1396.5     	102.869    	115.435    	3.69667	10  	2   	1.79944
1    	142   	168.291    	323.5      	102.869    	36.4011    	4.03667	14  	1   	2.09809
2    	177   	144.736    	891.273    	100.5      	56.6235    	4.21333	10  	1   	2.13569
3    	164   	130.274    	1024.24    	89.204     	64.2677    	4.17   	10  	1   	2.04803
4    	169   	122.209    	1127.25    	89.204     	81.0112    	3.74333	9   	1   	1.49358
5    	162   	139.491    	4109.29    	89.204     	256.516    	3.67333	11  	1   	1.26226
6    	147   	115.574    	1131.27    	89.204     	75.7586    	3.89   	8   	1   	1.22932
7    	162   	122.48     	1359.75    	89.204     	116.304    	4.52333	11  	1   	1.3624 
8    	170   	116.431    	827.25     	89.204     	82.7752    	5.02667	12  	1   	1.24336
9    	139   	112.886    	827.25     	89.204     	65.8409    	5.22333	11  	1   	1.07709
10   	148   	109.298    	827.25     	89.204     	53.0419    	5.45   	12  	1   	1.27574
11   	178   	124.834    	914.414    	89.204     	110.353    	5.90667	12  	1   	1.71793
12   	158   	118.23     	1359.75    	70         	96.1195    	6.26333	13  	1   	1.77782
13   	169   	133.503    	1058.24    	70         	130.989    	6.72667	16  	1   	2.06848
14   	189   	138.14     	3606.53    	70         	231.027    	6.89667	14  	1   	2.15391
15   	155   	118.074    	731.866    	47.75      	93.981     	6.96667	16  	1   	2.01963
16   	164   	106.024    	1795.55    	47.75      	124.535    	7.1    	15  	1   	1.87883
17   	165   	106.606    	827.25     	45.268     	103.422    	7.25333	14  	1   	1.63783
18   	164   	91.8122    	827.25     	44.75      	98.0226    	7.77667	17  	1   	1.90616
19   	160   	101.349    	4187.7     	44.75      	253.998    	8.63   	22  	1   	2.23004
20   	164   	88.1942    	649        	40.709     	99.9416    	9.23333	17  	3   	2.05237
21   	164   	90.6822    	1348       	40.709     	133.322    	9.51   	18  	1   	2.30866
22   	187   	100.109    	858.25     	31.983     	131.443    	9.89333	18  	1   	2.75958
23   	163   	92.6076    	673.068    	31.983     	99.3101    	10.2933	21  	1   	3.30161
24   	180   	97.5604    	827.25     	31.983     	120.666    	11.1467	26  	1   	3.72538
25   	170   	107.998    	885.575    	28.2333    	133.152    	12.0533	32  	1   	4.34171
26   	189   	122.46     	2455.77    	19.811     	212.751    	13.28  	35  	1   	4.95126
27   	173   	111.766    	3977.58    	19.4588    	260.661    	15.0867	35  	1   	5.33596
28   	161   	103.326    	1736.61    	19.4588    	172.086    	16.8033	40  	1   	6.59378
29   	160   	88.1661    	1515.7     	19.4588    	146.117    	18.77  	40  	1   	6.71742
30   	170   	89.2235    	1363.27    	14.5879    	151.349    	20.5467	49  	1   	7.715  
31   	169   	99.4255    	2668.8     	16.964     	210.181    	23.4433	49  	1   	8.87206
32   	188   	115.943    	8825.25    	11.8579    	529.457    	25.8933	55  	6   	8.95258
33   	160   	63.9096    	2221.13    	11.4187    	154.349    	28.9567	68  	10  	9.06687
34   	184   	75.0592    	1144.12    	10.9694    	144.718    	30.2067	68  	2   	9.06407
35   	160   	68.8256    	4867.9     	11.4187    	291.072    	32.32  	82  	7   	9.10518
36   	156   	61.4161    	1478.32    	11.4187    	140.364    	34.3533	82  	2   	9.66894
37   	137   	76.1566    	5223.69    	9.52975    	328.19     	37.58  	82  	4   	10.7296
38   	166   	97.0056    	12263.6    	9.52975    	715.418    	39.95  	82  	3   	10.8938
39   	175   	62.1916    	2440.17    	8.76426    	205.303    	43.8933	82  	9   	12.2801
40   	179   	52.9596    	1292.75    	9.52975    	120.351    	45.3833	86  	18  	11.9143
41   	168   	53.0795    	2232.97    	6.95341    	173.756    	45.4167	96  	9   	11.348 
42   	176   	55.4126    	2484.75    	6.95341    	172.971    	45.4933	79  	1   	10.8654
43   	145   	37.2629    	699.717    	8.36734    	89.5843    	47.7533	76  	15  	9.58501
44   	156   	55.8624    	1330.25    	8.36734    	141.492    	48.26  	72  	1   	10.9166
45   	184   	47.3654    	1202.57    	8.36734    	134.99     	50.8433	74  	1   	9.48923
46   	163   	119.669    	21661.7    	5.20677    	1250.87    	51.6667	83  	19  	9.6996 
47   	173   	47.4279    	1898.62    	5.20677    	146.714    	53.28  	92  	22  	10.5569
48   	157   	66.1111    	4718.09    	7.18646    	328.43     	53.85  	92  	26  	9.80004
49   	150   	47.2034    	1681.6     	7.84373    	161.627    	54.6967	97  	19  	10.874 
50   	171   	44.9436    	1068.87    	6.88781    	115.226    	56.22  	104 	19  	11.2228
51   	165   	56.5588    	2200.42    	6.88781    	176.302    	56.6433	85  	18  	11.3427
52   	167   	39.6138    	823.46     	6.88781    	103.57     	59.0267	90  	19  	12.3426
53   	169   	43.502     	1219.13    	5.79033    	123.13     	62.1133	106 	27  	12.3637
54   	144   	45.3582    	2219.89    	5.79033    	187.524    	63.5033	95  	3   	12.7967
55   	154   	45.3082    	2039.69    	5.79033    	154.224    	64.91  	96  	28  	13.2218
56   	150   	51.0359    	1705.63    	5.40494    	185.829    	63.5667	92  	3   	13.5946
57   	167   	54.7201    	4804.81    	4.89651    	313.877    	65.47  	98  	18  	11.8629
58   	163   	65.3016    	3616.06    	4.89651    	282.691    	66.8433	109 	25  	14.0123
59   	164   	48.6607    	2153.72    	5.3515     	217.292    	69.75  	114 	28  	13.0157
60   	161   	27.1025    	1957.52    	4.09298    	123.675    	70.73  	111 	27  	13.1265
61   	188   	31.7243    	1449.27    	4.09298    	112.636    	70.23  	104 	35  	12.766 
62   	181   	46.9644    	4647.06    	4.09298    	279.027    	69.9233	103 	23  	11.7387
63   	188   	44.3617    	2989.25    	4.09298    	208.865    	69.75  	99  	32  	10.8714
64   	176   	41.5079    	4079.95    	4.09298    	245.442    	70.27  	98  	2   	11.7529
65   	167   	57.64      	3180.02    	4.09298    	251.764    	70.9567	105 	24  	12.5508
66   	180   	30.6185    	712.819    	4.09298    	84.0114    	71.5633	105 	28  	12.3039
67   	151   	52.4296    	4007.01    	3.6737     	268.74     	71.9067	111 	4   	11.9802
68   	177   	76.4385    	4118.55    	3.6737     	380.351    	72.3733	105 	30  	11.8533
69   	168   	72.9923    	5477.34    	3.43028    	420.923    	74.5233	111 	38  	10.6004
70   	135   	46.0545    	2198.06    	3.43028    	202.4      	74.3667	120 	1   	11.5781
71   	159   	83.5835    	7927.46    	3.43028    	520.041    	76.15  	113 	40  	11.5678
72   	142   	61.1244    	6891.71    	3.43028    	435.628    	76.9167	131 	24  	13.5099
73   	154   	93.3056    	4647.08    	3.43028    	452.603    	79.77  	113 	6   	14.7789
74   	154   	44.3347    	4189.93    	3.39841    	275.568    	82.9233	115 	40  	16.5617
75   	168   	56.5611    	2755.52    	3.39841    	250.048    	87.9767	125 	38  	17.2722
76   	150   	38.752     	3257.86    	3.39841    	237.697    	93.75  	129 	42  	16.5932
77   	162   	47.4849    	2755.52    	3.39841    	243.302    	96.2967	143 	3   	18.489 
78   	166   	142.517    	8456.01    	3.39841    	882.3      	100.133	152 	37  	15.4655
79   	190   	68.9864    	4142.05    	3.39841    	366.307    	102.43 	127 	43  	12.9411
80   	132   	68.6147    	4363.85    	3.39841    	420.458    	102.713	128 	38  	12.2209
81   	178   	66.4313    	6934.9     	3.39841    	485.24     	103.637	133 	4   	13.3053
82   	181   	95.8558    	6999.52    	2.57692    	620.495    	103.723	174 	1   	16.4673
83   	174   	110.755    	7560.19    	1.78567    	747.22     	104.437	134 	40  	13.4146
84   	183   	50.8492    	6012.34    	1.78567    	370.613    	103.797	134 	42  	15.6297
85   	142   	59.6821    	4100.45    	1.78567    	371.148    	105.263	141 	1   	15.9902
86   	167   	18.0908    	1449.14    	1.78567    	90.739     	104.723	141 	40  	14.2054
87   	170   	66.8075    	2700.6     	1.67729    	291.414    	105.023	132 	2   	14.2292
88   	190   	39.6079    	1812.51    	1.67729    	166.524    	104.47 	140 	39  	13.7194
89   	151   	63.2724    	8143.49    	1.67729    	539.064    	104.013	127 	1   	14.2143
90   	166   	30.2881    	1557.84    	1.66268    	130.392    	105.267	139 	3   	15.5967
91   	172   	99.9219    	8143.34    	1.56844    	610.267    	106.537	137 	36  	15.7646
92   	159   	89.1512    	7362.87    	1.41265    	570.791    	107.913	133 	22  	14.8985
93   	167   	56.8273    	3584.98    	1.56844    	317.718    	109.457	163 	47  	13.0609
94   	159   	88.9872    	7560.2     	1.38028    	593.549    	109.537	157 	1   	14.3959
95   	164   	25.2276    	1496.27    	1.38028    	112.753    	108.25 	146 	41  	15.1052
96   	153   	46.7587    	5562.54    	1.38028    	343.889    	105.967	152 	7   	17.3276
97   	156   	57.6969    	4713.48    	1.36387    	367.275    	105.52 	144 	12  	17.5878
98   	172   	125.114    	7961.29    	1.33954    	744.387    	101.897	158 	8   	19.3947
99   	163   	35.8292    	3418.72    	0.997625   	227.214    	101.06 	144 	1   	19.5249
100  	160   	109.382    	10908.9    	0.997625   	740.925    	103.507	170 	1   	20.9011
101  	167   	55.3992    	3270.9     	0.935646   	278.087    	103.347	165 	40  	20.0055
102  	180   	38.5609    	1981.93    	0.935646   	184.013    	99.8167	152 	15  	21.3103
103  	150   	66.2461    	4817.71    	0.935646   	396.817    	102.51 	147 	40  	19.589 
104  	181   	79.4928    	3474.15    	0.791733   	369.381    	103.943	151 	32  	20.8288
105  	170   	136.475    	11351.6    	0.791733   	980.373    	109.617	152 	43  	20.7661
106  	168   	63.8069    	7560.19    	0.791733   	478.82     	112.207	151 	42  	19.1227
107  	179   	127.067    	11311      	0.791733   	899.112    	115.523	151 	30  	19.7037
108  	149   	59.0847    	8143.34    	0.791733   	504.862    	117.777	151 	38  	17.5473
109  	169   	103.469    	10533.2    	0.791733   	732.122    	119.817	148 	16  	16.5321
110  	170   	72.8262    	4179.76    	0.791733   	383.111    	121.007	152 	40  	15.3792
111  	160   	77.8807    	4829.38    	0.791733   	449.48     	122.47 	152 	42  	15.139 
112  	181   	73.4945    	3315.91    	0.791733   	331.752    	122.363	152 	22  	15.706 
113  	151   	57.9387    	4778.6     	0.791733   	404.102    	123.73 	159 	48  	11.884 
