     	      	                          fitness                          	              size             
     	      	-----------------------------------------------------------	-------------------------------
gen  	nevals	avg        	max        	min        	std        	avg    	max 	min	std    
0    	300   	74.147     	9930.41    	6.875      	580.437    	3.88   	11  	2  	1.97457
1    	184   	25.7266    	1973.3     	6.875      	122.515    	3.63333	13  	1  	1.81445
2    	175   	193.581    	52554.7    	6.875      	3028.87    	3.77   	15  	1  	2.18413
3    	180   	14.671     	1072.88    	6.625      	62.2545    	3.86667	13  	1  	1.80432
4    	178   	5.66757e+30	1.70027e+33	5.15549    	9.80015e+31	4.12   	10  	1  	1.66301
5    	153   	16.9848    	1072.88    	5.15549    	71.7918    	4.47   	14  	1  	1.73468
6    	163   	12.9507    	399.928    	5.15549    	24.8684    	4.83333	10  	1  	1.60797
7    	181   	2.1936e+30 	6.58079e+32	5.15549    	3.79308e+31	5.08   	10  	1  	1.81115
8    	176   	12.93      	399.928    	4.51972    	27.2267    	5.55   	13  	1  	1.91333
9    	164   	15.694     	1121.62    	4.51972    	65.5096    	5.75667	12  	1  	1.86837
10   	147   	11.6385    	88.625     	4.51972    	10.803     	6.03667	13  	2  	2.00549
11   	152   	12.0731    	122.125    	4.51972    	11.9398    	6.57333	14  	1  	2.24899
12   	165   	10.8758    	64.625     	3.54835    	9.35665    	7.36   	21  	1  	2.51205
13   	150   	11.3269    	88.625     	3.54835    	10.7919    	8.19   	21  	1  	2.58855
14   	164   	10.3155    	47.2384    	3.54835    	8.72362    	8.86667	18  	1  	2.58758
15   	159   	12.1223    	221.947    	3.54835    	17.3032    	9.32   	19  	1  	2.84563
16   	157   	12.4653    	152.577    	3.54835    	14.9902    	9.46333	19  	1  	2.54728
17   	164   	11.0305    	88.625     	3.54835    	11.4515    	9.71   	24  	1  	3.09503
18   	146   	10.8112    	99.6061    	3.54835    	11.8731    	9.75667	23  	1  	3.17345
19   	158   	14.2639    	784.375    	3.54835    	48.6026    	10.2833	25  	2  	3.57347
20   	158   	10.4915    	62.375     	3.54835    	11.3091    	11.27  	25  	1  	3.99463
21   	179   	10.975     	136.335    	3.54835    	12.5635    	12.0233	25  	2  	4.10318
22   	192   	14.8096    	239.779    	3.46569    	22.9919    	12.6433	26  	1  	4.24533
23   	166   	10.7491    	89.3217    	3.46569    	11.1475    	13.43  	31  	3  	4.70232
